Character, Abs. Freq., Rel. Freq.
數,6,11403
童,6,11403
將,16,30407
敢,4,7602
昔,4,7602
南,2,3801
后,6,11403
余,2,3801
楚,6,11403
和,8,15203
匿,4,7602
文,10,19004
果,2,3801
難,2,3801
匠,2,3801
用,6,11403
孫,2,3801
啗,2,3801
昆,4,7602
灌,2,3801
駕,2,3801
諸,2,3801
兆,2,3801
白,4,7602
公,16,30407
問,12,22805
舊,4,7602
聾,4,7602
欲,22,41809
兼,4,7602
避,2,3801
告,8,15203
信,2,3801
牆,4,7602
聚,2,3801
知,4,7602
度,2,3801
傷,8,15203
川,2,3801
謼,2,3801
吾,20,38008
季,2,3801
歲,4,7602
使,14,26606
周,6,11403
譬,10,19004
甚,4,7602
致,4,7602
意,10,19004
功,4,7602
己,10,19004
柱,12,22805
曠,2,3801
摻,4,7602
仁,4,7602
湯,2,3801
悖,2,3801
毀,2,3801
殺,26,49411
設,4,7602
一,26,49411
祝,4,7602
孰,6,11403
親,4,7602
槁,4,7602
教,2,3801
為,52,98822
蕪,2,3801
對,6,11403
蕩,4,7602
翟,2,3801
敖,2,3801
鄒,4,7602
雲,2,3801
揚,2,3801
高,16,30407
寶,10,19004
升,4,7602
驥,8,15203
成,8,15203
翁,2,3801
言,26,49411
惡,8,15203
聖,8,15203
黔,2,3801
益,6,11403
責,4,7602
非,14,26606
豈,10,19004
縣,2,3801
卿,4,7602
祿,10,19004
遷,4,7602
術,2,3801
名,2,3801
就,2,3801
食,12,22805
西,2,3801
治,8,15203
」,118,224249
祭,2,3801
開,2,3801
隋,4,7602
叢,4,7602
餅,2,3801
猶,18,34208
聰,4,7602
卜,2,3801
龜,2,3801
木,4,7602
管,2,3801
社,8,15203
目,6,11403
自,10,19004
墟,2,3801
齊,2,3801
姑,2,3801
叔,2,3801
烹,2,3801
倍,4,7602
碩,2,3801
俞,2,3801
舉,6,11403
天,24,45610
誰,4,7602
仲,8,15203
靈,2,3801
炊,2,3801
擊,4,7602
遺,2,3801
毋,4,7602
還,4,7602
施,6,11403
夏,10,19004
我,66,125428
駱,4,7602
復,4,7602
日,2,3801
鑄,2,3801
越,2,3801
罪,2,3801
拂,4,7602
水,4,7602
人,112,212847
反,6,11403
臧,2,3801
相,6,11403
神,8,15203
百,4,7602
鬥,8,15203
從,20,38008
云,4,7602
譽,14,26606
北,4,7602
棘,4,7602
豢,2,3801
？,44,83618
獨,2,3801
閒,2,3801
竊,10,19004
士,8,15203
大,10,19004
禽,2,3801
月,2,3801
但,2,3801
古,8,15203
談,4,7602
盡,4,7602
氂,4,7602
墨,88,167237
近,6,11403
商,2,3801
稷,4,7602
賞,2,3801
聞,12,22805
饗,2,3801
瞽,4,7602
耕,16,30407
；,20,38008
壤,4,7602
今,26,49411
築,6,11403
關,2,3801
富,6,11403
敺,6,11403
謀,2,3801
臣,4,7602
農,4,7602
侯,6,11403
荊,2,3801
葉,8,15203
異,10,19004
欣,4,7602
鼎,4,7602
衛,10,19004
璧,4,7602
無,24,45610
小,6,11403
廉,2,3801
火,4,7602
遠,4,7602
死,2,3801
狂,12,22805
口,6,11403
鄉,14,26606
民,6,11403
守,2,3801
遂,4,7602
上,4,7602
行,16,30407
視,2,3801
爵,2,3801
世,4,7602
旦,2,3801
多,2,3801
德,2,3801
誅,6,11403
政,16,30407
實,6,11403
游,4,7602
聽,2,3801
殷,6,11403
道,12,22805
鄭,2,3801
勞,2,3801
貪,2,3801
豨,4,7602
俗,2,3801
息,2,3801
經,2,3801
厚,10,19004
維,2,3801
舍,4,7602
身,4,7602
石,14,26606
祥,6,11403
紹,2,3801
『,12,22805
辟,2,3801
書,4,7602
「,114,216648
耶,2,3801
利,22,41809
宋,2,3801
義,28,53212
願,2,3801
馬,22,41809
辭,2,3801
邑,2,3801
方,2,3801
犓,2,3801
生,10,19004
魯,14,26606
辯,4,7602
新,4,7602
』,12,22805
攻,12,22805
鬼,10,19004
氏,6,11403
金,6,11403
常,12,22805
作,14,26606
繆,2,3801
奉,4,7602
娛,2,3801
幾,2,3801
孟,6,11403
王,6,11403
！,22,41809
智,24,45610
貧,2,3801
：,124,235652
逢,4,7602
蜚,2,3801
桀,2,3801
安,6,11403
燎,2,3801
巫,16,30407
牛,2,3801
說,22,41809
刑,4,7602
伯,2,3801
織,4,7602
召,2,3801
耳,4,7602
善,22,41809
陽,8,15203
折,2,3801
尼,8,15203
東,4,7602
稱,4,7602
勇,10,19004
君,28,53212
徒,6,11403
朝,4,7602
羊,4,7602
賊,2,3801
邪,2,3801
求,2,3801
明,10,19004
見,24,45610
客,4,7602
田,2,3801
處,6,11403
滑,4,7602
苟,10,19004
婦,4,7602
國,20,38008
竟,2,3801
貴,12,22805
割,2,3801
珠,4,7602
失,6,11403
軍,2,3801
務,2,3801
骨,2,3801
陶,2,3801
家,8,15203
蓋,2,3801
好,8,15203
千,2,3801
疾,18,34208
山,2,3801
良,12,22805
怒,4,7602
弇,2,3801
受,10,19004
喜,2,3801
愛,18,34208
勝,6,11403
事,22,41809
勿,2,3801
狗,4,7602
