Character, Abs. Freq., Rel. Freq.
折,2,6527
「,20,65274
博,4,13055
銳,2,6527
萌,2,6527
施,2,6527
土,8,26110
踐,2,6527
輟,2,6527
奔,2,6527
孤,2,6527
旄,2,6527
楚,2,6527
英,2,6527
執,2,6527
虛,4,13055
夾,2,6527
；,18,58747
飽,2,6527
糧,2,6527
魚,2,6527
從,8,26110
？,10,32637
門,2,6527
言,16,52219
近,2,6527
醫,6,19582
》,2,6527
北,8,26110
舟,2,6527
凶,4,13055
奪,2,6527
公,4,13055
及,10,32637
莒,4,13055
親,2,6527
譽,4,13055
方,4,13055
失,4,13055
遠,2,6527
陳,2,6527
戰,28,91384
：,26,84856
羽,2,6527
力,4,13055
飢,4,13055
宮,2,6527
毋,4,13055
嚴,2,6527
凍,2,6527
徒,10,32637
伐,4,13055
并,2,6527
徙,2,6527
功,2,6527
幄,2,6527
處,2,6527
築,2,6527
殺,4,13055
冥,2,6527
服,4,13055
萬,12,39164
道,8,26110
脩,2,6527
將,4,13055
辟,4,13055
盡,4,13055
自,10,32637
勝,28,91384
收,8,26110
成,2,6527
削,2,6527
東,6,19582
敢,2,6527
惡,4,13055
昔,2,6527
計,12,39164
嘗,4,13055
患,2,6527
論,2,6527
反,10,32637
喪,8,26110
民,12,39164
師,6,19582
！,2,6527
南,4,13055
間,2,6527
隱,2,6527
餒,2,6527
隘,2,6527
中,4,13055
除,2,6527
群,2,6527
蘇,2,6527
鑒,2,6527
人,32,104439
名,4,13055
」,22,71802
壤,2,6527
郭,6,19582
餘,4,13055
擊,2,6527
陸,2,6527
罷,2,6527
差,4,13055
脣,2,6527
利,12,39164
刑,2,6527
范,2,6527
靡,4,13055
盾,2,6527
政,8,26110
西,2,6527
『,8,26110
墨,14,45692
奉,4,13055
城,6,19582
恃,2,6527
王,10,32637
怠,2,6527
姑,2,6527
江,2,6527
千,6,19582
藝,2,6527
陽,2,6527
劍,2,6527
衍,2,6527
智,8,26110
幕,2,6527
事,4,13055
遂,2,6527
瘠,2,6527
襄,2,6527
廢,8,26110
為,28,91384
忠,2,6527
兵,2,6527
疾,2,6527
壞,4,13055
節,2,6527
國,26,84856
濟,2,6527
飲,2,6527
往,8,26110
車,4,13055
神,2,6527
闔,4,13055
外,2,6527
視,2,6527
兼,2,6527
春,2,6527
爪,2,6527
小,2,6527
無,4,13055
戈,2,6527
復,2,6527
繼,2,6527
斂,2,6527
宋,2,6527
臣,2,6527
情,4,13055
審,2,6527
甲,6,19582
退,2,6527
語,6,19582
涂,2,6527
軍,4,13055
知,12,39164
年,4,13055
七,8,26110
蔡,2,6527
貪,2,6527
山,2,6527
內,4,13055
攻,36,117493
見,6,19582
齊,10,32637
汶,2,6527
飾,4,13055
甚,4,13055
強,2,6527
賓,4,13055
韓,4,13055
舍,6,19582
地,10,32637
注,2,6527
亡,20,65274
秋,2,6527
戟,2,6527
猶,4,13055
柏,2,6527
絕,2,6527
撥,2,6527
蓋,2,6527
牙,2,6527
封,4,13055
竹,2,6527
入,4,13055
謀,8,26110
今,16,52219
讎,2,6527
戮,2,6527
耳,2,6527
行,10,32637
貊,2,6527
水,6,19582
尚,2,6527
朝,6,19582
死,10,32637
乘,4,13055
爛,2,6527
豈,2,6527
多,6,19582
上,8,26110
魏,4,13055
列,4,13055
吳,14,45692
暑,2,6527
身,2,6527
代,2,6527
氏,10,32637
會,2,6527
諸,2,6527
耕,2,6527
數,34,110966
徑,2,6527
鬼,2,6527
敗,6,19582
趙,8,26110
夕,4,13055
著,2,6527
稽,2,6527
當,6,19582
圍,4,13055
孝,2,6527
姓,6,19582
抗,2,6527
燕,2,6527
居,2,6527
恐,4,13055
譬,2,6527
鏡,8,26110
心,4,13055
我,10,32637
穫,2,6527
起,2,6527
矛,2,6527
面,2,6527
士,8,26110
病,6,19582
湖,2,6527
肥,2,6527
速,2,6527
務,4,13055
胡,2,6527
離,2,6527
愛,2,6527
稼,2,6527
爭,2,6527
祝,2,6527
寒,6,19582
廣,2,6527
古,16,52219
魯,2,6527
藥,8,26110
侯,2,6527
一,8,26110
和,2,6527
箭,2,6527
來,2,6527
腑,2,6527
閭,4,13055
馬,2,6527
艾,2,6527
』,8,26110
伯,6,19582
危,2,6527
住,2,6527
君,8,26110
棄,2,6527
興,4,13055
用,12,39164
劫,2,6527
家,8,26110
罰,2,6527
安,4,13055
寡,2,6527
教,4,13055
大,20,65274
《,2,6527
非,8,26110
臺,2,6527
荊,2,6527
發,2,6527
百,12,39164
相,4,13055
舉,2,6527
晉,6,19582
齒,2,6527
時,6,19582
合,2,6527
越,10,32637
敬,2,6527
茲,2,6527
賞,4,13055
葆,4,13055
目,2,6527
天,8,26110
聞,2,6527
夷,2,6527
重,2,6527
主,4,13055
碎,2,6527
食,10,32637
陵,2,6527
林,2,6527
句,2,6527
樹,2,6527
里,14,45692
容,2,6527
冬,4,13055
夏,4,13055
詩,2,6527
止,2,6527
閒,8,26110
誰,2,6527
欲,8,26110
牛,2,6527
吉,4,13055
