Character, Abs. Freq., Rel. Freq.
從,2,7764
說,1,3882
壇,1,3882
協,2,7764
秋,1,3882
數,6,23292
會,2,7764
聲,1,3882
客,4,15528
袒,1,3882
敢,4,15528
好,1,3882
桓,1,3882
作,2,7764
孤,2,7764
法,4,15528
帛,3,11646
侯,47,182453
官,2,7764
異,2,7764
圭,12,46584
瞽,1,3882
禬,1,3882
薪,1,3882
域,1,3882
藉,4,15528
刑,2,7764
誤,1,3882
衣,6,23292
邦,2,7764
纓,6,23292
璋,3,11646
貴,5,19410
成,4,15528
私,2,7764
時,4,15528
間,3,11646
貧,1,3882
周,1,3882
執,9,34938
役,1,3882
敬,9,34938
夏,1,3882
貳,7,27174
醴,1,3882
階,4,15528
皮,3,11646
配,1,3882
威,1,3882
慮,1,3882
卑,4,15528
倍,1,3882
害,1,3882
質,2,7764
庶,1,3882
君,21,81522
均,1,3882
蒲,1,3882
名,1,3882
考,2,7764
奉,1,3882
亂,2,7764
前,1,3882
禽,1,3882
恥,1,3882
為,19,73758
欺,1,3882
忠,1,3882
宮,7,27174
象,1,3882
掌,4,15528
職,3,11646
省,3,11646
慝,1,3882
歲,15,58230
益,3,11646
千,11,42702
遠,1,3882
降,1,3882
無,2,7764
明,9,34938
制,3,11646
年,2,7764
：,7,27174
狩,1,3882
財,4,15528
室,6,23292
車,14,54348
序,4,15528
和,1,3882
接,4,15528
見,8,31056
餼,2,7764
立,1,3882
雙,1,3882
度,2,7764
食,8,31056
道,1,3882
廟,4,15528
結,1,3882
幣,2,7764
臣,11,42702
辱,1,3882
奠,1,3882
步,3,11646
萬,1,3882
流,1,3882
舍,1,3882
宴,2,7764
選,2,7764
外,10,38820
書,6,23292
著,1,3882
獻,4,15528
昭,1,3882
祀,2,7764
寸,8,31056
義,14,54348
丞,1,3882
行,11,42702
逆,2,7764
委,3,11646
旌,8,31056
交,3,11646
旂,3,11646
事,7,27174
建,6,23292
氏,1,3882
報,1,3882
揖,4,15528
主,6,23292
饕,1,3882
比,1,3882
繅,3,11646
郊,5,19410
北,7,27174
附,4,15528
八,1,3882
屬,2,7764
適,1,3882
士,5,19410
欲,1,3882
喜,1,3882
姓,3,11646
入,3,11646
讓,12,46584
令,7,27174
退,1,3882
繼,2,7764
小,3,11646
家,4,15528
儐,1,3882
盡,2,7764
伯,7,27174
陳,3,11646
公,8,31056
辭,1,3882
言,2,7764
用,5,19410
覿,1,3882
七,15,58230
擯,2,7764
節,4,15528
中,1,3882
旒,4,15528
芻,1,3882
備,1,3882
尊,11,42702
志,1,3882
舉,3,11646
章,4,15528
差,2,7764
旁,1,3882
遍,3,11646
修,2,7764
養,3,11646
藻,1,3882
暴,2,7764
厚,1,3882
歸,1,3882
紹,2,7764
射,3,11646
等,7,27174
師,1,3882
宗,1,3882
王,2,7764
慶,2,7764
朝,11,42702
脩,2,7764
觀,2,7764
饗,8,31056
使,6,23292
門,7,27174
積,3,11646
史,1,3882
政,3,11646
視,2,7764
信,1,3882
閒,1,3882
饔,1,3882
及,6,23292
凶,2,7764
賄,1,3882
知,2,7764
眺,2,7764
具,3,11646
祖,1,3882
自,3,11646
務,2,7764
音,1,3882
內,12,46584
面,8,31056
古,5,19410
東,8,31056
疏,1,3882
重,5,19410
贊,1,3882
功,2,7764
館,1,3882
發,1,3882
還,3,11646
輅,3,11646
俗,1,3882
加,1,3882
一,19,73758
服,17,65994
犯,1,3882
卿,7,27174
禍,1,3882
迎,4,15528
兵,3,11646
土,1,3882
再,4,15528
；,27,104814
攝,1,3882
致,11,42702
聖,1,3882
治,4,15528
賙,1,3882
方,2,7764
槁,1,3882
大,21,81522
賜,1,3882
聘,9,34938
南,2,7764
燕,1,3882
補,2,7764
將,2,7764
喪,2,7764
升,3,11646
位,4,15528
境,2,7764
厲,4,15528
巡,1,3882
賀,2,7764
札,2,7764
教,6,23292
壹,1,3882
儀,10,38820
送,1,3882
輕,2,7764
崇,1,3882
勸,1,3882
失,1,3882
脤,1,3882
各,6,23292
率,3,11646
躬,1,3882
德,11,42702
悖,1,3882
典,2,7764
胥,1,3882
樊,6,23292
諭,2,7764
右,1,3882
禾,2,7764
荒,2,7764
米,1,3882
殷,5,19410
牢,8,31056
喻,1,3882
習,6,23292
別,9,34938
猶,1,3882
賞,1,3882
人,8,31056
賻,1,3882
相,22,85404
受,2,7764
享,1,3882
圖,2,7764
尺,2,7764
物,3,11646
冕,4,15528
哀,1,3882
國,21,81522
平,2,7764
貺,2,7764
傳,2,7764
同,5,19410
他,2,7764
群,1,3882
施,3,11646
陵,5,19410
順,2,7764
常,4,15528
康,1,3882
贈,2,7764
器,1,3882
福,2,7764
賤,5,19410
璧,2,7764
瑞,3,11646
日,2,7764
近,1,3882
鎮,1,3882
搢,1,3882
民,5,19410
禁,2,7764
封,1,3882
西,4,15528
安,1,3882
災,2,7764
乘,8,31056
百,5,19410
天,24,93168
里,11,42702
尚,1,3882
撫,1,3882
上,15,58230
問,3,11646
聽,2,7764
春,1,3882
命,24,93168
定,2,7764
正,5,19410
利,1,3882
待,2,7764
本,1,3882
男,7,27174
弔,1,3882
勞,3,11646
厄,1,3882
拜,7,27174
侵,4,15528
禮,51,197981
鄉,1,3882
量,1,3882
伐,1,3882
賓,8,31056
樂,6,23292
爵,3,11646
震,1,3882
達,1,3882
孝,1,3882
世,1,3882
覲,1,3882
地,1,3882
就,5,19410
諸,55,213509
親,8,31056
介,9,34938
穀,1,3882
語,1,3882
體,1,3882
謀,1,3882
太,2,7764
忘,1,3882
冬,1,3882
遇,1,3882
