Character, Abs. Freq., Rel. Freq.
諏,4,74349
趣,2,37175
逆,2,37175
行,4,74349
樞,2,37175
任,6,111524
𝌠,2,37175
食,2,37175
職,4,74349
男,8,148699
非,2,37175
八,2,37175
」,18,334572
亡,2,37175
假,2,37175
符,2,37175
家,2,37175
小,2,37175
終,2,37175
間,2,37175
無,6,111524
哲,2,37175
道,2,37175
年,2,37175
時,8,148699
失,2,37175
陽,2,37175
務,2,37175
喪,2,37175
止,4,74349
孤,4,74349
自,4,74349
到,4,74349
奚,2,37175
來,6,111524
咨,4,74349
昭,2,37175
一,2,37175
力,2,37175
救,2,37175
豎,2,37175
順,6,111524
初,2,37175
大,6,111524
致,2,37175
上,2,37175
聞,2,37175
「,18,334572
物,2,37175
厥,2,37175
提,2,37175
丈,4,74349
氣,2,37175
知,4,74349
字,2,37175
往,4,74349
堪,2,37175
人,4,74349
壺,2,37175
冒,2,37175
王,2,37175
扶,4,74349
容,2,37175
貞,2,37175
信,4,74349
測,18,334572
事,36,669145
方,4,74349
亨,2,37175
誨,2,37175
耳,4,74349
氂,2,37175
各,2,37175
七,2,37175
代,2,37175
女,8,148699
