Character, Abs. Freq., Rel. Freq.
」,28,469799
福,4,67114
陽,2,33557
殉,2,33557
情,2,33557
創,2,33557
外,2,33557
淵,2,33557
往,4,67114
牽,4,67114
中,4,67114
一,2,33557
冥,2,33557
蹇,8,134228
力,6,100671
心,4,67114
𝍕,2,33557
功,4,67114
道,2,33557
國,2,33557
否,4,67114
泣,2,33557
角,4,67114
車,2,33557
羈,4,67114
逆,2,33557
舟,2,33557
尾,2,33557
正,2,33557
蒙,2,33557
初,2,33557
忘,4,67114
山,2,33557
鼻,2,33557
沍,2,33557
凍,2,33557
遠,4,67114
大,4,67114
戁,2,33557
「,28,469799
克,2,33557
微,2,33557
放,2,33557
七,2,33557
君,2,33557
踖,8,134228
膂,2,33557
勤,26,436242
測,18,302013
爽,2,33557
繈,2,33557
來,2,33557
八,2,33557
呱,4,67114
負,2,33557
幾,2,33557
陰,2,33557
食,4,67114
悾,4,67114
諸,2,33557
恩,4,67114
內,2,33557
吾,4,67114
弊,4,67114
抱,2,33557
卻,2,33557
輔,2,33557
人,4,67114
倍,2,33557
上,4,67114
貞,4,67114
邇,2,33557
禍,2,33557
邸,2,33557
德,2,33557
天,4,67114
柴,2,33557
入,2,33557
躬,2,33557
杖,2,33557
成,4,67114
勞,14,234899
命,2,33557
