Character, Abs. Freq., Rel. Freq.
解,2,37453
七,2,37453
「,20,374532
彊,2,37453
禍,4,74906
物,2,37453
上,2,37453
八,2,37453
𝍍,2,37453
中,2,37453
胼,2,37453
螽,8,149813
縣,4,74906
介,2,37453
堅,22,411985
泄,2,37453
觸,4,74906
國,2,37453
蛡,8,149813
冢,4,74906
喪,6,112360
尸,2,37453
緒,2,37453
怙,4,74906
憑,2,37453
螮,12,224719
行,2,37453
測,18,337079
翊,4,74906
陽,2,37453
顛,4,74906
惟,2,37453
民,2,37453
形,6,112360
韱,4,74906
大,4,74906
𧋈,2,37453
康,2,37453
直,2,37453
」,20,374532
磐,4,74906
凌,4,74906
為,2,37453
冒,2,37453
一,2,37453
齊,2,37453
固,6,112360
氐,2,37453
焚,4,74906
玉,4,74906
知,2,37453
變,2,37453
州,2,37453
白,4,74906
初,2,37453
內,6,112360
貞,6,112360
用,4,74906
競,2,37453
小,8,149813
陰,2,37453
虛,4,74906
紗,4,74906
石,4,74906
空,2,37453
營,8,149813
方,2,37453
持,2,37453
化,6,112360
