Character, Abs. Freq., Rel. Freq.
時,2,34247
無,6,102740
我,4,68493
爰,8,136986
克,4,68493
方,2,34247
橿,4,68493
法,2,34247
中,8,136986
辰,2,34247
益,2,34247
鳳,4,68493
終,4,68493
自,2,34247
脩,2,34247
柔,4,68493
聰,4,68493
右,2,34247
德,2,34247
用,2,34247
明,4,68493
小,4,68493
血,2,34247
廈,2,34247
折,4,68493
基,4,68493
庶,2,34247
田,2,34247
正,2,34247
羽,2,34247
左,2,34247
太,4,68493
大,4,68493
君,6,102740
；,2,34247
疆,2,34247
「,20,342466
微,2,34247
士,2,34247
柱,6,102740
彊,24,410959
衰,4,68493
𝌩,2,34247
美,2,34247
七,2,34247
傷,2,34247
萬,2,34247
位,2,34247
上,2,34247
隆,2,34247
乾,4,68493
攸,2,34247
圉,2,34247
貞,4,68493
勉,4,68493
顛,2,34247
力,2,34247
山,4,68493
猛,2,34247
陽,2,34247
金,4,68493
物,2,34247
肉,4,68493
尤,2,34247
」,20,342466
剛,6,102740
鳥,4,68493
初,2,34247
蹶,2,34247
八,2,34247
飛,4,68493
流,2,34247
測,18,308219
氣,2,34247
謀,2,34247
統,2,34247
天,2,34247
人,6,102740
梁,18,308219
來,2,34247
拔,4,68493
一,2,34247
弱,2,34247
否,4,68493
