Character, Abs. Freq., Rel. Freq.
明,2,38168
內,4,76336
極,2,38168
貞,8,152672
黃,4,76336
𝌪,2,38168
光,2,38168
重,2,38168
七,2,38168
冥,4,76336
人,6,114504
瘱,2,38168
上,6,114504
中,4,76336
耳,4,76336
自,2,38168
駮,4,76336
佐,2,38168
元,2,38168
慕,4,76336
陽,4,76336
道,2,38168
補,4,76336
惡,4,76336
初,4,76336
昭,2,38168
終,6,114504
淵,2,38168
測,18,343511
正,2,38168
無,10,190840
「,22,419847
天,2,38168
失,2,38168
克,2,38168
方,2,38168
聰,2,38168
祿,2,38168
君,2,38168
厥,2,38168
保,2,38168
」,22,419847
物,2,38168
承,4,76336
嘉,2,38168
目,4,76336
永,2,38168
小,6,114504
地,2,38168
善,6,114504
恭,2,38168
𥘩,4,76336
咸,2,38168
愆,10,190840
氣,2,38168
幽,4,76336
察,2,38168
一,2,38168
穢,4,76336
易,2,38168
八,2,38168
大,4,76336
誠,2,38168
辰,4,76336
清,6,114504
睟,36,687023
冒,4,76336
