Character, Abs. Freq., Rel. Freq.
惡,2,35714
滿,8,142857
一,2,35714
開,2,35714
嬴,4,71429
車,2,35714
「,20,357143
裔,2,35714
尚,2,35714
」,20,357143
七,2,35714
冥,4,71429
辰,4,71429
閉,2,35714
明,2,35714
陰,2,35714
耳,2,35714
盜,6,107143
積,26,464286
勞,2,35714
己,2,35714
澤,2,35714
非,6,107143
蕃,2,35714
規,2,35714
初,2,35714
帛,2,35714
維,2,35714
苗,2,35714
人,8,142857
損,2,35714
碩,4,71429
物,2,35714
石,4,71429
山,2,35714
介,2,35714
決,2,35714
施,4,71429
魁,4,71429
禍,6,107143
善,8,142857
顏,4,71429
獲,2,35714
用,6,107143
骫,2,35714
來,2,35714
寇,2,35714
君,6,107143
基,2,35714
萬,2,35714
作,2,35714
費,2,35714
川,2,35714
食,4,71429
陽,2,35714
辜,2,35714
否,4,71429
力,2,35714
無,4,71429
將,2,35714
收,2,35714
藪,2,35714
亢,2,35714
自,2,35714
大,8,142857
心,2,35714
班,2,35714
度,2,35714
上,2,35714
藏,4,71429
罪,2,35714
小,6,107143
玉,2,35714
八,2,35714
測,18,321429
招,2,35714
攸,2,35714
還,2,35714
𝍁,2,35714
歸,2,35714
欲,2,35714
