Character, Abs. Freq., Rel. Freq.
殺,2,8210
計,2,8210
記,2,8210
龜,2,8210
馬,4,16420
成,4,16420
朝,2,8210
黻,2,8210
「,40,164204
銜,2,8210
隱,2,8210
來,2,8210
載,2,8210
寸,2,8210
坐,4,16420
優,2,8210
王,6,24631
士,2,8210
窮,2,8210
鈞,2,8210
少,4,16420
為,20,82102
賜,2,8210
極,2,8210
隆,2,8210
觀,4,16420
見,10,41051
吏,4,16420
氏,4,16420
凌,2,8210
應,2,8210
會,2,8210
執,6,24631
通,4,16420
車,4,16420
『,2,8210
賓,6,24631
聖,8,32841
臺,12,49261
攻,4,16420
弟,6,24631
紃,2,8210
轡,4,16420
好,2,8210
漸,4,16420
救,2,8210
劣,2,8210
登,2,8210
制,2,8210
衣,2,8210
富,2,8210
爭,2,8210
私,2,8210
亥,6,24631
任,4,16420
』,2,8210
冀,2,8210
汝,2,8210
稱,4,16420
理,4,16420
武,2,8210
訪,2,8210
紡,2,8210
方,22,90312
表,2,8210
往,4,16420
絕,6,24631
孔,10,41051
猶,2,8210
並,2,8210
文,8,32841
病,4,16420
組,2,8210
數,2,8210
測,2,8210
驚,2,8210
跪,2,8210
唱,2,8210
俱,2,8210
辭,6,24631
致,2,8210
一,4,16420
盍,2,8210
諭,2,8210
揖,2,8210
容,2,8210
禁,2,8210
施,4,16420
今,8,32841
隨,2,8210
吾,12,49261
公,4,16420
卑,4,16420
法,2,8210
靈,2,8210
郭,6,24631
將,8,32841
體,2,8210
崩,2,8210
陽,4,16420
日,2,8210
旁,2,8210
贄,2,8210
旬,2,8210
背,2,8210
紀,2,8210
重,4,16420
道,4,16420
垂,2,8210
強,2,8210
輪,2,8210
失,4,16420
駭,2,8210
豈,2,8210
力,2,8210
圖,4,16420
懸,2,8210
？,18,73892
獲,2,8210
許,2,8210
轄,2,8210
造,2,8210
易,2,8210
縷,2,8210
當,4,16420
聞,6,24631
答,4,16420
章,2,8210
自,2,8210
事,14,57471
遇,4,16420
挾,2,8210
填,2,8210
上,4,16420
形,2,8210
扶,2,8210
戰,2,8210
覆,4,16420
使,4,16420
毒,4,16420
因,2,8210
願,2,8210
附,4,16420
心,2,8210
入,2,8210
東,6,24631
久,2,8210
義,6,24631
懼,4,16420
知,4,16420
慶,2,8210
遽,2,8210
爾,2,8210
息,2,8210
美,4,16420
齊,18,73892
言,16,65681
說,4,16420
類,4,16420
欲,10,41051
譬,2,8210
赦,2,8210
貢,6,24631
療,2,8210
貌,2,8210
：,42,172414
物,2,8210
梁,8,32841
身,2,8210
顛,2,8210
陰,2,8210
衰,2,8210
折,2,8210
樂,4,16420
復,6,24631
良,6,24631
！,6,24631
館,4,16420
據,4,16420
令,2,8210
興,4,16420
舜,2,8210
尼,2,8210
我,4,16420
紝,2,8210
哀,2,8210
弛,2,8210
退,4,16420
斯,2,8210
敢,2,8210
侯,6,24631
戮,6,24631
適,6,24631
黃,2,8210
室,2,8210
問,6,24631
；,6,24631
讓,2,8210
大,18,73892
動,2,8210
游,2,8210
嫁,4,16420
女,6,24631
喪,2,8210
績,2,8210
害,2,8210
統,2,8210
」,40,164204
君,14,57471
婦,2,8210
虺,6,24631
帝,2,8210
千,4,16420
高,4,16420
微,2,8210
履,2,8210
語,2,8210
位,2,8210
劉,4,16420
危,6,24631
抑,4,16420
長,2,8210
立,2,8210
從,2,8210
仲,2,8210
疾,4,16420
養,2,8210
參,2,8210
要,2,8210
竊,2,8210
難,4,16420
色,2,8210
列,2,8210
張,2,8210
田,4,16420
非,8,32841
瘳,6,24631
幸,2,8210
安,4,16420
作,2,8210
政,2,8210
博,4,16420
肱,4,16420
宴,2,8210
孝,2,8210
惠,2,8210
獻,6,24631
切,4,16420
輈,2,8210
意,2,8210
布,2,8210
售,2,8210
殆,2,8210
墜,4,16420
反,2,8210
無,8,32841
察,2,8210
耳,2,8210
及,6,24631
憚,2,8210
各,4,16420
湯,2,8210
昔,2,8210
鼓,2,8210
顙,2,8210
同,2,8210
河,2,8210
州,4,16420
默,4,16420
就,2,8210
姑,4,16420
告,4,16420
尺,2,8210
繁,2,8210
奚,2,8210
死,4,16420
洽,2,8210
萇,6,24631
丘,12,49261
脩,2,8210
男,2,8210
廉,2,8210
區,4,16420
奔,2,8210
用,2,8210
古,2,8210
堯,2,8210
期,2,8210
陳,8,32841
功,6,24631
深,4,16420
繫,6,24631
目,2,8210
弘,6,24631
黼,2,8210
禮,4,16420
聽,2,8210
起,2,8210
仞,2,8210
舅,2,8210
周,6,24631
織,2,8210
谷,2,8210
尚,4,16420
宰,4,16420
城,4,16420
人,24,98522
諸,6,24631
躬,2,8210
監,2,8210
醫,4,16420
晏,2,8210
臨,2,8210
正,2,8210
終,6,24631
近,4,16420
予,2,8210
