Character, Abs. Freq., Rel. Freq.
；,81,132809
殺,9,14757
違,3,4919
夙,3,4919
訓,3,4919
『,9,14757
義,9,14757
慮,6,9838
勞,12,19675
忠,3,4919
計,3,4919
家,6,9838
太,3,4919
慎,6,9838
害,3,4919
篤,3,4919
鳥,3,4919
度,3,4919
從,3,4919
公,63,103296
月,3,4919
博,6,9838
酒,3,4919
辛,6,9838
逸,3,4919
專,3,4919
性,9,14757
執,3,4919
器,3,4919
類,6,9838
誰,6,9838
擇,3,4919
貪,3,4919
時,15,24594
孔,69,113133
慾,3,4919
逆,6,9838
捷,12,19675
己,12,19675
忿,3,4919
榱,3,4919
桑,6,9838
知,57,93458
昧,3,4919
冥,3,4919
儀,12,19675
本,6,9838
搢,3,4919
智,9,14757
爽,3,4919
冠,3,4919
缺,3,4919
兼,3,4919
民,12,19675
我,3,4919
品,3,4919
處,6,9838
世,12,19675
命,12,19675
無,33,54107
禁,3,4919
請,3,4919
萬,3,4919
任,3,4919
即,6,9838
玄,3,4919
刑,3,4919
關,3,4919
鮮,3,4919
豈,3,4919
信,9,14757
啍,12,19675
木,3,4919
日,9,14757
慕,3,4919
說,3,4919
亡,18,29513
內,3,4919
反,3,4919
昌,3,4919
食,6,9838
寤,6,9838
懼,12,19675
災,9,14757
昔,3,4919
達,3,4919
惠,3,4919
竝,3,4919
階,3,4919
』,9,14757
失,6,9838
定,6,9838
怪,3,4919
邇,3,4919
禮,6,9838
長,6,9838
夢,6,9838
名,3,4919
市,3,4919
水,6,9838
言,33,54107
覯,3,4919
意,6,9838
窮,3,4919
治,12,19675
侯,3,4919
自,18,29513
登,3,4919
君,69,113133
仁,9,14757
？,60,98377
占,6,9838
今,12,19675
隅,3,4919
親,6,9838
冕,3,4919
變,3,4919
中,6,9838
覩,9,14757
俯,3,4919
備,3,4919
正,3,4919
庸,12,19675
拱,3,4919
魯,3,4919
危,12,19675
側,3,4919
大,21,34432
力,6,9838
神,3,4919
合,6,9838
誕,3,4919
詩,6,9838
道,54,88539
墟,3,4919
少,6,9838
菲,3,4919
愨,6,9838
王,15,24594
壽,9,14757
端,6,9838
粥,3,4919
侮,3,4919
甫,3,4919
務,12,19675
格,3,4919
富,6,9838
心,18,29513
阼,3,4919
求,12,19675
脩,6,9838
論,3,4919
易,3,4919
穀,6,9838
飲,3,4919
非,21,34432
戊,6,9838
寡,18,29513
敢,6,9838
一,3,4919
天,30,49188
