Character, Abs. Freq., Rel. Freq.
久,4,16488
胥,2,8244
施,2,8244
往,2,8244
七,4,16488
厄,2,8244
受,4,16488
井,2,8244
語,2,8244
積,2,8244
』,4,16488
祐,2,8244
干,2,8244
叔,2,8244
天,8,32976
汝,14,57708
充,2,8244
多,2,8244
弊,2,8244
從,4,16488
竊,4,16488
昔,4,16488
芳,2,8244
芝,2,8244
順,2,8244
患,2,8244
懷,2,8244
逸,2,8244
用,6,24732
邑,2,8244
伍,2,8244
醜,2,8244
剖,2,8244
信,8,32976
義,2,8244
望,2,8244
宰,2,8244
人,24,98928
諸,4,16488
刑,2,8244
生,8,32976
遠,4,16488
入,4,16488
智,4,16488
為,26,107172
世,2,8244
徒,2,8244
勿,2,8244
》,2,8244
晉,2,8244
祭,2,8244
埃,4,16488
林,2,8244
賜,6,24732
外,2,8244
稽,2,8244
思,4,16488
盍,2,8244
曠,2,8244
糧,2,8244
即,4,16488
處,2,8244
距,2,8244
知,2,8244
致,4,16488
庸,2,8244
魯,4,16488
遂,2,8244
德,4,16488
容,10,41220
縱,2,8244
耳,2,8244
畏,4,16488
誦,2,8244
日,10,41220
棄,2,8244
推,2,8244
貨,2,8244
齊,2,8244
匪,4,16488
求,4,16488
恐,2,8244
召,6,24732
聞,8,32976
立,2,8244
墨,4,16488
犯,2,8244
聖,2,8244
識,2,8244
？,28,115416
霸,4,16488
工,2,8244
我,6,24732
深,4,16488
顧,2,8244
楚,4,16488
參,2,8244
驕,4,16488
欣,2,8244
曾,6,24732
：,48,197857
聽,2,8244
待,2,8244
羹,2,8244
虎,2,8244
危,2,8244
命,2,8244
句,2,8244
樂,8,32976
農,2,8244
善,4,16488
慍,2,8244
一,6,24732
時,4,16488
改,6,24732
仲,2,8244
行,10,41220
道,12,49464
絃,2,8244
愈,2,8244
昭,2,8244
！,16,65952
非,6,24732
服,2,8244
辭,4,16488
龍,2,8244
紀,2,8244
歌,2,8244
廉,4,16488
王,6,24732
終,6,24732
顏,14,57708
吾,26,107172
率,2,8244
譏,2,8244
治,2,8244
中,6,24732
『,4,16488
色,2,8244
重,2,8244
心,6,24732
固,4,16488
相,2,8244
；,28,115416
丘,2,8244
禍,2,8244
殺,2,8244
困,4,16488
路,12,49464
黎,2,8244
少,2,8244
肖,2,8244
身,6,24732
圍,2,8244
伯,2,8244
君,20,82440
死,4,16488
孔,30,123660
貢,14,57708
節,10,41220
聘,2,8244
回,20,82440
悅,2,8244
《,2,8244
巧,2,8244
修,8,32976
國,2,8244
窮,6,24732
刺,2,8244
博,2,8244
意,6,24732
士,2,8244
奚,6,24732
獨,2,8244
欲,4,16488
慷,2,8244
夢,2,8244
稼,2,8244
石,2,8244
關,2,8244
食,10,41220
越,2,8244
壞,2,8244
蔡,8,32976
常,6,24732
耕,2,8244
歎,2,8244
全,2,8244
仁,10,41220
作,2,8244
拜,2,8244
報,6,24732
告,6,24732
曹,2,8244
良,4,16488
」,44,181369
才,2,8244
糴,2,8244
使,4,16488
衰,2,8244
敗,2,8244
墮,4,16488
慨,2,8244
陳,8,32976
綱,2,8244
齎,2,8244
潔,2,8244
餓,2,8244
爾,6,24732
侯,2,8244
講,2,8244
炊,4,16488
失,2,8244
通,2,8244
向,2,8244
貶,2,8244
進,4,16488
飯,8,32976
絕,2,8244
財,2,8244
首,2,8244
見,12,49464
禮,2,8244
比,2,8244
詩,2,8244
將,4,16488
廣,4,16488
學,2,8244
志,4,16488
今,6,24732
對,4,16488
米,2,8244
稱,2,8244
遇,6,24732
無,14,57708
云,4,16488
野,4,16488
予,2,8244
「,44,181369
言,2,8244
陽,2,8244
惜,2,8244
賢,4,16488
豈,4,16488
問,10,41220
啟,2,8244
蘭,2,8244
大,6,24732
自,4,16488
疑,2,8244
憂,8,32976
謀,4,16488
病,6,24732
會,2,8244
衛,2,8244
小,2,8244
置,2,8244
氏,2,8244
衣,2,8244
夷,2,8244
居,4,16488
忠,2,8244
穡,2,8244
諫,2,8244
屋,2,8244
逢,2,8244
兕,2,8244
福,2,8244
疇,2,8244
止,2,8244
兵,2,8244
踐,2,8244
