Character, Abs. Freq., Rel. Freq.
燕,2,3243
肱,2,3243
館,8,12970
來,2,3243
冠,8,12970
母,36,58366
從,14,22698
國,14,22698
吾,46,74578
兄,2,3243
內,6,9728
東,2,3243
飲,6,9728
幼,10,16213
尊,6,9728
友,2,3243
敬,4,6485
晏,8,12970
仁,4,6485
原,2,3243
馬,4,6485
御,2,3243
豐,2,3243
遇,10,16213
徒,6,9728
聞,26,42153
括,2,3243
陷,4,6485
考,2,3243
琴,6,9728
盜,4,6485
參,2,3243
祥,2,3243
沐,6,9728
知,32,51881
寢,4,6485
終,2,3243
死,40,64851
兼,2,3243
問,58,94034
歛,6,9728
戚,4,6485
成,10,16213
歸,2,3243
兆,2,3243
解,2,3243
侯,2,3243
埋,6,9728
苴,2,3243
疑,2,3243
君,56,90791
辟,2,3243
姊,2,3243
供,2,3243
璠,2,3243
干,2,3243
斯,4,6485
非,24,38911
進,4,6485
魯,24,38911
庭,2,3243
乘,2,3243
識,2,3243
小,8,12970
『,34,55123
語,4,6485
共,2,3243
生,2,3243
將,22,35668
向,2,3243
反,8,12970
僭,2,3243
豹,6,9728
麤,2,3243
男,4,6485
道,10,16213
氏,12,19455
「,134,217250
慈,14,22698
舉,4,6485
姦,6,9728
亂,4,6485
讓,6,9728
璵,2,3243
擊,2,3243
世,18,29183
天,6,9728
位,2,3243
膺,2,3243
卒,18,29183
食,26,42153
戒,2,3243
傅,2,3243
多,2,3243
裘,2,3243
聃,4,6485
止,6,9728
適,2,3243
王,10,16213
順,4,6485
仲,10,16213
毀,4,6485
法,6,9728
害,4,6485
脫,2,3243
正,2,3243
棄,4,6485
玄,2,3243
飾,2,3243
駮,2,3243
縶,8,12970
剋,2,3243
驂,2,3243
絰,2,3243
苫,4,6485
異,4,6485
質,2,3243
級,2,3243
路,18,29183
省,2,3243
逃,2,3243
賊,2,3243
惡,8,12970
飽,2,3243
宗,14,22698
齊,12,19455
忍,4,6485
親,12,19455
民,2,3243
達,2,3243
葬,4,6485
我,20,32425
傷,2,3243
諸,8,12970
己,2,3243
趨,2,3243
期,4,6485
夷,2,3243
他,2,3243
行,14,22698
臣,24,38911
亡,2,3243
學,12,19455
業,2,3243
萬,2,3243
爾,2,3243
中,8,12970
酒,2,3243
煞,2,3243
哀,10,16213
陪,2,3243
年,12,19455
遠,2,3243
席,2,3243
廬,2,3243
浴,6,9728
瘠,6,9728
祀,2,3243
帷,4,6485
弔,18,29183
言,2,3243
人,60,97276
廟,2,3243
朝,12,19455
敢,10,16213
戰,2,3243
居,22,35668
報,2,3243
病,6,9728
藏,4,6485
妾,2,3243
女,4,6485
執,2,3243
殯,10,16213
姜,2,3243
良,4,6485
蒲,2,3243
士,2,3243
右,2,3243
蔽,2,3243
金,4,6485
容,4,6485
物,2,3243
少,8,12970
相,2,3243
盡,8,12970
老,6,9728
帶,2,3243
戈,2,3243
師,2,3243
命,6,9728
日,8,12970
柴,2,3243
仕,6,9728
戶,6,9728
游,6,9728
大,18,29183
歎,2,3243
往,4,6485
辭,8,12970
衎,2,3243
寶,2,3243
情,8,12970
性,2,3243
教,4,6485
斷,2,3243
蓋,10,16213
孟,14,22698
失,4,6485
尸,4,6485
弊,4,6485
犯,2,3243
殷,14,22698
虞,2,3243
滅,2,3243
危,2,3243
甚,2,3243
：,174,282101
昔,4,6485
季,6,9728
壙,2,3243
守,2,3243
婦,6,9728
貞,2,3243
兵,4,6485
』,34,55123
靜,2,3243
揮,2,3243
舍,2,3243
袒,2,3243
設,2,3243
福,2,3243
昭,2,3243
絕,4,6485
欲,8,12970
事,26,42153
髮,2,3243
好,6,9728
妹,2,3243
請,10,16213
功,4,6485
管,6,9728
節,2,3243
肉,2,3243
逆,2,3243
革,4,6485
外,6,9728
姑,2,3243
喪,50,81064
狗,6,9728
宰,2,3243
舊,4,6485
菅,2,3243
玉,4,6485
咎,2,3243
返,2,3243
官,4,6485
衰,4,6485
呼,2,3243
市,2,3243
難,4,6485
初,4,6485
背,2,3243
珠,2,3243
瘍,2,3243
宜,2,3243
邦,2,3243
立,2,3243
心,4,6485
拊,2,3243
祔,8,12970
善,8,12970
顏,2,3243
送,2,3243
一,6,9728
張,6,9728
平,6,9728
禽,6,9728
桓,6,9728
后,2,3243
令,4,6485
都,2,3243
卿,2,3243
政,2,3243
猶,2,3243
忠,2,3243
周,22,35668
回,4,6485
降,2,3243
重,8,12970
鬭,4,6485
云,2,3243
遊,2,3243
無,34,55123
攝,2,3243
曝,2,3243
服,24,38911
禮,66,107004
避,6,9728
《,4,6485
綴,2,3243
潔,2,3243
孔,82,132944
加,2,3243
觀,2,3243
愻,2,3243
致,6,9728
仇,6,9728
」,134,217250
餐,4,6485
！,10,16213
屨,2,3243
䟽,6,9728
地,4,6485
入,4,6485
？,80,129702
嗣,2,3243
記,4,6485
定,2,3243
存,2,3243
書,4,6485
用,4,6485
受,4,6485
杖,6,9728
身,6,9728
端,2,3243
古,6,9728
左,2,3243
伯,12,19455
改,2,3243
傍,2,3243
汝,10,16213
荅,2,3243
；,16,25940
憂,2,3243
醢,4,6485
色,4,6485
魁,2,3243
優,2,3243
上,6,9728
父,36,58366
同,4,6485
義,10,16213
聲,2,3243
》,4,6485
示,4,6485
文,6,9728
制,2,3243
祖,8,12970
樂,2,3243
孫,4,6485
草,2,3243
贈,8,12970
踊,4,6485
處,2,3243
弟,8,12970
聵,2,3243
莅,2,3243
首,4,6485
怠,2,3243
貧,2,3243
治,4,6485
叔,6,9728
豈,2,3243
見,2,3243
妻,4,6485
投,2,3243
曾,2,3243
慎,2,3243
連,4,6485
涕,6,9728
稱,10,16213
家,2,3243
公,34,55123
郕,2,3243
益,2,3243
神,2,3243
德,2,3243
抗,4,6485
況,2,3243
施,4,6485
覆,2,3243
衛,10,16213
安,2,3243
夏,20,32425
明,6,9728
悲,2,3243
