Character, Abs. Freq., Rel. Freq.
述,4,19704
天,10,49261
金,4,19704
相,2,9852
書,2,9852
官,4,19704
南,2,9852
乙,2,9852
泄,2,9852
民,2,9852
易,4,19704
太,2,9852
卿,4,19704
初,2,9852
無,6,29557
卒,4,19704
祈,2,9852
繼,2,9852
即,2,9852
微,18,88670
作,6,29557
宋,14,68966
士,4,19704
典,2,9852
春,2,9852
稱,4,19704
時,4,19704
著,2,9852
夷,4,19704
自,6,29557
道,8,39409
禮,2,9852
孔,30,147783
顏,6,29557
甚,2,9852
詩,2,9852
送,2,9852
式,2,9852
貪,2,9852
身,2,9852
陬,2,9852
宗,2,9852
罪,2,9852
庚,2,9852
管,2,9852
錯,2,9852
生,38,187192
伯,8,39409
？,8,39409
世,12,59113
使,2,9852
征,2,9852
適,2,9852
起,2,9852
上,4,19704
治,2,9852
加,2,9852
祀,6,29557
封,4,19704
蔡,2,9852
大,10,49261
尺,2,9852
敬,4,19704
讚,2,9852
丘,4,19704
夏,4,19704
尼,6,29557
名,12,59113
明,4,19704
定,2,9852
法,2,9852
兩,2,9852
妻,4,19704
誨,2,9852
配,2,9852
族,4,19704
殆,2,9852
昭,2,9852
覩,2,9852
朝,2,9852
甫,4,19704
非,2,9852
睪,4,19704
悅,2,9852
惜,2,9852
嚴,2,9852
《,10,49261
施,2,9852
字,6,29557
吾,10,49261
丁,2,9852
娶,2,9852
家,2,9852
！,4,19704
圻,2,9852
華,2,9852
榮,2,9852
嘉,2,9852
讓,2,9852
諸,2,9852
難,2,9852
級,2,9852
》,10,49261
制,4,19704
籍,2,9852
國,4,19704
亂,4,19704
進,2,9852
千,2,9852
歲,2,9852
入,2,9852
君,2,9852
貢,2,9852
殷,8,39409
訓,2,9852
將,8,39409
章,2,9852
病,2,9852
素,2,9852
樂,2,9852
憲,2,9852
海,2,9852
避,2,9852
班,2,9852
武,12,59113
及,6,29557
庶,2,9852
祖,4,19704
貴,2,9852
舜,2,9852
為,24,118227
遷,2,9852
盡,2,9852
人,10,49261
勝,4,19704
論,2,9852
倫,2,9852
形,2,9852
申,4,19704
見,4,19704
王,18,88670
知,4,19704
脩,2,9852
稽,4,19704
」,16,78818
「,16,78818
女,8,39409
侯,2,9852
來,2,9852
終,2,9852
理,2,9852
耳,2,9852
德,8,39409
嗣,6,29557
從,2,9852
襄,2,9852
對,2,9852
興,2,9852
小,2,9852
衰,2,9852
鯉,4,19704
告,2,9852
百,2,9852
一,4,19704
聞,6,29557
：,18,88670
賜,4,19704
衍,2,9852
教,2,9852
仲,6,29557
紀,2,9852
辭,2,9852
餘,2,9852
豈,2,9852
文,6,29557
犇,2,9852
弟,2,9852
周,10,49261
共,2,9852
叔,14,68966
妾,2,9852
記,2,9852
逢,2,9852
史,2,9852
木,2,9852
猶,2,9852
位,2,9852
啟,2,9852
徙,2,9852
年,8,39409
秋,2,9852
私,2,9852
紇,4,19704
高,2,9852
葬,2,9852
欲,4,19704
物,2,9852
因,2,9852
山,4,19704
垂,4,19704
疑,2,9852
窮,2,9852
霍,2,9852
湯,4,19704
；,2,9852
男,2,9852
厲,2,9852
帝,2,9852
冑,2,9852
求,2,9852
禱,2,9852
父,26,128079
魯,6,29557
裔,2,9852
兄,2,9852
爵,4,19704
孫,4,19704
皮,4,19704
熙,4,19704
宮,2,9852
考,6,29557
力,2,9852
緡,2,9852
奉,2,9852
防,6,29557
魚,10,49261
堯,2,9852
退,2,9852
束,2,9852
性,2,9852
聖,6,29557
氏,12,59113
號,6,29557
盛,2,9852
孰,2,9852
義,2,9852
久,2,9852
禍,2,9852
命,4,19704
思,2,9852
親,2,9852
內,2,9852
元,2,9852
廟,2,9852
梁,4,19704
往,4,19704
刪,2,9852
淵,2,9852
爾,2,9852
遺,2,9852
言,4,19704
婚,2,9852
志,2,9852
問,4,19704
貽,2,9852
遂,6,29557
賢,2,9852
長,2,9852
齊,2,9852
歌,2,9852
祚,4,19704
貺,2,9852
崩,2,9852
泰,2,9852
徵,6,29557
孟,4,19704
仕,2,9852
正,4,19704
統,2,9852
克,2,9852
方,4,19704
寶,4,19704
鄙,2,9852
紂,4,19704
斯,2,9852
別,2,9852
公,24,118227
懼,2,9852
東,2,9852
今,8,39409
絕,2,9852
成,4,19704
滯,2,9852
