Character, Abs. Freq., Rel. Freq.
事,4,122699
睦,2,61350
傷,2,61350
知,4,122699
德,6,184049
無,4,122699
席,2,61350
語,2,61350
《,2,61350
：,8,245399
仲,2,61350
尼,2,61350
親,2,61350
道,4,122699
」,6,184049
受,2,61350
敏,2,61350
膚,2,61350
曾,4,122699
世,2,61350
中,2,61350
大,2,61350
「,6,184049
侍,2,61350
終,4,122699
孝,8,245399
髮,2,61350
體,2,61350
敢,2,61350
本,2,61350
脩,2,61350
王,2,61350
用,2,61350
立,4,122699
坐,2,61350
名,2,61350
聿,2,61350
復,2,61350
民,2,61350
吾,2,61350
父,4,122699
》,2,61350
云,2,61350
參,2,61350
生,2,61350
怨,2,61350
』,2,61350
顯,2,61350
身,6,184049
揚,2,61350
？,4,122699
『,2,61350
天,2,61350
行,2,61350
君,2,61350
雅,2,61350
和,2,61350
爾,2,61350
順,2,61350
念,2,61350
汝,4,122699
居,2,61350
祖,2,61350
上,2,61350
母,4,122699
避,2,61350
教,2,61350
要,2,61350
毀,2,61350
厥,2,61350
