Character, Abs. Freq., Rel. Freq.
隱,2,3241
孝,6,9724
『,52,84279
類,4,6483
獸,14,22690
因,2,3241
商,2,3241
體,2,3241
池,4,6483
牣,2,3241
功,4,6483
塗,4,6483
邦,2,3241
油,2,3241
田,4,6483
偕,6,9724
恥,2,3241
視,2,3241
齕,2,3241
戴,4,6483
愬,2,3241
躍,2,3241
語,6,9724
大,14,22690
豚,4,6483
！,10,16207
鴻,2,3241
惛,2,3241
《,8,12966
少,2,3241
鶴,4,6483
帛,8,12966
位,2,3241
好,2,3241
囿,2,3241
賢,6,9724
粟,2,3241
道,8,12966
乘,8,12966
撫,2,3241
施,4,6483
反,6,9724
耨,4,6483
陷,4,6483
鈞,2,3241
利,18,29173
牛,10,16207
負,4,6483
政,10,16207
強,2,3241
兵,10,16207
重,2,3241
濯,4,6483
成,2,3241
愛,10,16207
人,68,110211
交,2,3241
浡,2,3241
請,8,12966
仰,4,6483
太,4,6483
填,2,3241
笑,6,9724
雲,2,3241
邪,2,3241
救,2,3241
胡,2,3241
鄒,4,6483
畏,2,3241
舍,2,3241
廚,2,3241
非,12,19449
將,6,9724
立,4,6483
八,6,9724
似,2,3241
領,2,3241
麋,4,6483
恆,10,16207
義,14,22690
憾,4,6483
甘,2,3241
畝,8,12966
方,4,6483
使,14,22690
攻,2,3241
物,2,3241
百,34,55105
說,2,3241
年,4,6483
數,4,6483
小,6,9724
穀,4,6483
盡,4,6483
詩,6,9724
忖,2,3241
歸,2,3241
海,8,12966
世,2,3241
庖,4,6483
馬,2,3241
彘,6,9724
輿,4,6483
夷,2,3241
望,6,9724
刑,6,9724
觳,4,6483
斂,2,3241
苦,2,3241
寒,4,6483
推,6,9724
悌,6,9724
尼,4,6483
離,2,3241
狗,6,9724
移,4,6483
本,4,6483
苟,4,6483
安,2,3241
晉,4,6483
誠,8,12966
齊,10,16207
衣,8,12966
桑,4,6483
國,24,38898
緣,4,6483
歲,8,12966
加,6,9724
羊,10,16207
弱,2,3241
河,8,12966
沼,10,16207
斧,2,3241
時,16,25932
欲,28,45381
仲,4,6483
堅,2,3241
南,2,3241
異,16,25932
定,4,6483
產,8,12966
失,4,6483
仕,2,3241
惟,4,6483
治,2,3241
姓,14,22690
勿,8,12966
家,12,19449
敏,2,3241
禽,6,9724
臣,10,16207
我,20,32415
坐,2,3241
短,2,3241
千,12,19449
一,18,29173
敵,12,19449
日,6,9724
斯,6,9724
戰,6,9724
罪,10,16207
盍,2,3241
曳,2,3241
農,2,3241
省,2,3241
旱,2,3241
耳,6,9724
罟,2,3241
勝,14,22690
財,2,3241
志,2,3241
聽,2,3241
土,2,3241
嬖,2,3241
耕,8,12966
末,2,3241
聞,12,19449
寡,18,29173
承,2,3241
枝,4,6483
問,4,6483
遠,4,6483
抑,4,6483
合,2,3241
固,8,12966
災,4,6483
猶,2,3241
旅,2,3241
古,4,6483
凍,2,3241
鐘,4,6483
湯,2,3241
為,58,94003
食,26,42139
對,22,35656
今,10,16207
明,8,12966
遺,2,3241
生,6,9724
飢,12,19449
從,4,6483
君,16,25932
顧,2,3241
壯,2,3241
殆,2,3241
嘗,2,3241
廢,4,6483
贍,2,3241
鴈,2,3241
庠,4,6483
女,2,3241
興,4,6483
俑,2,3241
目,2,3241
毫,2,3241
七,10,16207
復,2,3241
煖,2,3241
罰,2,3241
往,2,3241
誰,4,6483
林,2,3241
雞,4,6483
終,4,6483
殺,10,16207
刃,6,9724
教,8,12966
地,14,22690
羽,4,6483
害,2,3241
征,4,6483
；,36,58347
觫,4,6483
獨,6,9724
秋,2,3241
敗,2,3241
予,4,6483
養,6,9724
溺,2,3241
忍,10,16207
水,2,3241
宅,4,6483
危,4,6483
鄰,6,9724
輔,2,3241
權,2,3241
見,24,38898
鳥,4,6483
黎,4,6483
比,2,3241
申,4,6483
洿,2,3241
肉,12,19449
妻,10,16207
攸,2,3241
洒,2,3241
奚,2,3241
便,2,3241
術,2,3241
刺,2,3241
老,8,12966
牧,2,3241
萬,4,6483
褊,2,3241
口,6,9724
言,6,9724
襄,2,3241
序,4,6483
藏,2,3241
靈,10,16207
鼈,6,9724
賈,2,3241
走,4,6483
傳,2,3241
違,2,3241
薄,2,3241
令,2,3241
侈,2,3241
吾,34,55105
叟,4,6483
長,8,12966
肥,6,9724
木,8,12966
內,6,9724
路,4,6483
辱,2,3241
孰,10,16207
度,6,9724
》,8,12966
撻,2,3241
疾,2,3241
來,4,6483
他,4,6483
否,6,9724
色,4,6483
鹿,8,12966
仁,16,25932
傷,2,3241
臺,10,16207
前,2,3241
多,6,9724
甲,6,9724
弒,4,6483
宣,2,3241
？,114,184765
甚,6,9724
深,2,3241
孟,18,29173
構,2,3241
」,100,162075
東,6,9724
彊,2,3241
率,4,6483
山,6,9724
楚,12,19449
發,4,6483
驅,2,3241
里,8,12966
幼,6,9724
運,2,3241
魚,14,22690
求,12,19449
桓,4,6483
徒,2,3241
信,2,3241
作,4,6483
善,4,6483
母,12,19449
諸,8,12966
雨,2,3241
惠,10,16207
事,12,19449
禦,8,12966
步,10,16207
月,2,3241
恩,10,16207
即,2,3241
宜,2,3241
引,2,3241
稅,2,3241
釁,4,6483
庶,6,9724
』,52,84279
擇,2,3241
槁,2,3241
饜,2,3241
莅,2,3241
嗜,6,9724
免,6,9724
市,2,3241
「,100,162075
沛,4,6483
伏,2,3241
喪,8,12966
散,2,3241
赴,2,3241
俯,4,6483
父,14,22690
北,4,6483
罔,4,6483
察,4,6483
制,6,9724
