Character, Abs. Freq., Rel. Freq.
堪,2,3373
才,8,13491
孝,14,23609
辰,2,3373
產,2,3373
寸,2,3373
屋,2,3373
希,4,6745
廷,2,3373
救,6,10118
爾,4,6745
冠,4,6745
肉,4,6745
熄,2,3373
平,4,6745
鄰,2,3373
遇,2,3373
居,10,16863
弓,6,10118
微,2,3373
稷,8,13491
果,4,6745
瓢,2,3373
疾,4,6745
寓,2,3373
混,4,6745
夜,4,6745
儀,2,3373
惡,10,16863
踰,2,3373
越,2,3373
云,2,3373
秋,4,6745
屬,2,3373
齊,10,16863
饜,6,10118
宣,2,3373
施,8,13491
朋,2,3373
祥,4,6745
馮,2,3373
病,2,3373
告,6,10118
獨,2,3373
甚,2,3373
城,2,3373
棄,4,6745
輪,2,3373
聽,6,10118
屏,2,3373
言,26,43845
聞,4,6745
約,2,3373
逆,6,10118
很,2,3373
符,2,3373
父,20,33727
妻,18,30354
猶,4,6745
情,2,3373
勇,4,6745
食,6,10118
我,32,53963
收,4,6745
墦,2,3373
臣,16,26981
修,2,3373
！,4,6745
羿,10,16863
察,2,3373
惟,6,10118
旦,2,3373
達,2,3373
無,38,64081
簞,2,3373
行,30,50590
反,28,47218
稱,4,6745
身,6,10118
月,6,10118
惑,2,3373
歷,2,3373
畢,2,3373
吾,8,13491
逢,2,3373
讎,6,10118
國,10,16863
難,2,3373
牆,2,3373
愛,6,10118
誰,4,6745
外,2,3373
學,12,20236
安,4,6745
飲,8,13491
通,2,3373
從,10,16863
餘,6,10118
濟,4,6745
『,24,40472
負,4,6745
幸,2,3373
橫,6,10118
目,2,3373
他,12,20236
相,16,26981
求,4,6745
夏,2,3373
瞷,4,6745
夷,4,6745
羞,2,3373
儲,2,3373
戶,2,3373
為,50,84317
泉,2,3373
合,4,6745
逄,2,3373
郢,2,3373
獸,6,10118
肖,2,3373
民,14,23609
飢,4,6745
鬬,4,6745
人,112,188870
苟,4,6745
友,4,6745
薄,2,3373
洧,2,3373
春,4,6745
財,2,3373
祀,2,3373
驕,2,3373
年,2,3373
陋,2,3373
執,10,16863
竊,2,3373
賊,2,3373
鬥,2,3373
恥,2,3373
條,2,3373
敢,4,6745
當,12,20236
門,4,6745
法,2,3373
高,2,3373
政,8,13491
閒,6,10118
問,8,13491
殺,4,6745
簡,4,6745
思,20,33727
顯,2,3373
岐,2,3373
貌,2,3373
伋,2,3373
事,16,26981
文,8,13491
乘,6,10118
：,130,219224
明,4,6745
桓,2,3373
惰,2,3373
同,8,13491
鑿,2,3373
田,4,6745
手,2,3373
性,2,3373
深,6,10118
談,2,3373
悅,4,6745
徐,2,3373
涸,2,3373
射,12,20236
免,2,3373
郭,2,3373
易,4,6745
大,18,30354
禽,6,10118
涉,2,3373
良,14,23609
卒,6,10118
擇,2,3373
坐,4,6745
戒,2,3373
諫,4,6745
視,14,23609
湯,2,3373
智,10,16863
母,12,20236
鼻,2,3373
回,2,3373
信,2,3373
賢,12,20236
節,2,3373
近,2,3373
晉,4,6745
實,4,6745
？,44,74199
地,6,10118
纓,4,6745
舍,2,3373
犬,2,3373
詩,4,6745
舜,12,20236
訕,2,3373
忘,2,3373
室,6,10118
千,6,10118
敬,8,13491
存,8,13491
澤,8,13491
集,2,3373
辟,2,3373
傳,2,3373
入,4,6745
」,98,165261
弈,2,3373
貨,2,3373
公,28,47218
樂,4,6745
溝,2,3373
發,2,3373
蒙,4,6745
資,4,6745
師,14,23609
世,14,23609
待,8,13491
一,22,37099
仁,18,30354
遂,2,3373
毀,2,3373
遷,2,3373
仲,4,6745
衛,8,13491
堯,2,3373
