Character, Abs. Freq., Rel. Freq.
身,2,74627
軍,10,373134
置,2,74627
國,2,74627
日,2,74627
高,2,74627
外,2,74627
授,2,74627
入,2,74627
中,4,149254
將,8,298507
言,2,74627
職,2,74627
時,2,74627
謀,2,74627
右,2,74627
令,12,447761
轅,2,74627
道,2,74627
左,2,74627
『,4,149254
法,2,74627
受,2,74627
上,2,74627
：,4,149254
廟,2,74627
行,4,149254
設,2,74627
門,6,223881
無,2,74627
閉,2,74627
表,2,74627
清,2,74627
斧,2,74627
鉞,2,74627
從,2,74627
』,4,149254
期,4,149254
請,2,74627
告,2,74627
君,4,149254
敢,6,223881
廷,2,74627
死,2,74627
踰,2,74627
即,2,74627
坐,2,74627
留,2,74627
分,4,149254
命,2,74627
營,4,149254
誅,12,447761
失,2,74627
