Character, Abs. Freq., Rel. Freq.
邑,8,41494
戮,2,10373
逸,8,41494
內,2,10373
帝,8,41494
猷,4,20747
暇,2,10373
乂,4,20747
慼,2,10373
作,14,72614
享,14,72614
歸,2,10373
洪,4,20747
尚,8,41494
威,4,20747
離,2,10373
喪,4,20747
勸,14,72614
康,2,10373
式,2,10373
要,4,20747
越,2,10373
堪,4,20747
虐,2,10373
嗚,6,31120
恭,4,20747
夾,2,10373
尹,4,20747
探,2,10373
亂,4,20747
間,2,10373
聽,2,10373
宅,6,31120
為,2,10373
圖,12,62241
走,2,10373
進,2,10373
崇,2,10373
室,2,10373
忌,2,10373
命,32,165975
叨,2,10373
屢,2,10373
爾,104,539419
劓,2,10373
監,2,10373
明,6,31120
寅,2,10373
庭,2,10373
保,2,10373
無,4,20747
政,4,20747
淫,4,20747
自,12,62241
庶,2,10373
割,2,10373
逖,2,10373
亥,2,10373
秉,2,10373
速,2,10373
寧,2,10373
旅,4,20747
和,8,41494
：,14,72614
惟,86,446058
謀,2,10373
凶,2,10373
肯,2,10373
囚,4,20747
《,2,10373
昏,2,10373
日,4,20747
奄,4,20747
惠,2,10373
》,2,10373
神,2,10373
矜,2,10373
殷,8,41494
年,2,10373
時,14,72614
！,12,62241
？,8,41494
今,8,41494
德,8,41494
位,2,10373
顯,2,10373
典,4,20747
純,2,10373
舒,2,10373
迪,6,31120
力,2,10373
百,2,10373
承,4,20747
播,2,10373
降,16,82988
再,2,10373
大,30,155602
辜,4,20747
我,36,186722
釋,6,31120
蠲,2,10373
小,2,10373
告,10,51867
丁,2,10373
格,2,10373
僚,2,10373
臣,2,10373
賚,2,10373
胥,4,20747
畋,4,20747
呼,6,31120
簡,6,31120
永,6,31120
終,2,10373
邦,4,20747
祇,2,10373
庸,4,20747
宗,4,20747
土,2,10373
丕,2,10373
勤,2,10373
厥,16,82988
周,14,72614
孫,2,10373
罪,2,10373
動,2,10373
罰,8,41494
克,40,207469
祀,4,20747
用,14,72614
靜,2,10373
乙,2,10373
攸,2,10373
誥,8,41494
烝,2,10373
「,12,62241
裕,2,10373
王,26,134855
頗,2,10373
士,8,41494
誕,4,20747
辟,4,20747
成,6,31120
正,4,20747
來,2,10373
月,2,10373
睦,2,10373
夏,20,103734
田,4,20747
暨,2,10373
伯,2,10373
知,2,10373
愛,2,10373
介,6,31120
須,2,10373
奔,2,10373
公,2,10373
殛,2,10373
曷,8,41494
刑,4,20747
多,42,217842
國,4,20747
初,2,10373
熙,2,10373
休,4,20747
慎,4,20747
非,6,31120
忱,6,31120
聖,4,20747
臬,2,10373
服,2,10373
念,8,41494
言,2,10373
事,4,20747
致,2,10373
敬,2,10373
湯,4,20747
辭,2,10373
怨,2,10373
狂,4,20747
殄,4,20747
教,4,20747
天,42,217842
侯,2,10373
甲,2,10373
因,2,10373
罔,14,72614
閱,2,10373
敢,2,10373
戰,2,10373
屑,4,20747
洛,2,10373
畀,6,31120
麗,4,20747
民,28,145228
商,2,10373
求,4,20747
主,6,31120
顧,4,20747
」,12,62241
代,2,10373
欽,2,10373
穆,4,20747
心,2,10373
靈,4,20747
遠,2,10373
開,8,41494
懫,2,10373
方,26,134855
聞,2,10373
集,2,10373
