Character, Abs. Freq., Rel. Freq.
肅,2,10256
德,10,51282
祀,8,41026
太,2,10256
邦,2,10256
朝,2,10256
冊,6,30769
齊,2,10256
保,10,51282
勤,4,20513
河,2,10256
視,4,20513
世,2,10256
克,2,10256
單,2,10256
首,10,51282
即,6,30769
康,2,10256
秩,6,30769
手,10,51282
孺,8,41026
召,2,10256
辭,2,10256
惠,2,10256
》,2,10256
迷,2,10256
公,46,235897
朋,4,20513
考,6,30769
斁,2,10256
衡,2,10256
《,2,10256
洛,8,41026
祝,2,10256
上,2,10256
敬,8,41026
億,2,10256
辟,10,51282
識,4,20513
毖,4,20513
祭,2,10256
乂,2,10256
中,2,10256
迪,6,30769
爽,2,10256
工,8,41026
辰,2,10256
匹,2,10256
基,4,20513
言,2,10256
予,36,184615
今,2,10256
卣,2,10256
民,16,82051
誕,4,20513
厥,4,20513
時,6,30769
烝,2,10256
罔,4,20513
師,8,41026
圖,2,10256
蘉,2,10256
秬,2,10256
替,2,10256
；,6,30769
牛,4,20513
武,14,71795
旦,2,10256
敉,2,10256
禋,6,30769
士,2,10256
惇,6,30769
祖,4,20513
騂,4,20513
厭,2,10256
室,2,10256
多,4,20513
無,14,71795
沖,6,30769
裕,4,20513
戊,2,10256
「,18,92308
載,2,10256
和,2,10256
大,6,30769
困,2,10256
施,2,10256
元,4,20513
志,2,10256
」,18,92308
越,4,20513
吉,2,10256
農,2,10256
乙,2,10256
庶,2,10256
茲,2,10256
天,8,41026
彝,4,20513
夜,2,10256
作,20,102564
方,10,51282
觀,2,10256
澗,2,10256
光,4,20513
殺,2,10256
祼,2,10256
西,2,10256
賓,2,10256
永,6,30769
從,2,10256
汝,16,82051
戾,2,10256
胤,2,10256
受,8,41026
殷,10,51282
歡,2,10256
事,10,51282
敘,8,41026
告,4,20513
正,2,10256
宗,6,30769
迓,2,10256
遘,2,10256
卯,2,10256
記,2,10256
役,2,10256
寧,2,10256
用,2,10256
逸,4,20513
揚,2,10256
悉,2,10256
復,2,10256
使,2,10256
勿,2,10256
昭,2,10256
夙,2,10256
弘,2,10256
顯,2,10256
禮,6,30769
七,2,10256
穆,4,20513
父,2,10256
肇,2,10256
共,2,10256
卜,12,61538
儀,4,20513
享,16,82051
宅,8,41026
月,2,10256
獻,4,20513
咸,8,41026
貞,2,10256
居,2,10256
人,4,20513
焰,4,20513
聽,2,10256
教,6,30769
物,2,10256
撫,2,10256
伻,12,61538
稽,10,51282
祗,2,10256
僚,2,10256
頒,2,10256
疾,2,10256
孚,2,10256
邑,6,30769
遠,2,10256
退,2,10256
營,2,10256
典,2,10256
鬯,2,10256
入,2,10256
烈,6,30769
稱,6,30769
萬,8,41026
篤,10,51282
：,24,123077
宿,2,10256
自,6,30769
誥,4,20513
終,2,10256
懷,2,10256
前,2,10256
東,6,30769
相,8,41026
』,8,41026
水,8,41026
瀍,4,20513
輔,2,10256
奉,2,10256
明,14,71795
及,8,41026
廢,2,10256
王,44,225641
誨,2,10256
監,2,10256
土,2,10256
棐,4,20513
丕,4,20513
侮,2,10256
功,14,71795
旁,2,10256
敢,8,41026
『,6,30769
朔,2,10256
拜,10,51282
恆,4,20513
恭,4,20513
絕,2,10256
定,8,41026
刑,4,20513
攸,2,10256
暇,2,10256
答,4,20513
歲,2,10256
一,4,20513
惟,40,205128
承,4,20513
黎,2,10256
御,2,10256
灼,2,10256
來,16,82051
文,20,102564
命,28,143590
！,18,92308
格,2,10256
年,8,41026
百,4,20513
火,2,10256
往,10,51282
將,6,30769
為,4,20513
休,12,61538
亂,6,30769
績,2,10256
食,4,20513
周,28,143590
我,14,71795
弼,2,10256
新,8,41026
成,8,41026
向,2,10256
朕,12,61538
引,2,10256
小,4,20513
