Character, Abs. Freq., Rel. Freq.
體,2,17094
世,8,68376
移,2,17094
言,2,17094
冊,2,17094
朏,2,17094
海,2,17094
蕩,2,17094
變,2,17094
室,2,17094
文,2,17094
尚,2,17094
同,4,34188
旌,2,17094
澤,2,17094
典,2,17094
勤,2,17094
祿,2,17094
政,8,68376
歷,2,17094
聞,4,34188
王,22,188034
禮,2,17094
口,2,17094
異,2,17094
淫,2,17094
鮮,2,17094
宗,2,17094
席,2,17094
我,2,17094
余,2,17094
呼,8,68376
敷,2,17094
后,2,17094
方,2,17094
一,2,17094
厥,22,188034
仰,2,17094
封,2,17094
癉,2,17094
矜,2,17094
「,6,51282
俾,2,17094
申,4,34188
慝,2,17094
乂,2,17094
左,4,34188
心,6,51282
家,4,34188
固,2,17094
彰,2,17094
允,2,17094
衽,2,17094
厎,2,17094
釐,2,17094
畫,2,17094
綏,2,17094
夷,2,17094
陵,2,17094
民,8,68376
艱,2,17094
聲,2,17094
舊,2,17094
升,2,17094
步,2,17094
陳,2,17094
朝,2,17094
麗,2,17094
多,4,34188
休,2,17094
垂,2,17094
嘉,2,17094
午,2,17094
資,2,17094
永,4,34188
宅,2,17094
人,4,34188
作,4,34188
洽,2,17094
協,2,17094
予,8,68376
基,2,17094
柔,2,17094
表,2,17094
怙,2,17094
壬,2,17094
侉,2,17094
康,4,34188
要,2,17094
弼,2,17094
定,2,17094
今,2,17094
正,2,17094
井,2,17094
嗚,8,68376
富,2,17094
慕,2,17094
寡,2,17094
俗,4,34188
》,2,17094
淑,2,17094
賢,2,17094
將,2,17094
父,6,51282
疆,2,17094
化,4,34188
風,6,51282
受,2,17094
修,2,17094
閑,2,17094
放,2,17094
成,14,119658
亮,2,17094
靡,4,34188
畢,6,51282
邇,2,17094
士,4,34188
滅,2,17094
德,10,85470
用,2,17094
：,8,68376
月,2,17094
率,4,34188
貴,2,17094
驕,2,17094
孫,2,17094
惟,38,324786
中,2,17094
庚,2,17094
公,18,153846
師,8,68376
『,2,17094
密,2,17094
郊,6,51282
里,4,34188
欽,2,17094
降,2,17094
殷,8,68376
大,4,34188
膺,2,17094
福,2,17094
善,2,17094
收,2,17094
服,2,17094
商,2,17094
紀,2,17094
治,2,17094
美,2,17094
圻,2,17094
右,2,17094
烈,2,17094
天,4,34188
萬,2,17094
克,16,136752
豐,2,17094
寧,2,17094
東,2,17094
保,2,17094
邦,2,17094
生,2,17094
罔,10,85470
殄,2,17094
君,2,17094
訓,14,119658
敝,2,17094
古,2,17094
虞,2,17094
！,12,102564
庶,2,17094
實,2,17094
安,2,17094
悖,2,17094
日,2,17094
；,2,17094
臧,4,34188
越,2,17094
寵,2,17094
攸,2,17094
守,2,17094
別,2,17094
危,2,17094
恆,2,17094
無,6,51282
遷,2,17094
式,4,34188
」,6,51282
年,4,34188
色,2,17094
洛,2,17094
拱,2,17094
畏,2,17094
物,2,17094
流,2,17094
《,2,17094
潤,2,17094
前,2,17094
侈,2,17094
賴,2,17094
懋,2,17094
道,8,68376
自,2,17094
惡,4,34188
時,4,34188
樹,2,17094
終,4,34188
毖,2,17094
周,14,119658
武,2,17094
義,4,34188
往,2,17094
祗,4,34188
殊,2,17094
和,2,17094
利,2,17094
小,6,51282
慎,6,51282
頑,2,17094
茲,4,34188
辭,2,17094
勸,2,17094
奢,2,17094
事,4,34188
窮,4,34188
分,2,17094
念,2,17094
咸,2,17094
邑,2,17094
建,2,17094
命,10,85470
居,2,17094
剛,2,17094
好,2,17094
績,2,17094
』,2,17094
革,2,17094
