Character, Abs. Freq., Rel. Freq.
思,2,29586
木,2,29586
傅,4,59172
朕,2,29586
審,2,29586
「,8,118343
旁,2,29586
百,4,59172
作,16,236686
喪,2,29586
朝,2,29586
正,4,59172
夢,4,59172
巖,4,59172
率,2,29586
休,2,29586
弼,2,29586
群,2,29586
命,12,177515
官,2,29586
納,2,29586
肖,2,29586
書,2,29586
工,2,29586
明,4,59172
說,8,118343
實,2,29586
？,2,29586
眩,2,29586
默,2,29586
祗,2,29586
傷,2,29586
使,2,29586
諫,4,59172
終,2,29586
置,2,29586
言,10,147929
辟,2,29586
地,2,29586
君,2,29586
咸,2,29586
我,2,29586
同,2,29586
式,2,29586
象,2,29586
哲,4,59172
旱,2,29586
高,4,59172
夕,2,29586
宗,2,29586
」,8,118343
惟,16,236686
立,2,29586
輔,2,29586
台,4,59172
庸,2,29586
跣,2,29586
疾,2,29586
陰,2,29586
視,2,29586
爰,2,29586
野,4,59172
后,6,88757
築,2,29586
代,2,29586
德,4,59172
恐,2,29586
藥,2,29586
繩,2,29586
邦,2,29586
厥,6,88757
！,4,59172
瘳,2,29586
祀,2,29586
罔,4,59172
臣,6,88757
兆,2,29586
礪,2,29586
形,2,29586
從,4,59172
誥,2,29586
茲,2,29586
俾,4,59172
敢,2,29586
予,6,88757
相,2,29586
亮,2,29586
免,2,29586
令,2,29586
類,2,29586
賚,2,29586
天,4,59172
嗚,4,59172
宅,2,29586
楫,2,29586
歲,2,29586
道,2,29586
迪,2,29586
僚,2,29586
諸,6,88757
欽,2,29586
用,8,118343
匡,2,29586
萬,2,29586
民,2,29586
右,2,29586
呼,4,59172
心,6,88757
：,8,118343
汝,6,88757
誨,2,29586
暨,2,29586
沃,2,29586
康,2,29586
克,2,29586
攸,2,29586
》,2,29586
時,2,29586
大,2,29586
舟,2,29586
求,4,59172
篇,2,29586
疇,2,29586
知,2,29586
左,2,29586
良,2,29586
；,6,88757
霖,2,29586
憂,2,29586
啟,2,29586
稟,2,29586
川,2,29586
聖,4,59172
《,2,29586
帝,2,29586
雨,2,29586
巨,2,29586
方,2,29586
營,2,29586
金,2,29586
王,16,236686
復,2,29586
承,4,59172
恭,2,29586
濟,2,29586
瞑,2,29586
