Character, Abs. Freq., Rel. Freq.
心,2,28736
恥,2,28736
邁,2,28736
欽,2,28736
阿,2,28736
允,2,28736
休,2,28736
俊,2,28736
股,2,28736
咸,2,28736
紹,2,28736
成,2,28736
內,2,28736
；,2,28736
市,2,28736
德,4,57471
天,4,57471
綏,2,28736
格,2,28736
予,12,172414
美,2,28736
佑,2,28736
賢,4,57471
志,4,57471
乂,4,57471
務,2,28736
克,10,143678
聞,4,57471
小,2,28736
修,4,57471
專,2,28736
梅,2,28736
首,2,28736
罔,8,114943
」,8,114943
保,4,57471
麴,2,28736
交,2,28736
懷,2,28736
臣,2,28736
躬,2,28736
來,4,57471
世,2,28736
監,2,28736
舜,2,28736
衡,4,57471
旁,2,28736
野,2,28736
聖,2,28736
民,2,28736
撻,2,28736
永,6,86207
后,6,86207
呼,2,28736
烈,2,28736
俾,4,57471
愆,2,28736
無,2,28736
食,2,28736
非,4,57471
『,2,28736
斆,2,28736
良,2,28736
自,2,28736
辟,2,28736
台,2,28736
酒,2,28736
「,8,114943
和,2,28736
王,12,172414
遜,2,28736
嗚,2,28736
惟,26,373563
庶,2,28736
海,2,28736
招,2,28736
爾,12,172414
祖,2,28736
說,12,172414
一,2,28736
入,2,28736
命,2,28736
半,2,28736
道,2,28736
古,4,57471
堯,2,28736
承,2,28736
多,2,28736
宅,2,28736
獲,4,57471
事,4,57471
蘖,2,28736
愧,2,28736
尚,2,28736
我,4,57471
憲,2,28736
敢,2,28736
汝,2,28736
鹽,2,28736
肱,2,28736
商,2,28736
』,2,28736
拜,2,28736
遯,2,28736
盤,2,28736
匪,2,28736
舊,2,28736
終,4,57471
人,4,57471
明,2,28736
辜,2,28736
暨,2,28736
敏,2,28736
積,2,28736
徂,2,28736
顯,2,28736
皇,2,28736
！,4,57471
昔,2,28736
對,2,28736
訓,6,86207
亳,2,28736
朕,4,57471
式,2,28736
甘,2,28736
位,2,28736
學,10,143678
師,2,28736
棄,2,28736
揚,2,28736
列,2,28736
風,2,28736
醴,2,28736
建,2,28736
作,6,86207
念,2,28736
茲,2,28736
攸,2,28736
厥,10,143678
稽,2,28736
典,2,28736
：,10,143678
羹,2,28736
求,2,28736
河,4,57471
正,2,28736
仰,2,28736
荒,2,28736
覺,2,28736
脩,2,28736
時,8,114943
