Character, Abs. Freq., Rel. Freq.
泚,2,3858
鼠,10,19290
鴈,2,3858
眠,2,3858
芑,4,7716
康,2,3858
陵,2,3858
黍,2,3858
獨,2,3858
烝,2,3858
鴛,4,7716
澤,18,34722
萬,2,3858
末,2,3858
軨,4,7716
注,44,84877
歐,2,3858
木,60,115741
文,4,7716
尸,4,7716
流,50,96451
獸,40,77160
汁,2,3858
原,2,3858
鱅,4,7716
峨,2,3858
睪,2,3858
行,26,50154
豚,6,11574
理,2,3858
塗,2,3858
漆,2,3858
環,2,3858
合,2,3858
白,6,11574
大,30,57870
桐,6,11574
高,2,3858
余,4,7716
美,4,7716
射,8,15432
獙,4,7716
號,4,7716
血,2,3858
蟞,2,3858
天,16,30864
蒼,4,7716
神,8,15432
雜,2,3858
蜚,2,3858
》,16,30864
番,2,3858
蟲,2,3858
光,4,7716
鴟,2,3858
嬰,6,11574
載,2,3858
寐,2,3858
雀,2,3858
鯉,4,7716
活,2,3858
服,2,3858
鬿,2,3858
陽,2,3858
旱,8,15432
瘧,2,3858
栒,2,3858
體,2,3858
臨,8,15432
中,46,88735
樗,2,3858
呼,2,3858
山,134,258488
跂,2,3858
鷄,6,11574
維,2,3858
箴,8,15432
狀,68,131173
尾,18,34722
味,4,7716
鉤,6,11574
恐,2,3858
蠪,2,3858
羊,6,11574
峳,4,7716
見,34,65586
空,4,7716
餘,4,7716
深,2,3858
核,2,3858
翼,8,15432
桃,4,7716
音,20,38580
梓,4,7716
功,2,3858
幼,2,3858
癘,2,3858
鱃,6,11574
水,118,227623
青,2,3858
食,28,54012
草,50,96451
湖,6,11574
嶧,4,7716
棘,2,3858
虎,8,15432
祠,6,11574
孟,2,3858
邑,4,7716
父,6,11574
鱤,4,7716
杜,2,3858
夸,2,3858
用,12,23148
角,4,7716
客,2,3858
華,2,3858
狗,2,3858
膏,2,3858
蒲,2,3858
百,108,208333
上,36,69444
疫,6,11574
敗,4,7716
穰,2,3858
繩,2,3858
螽,2,3858
望,14,27006
名,44,84877
七,8,15432
棗,2,3858
姪,2,3858
甘,4,7716
蜃,2,3858
盧,2,3858
面,4,7716
女,4,7716
剡,2,3858
蛇,14,27006
岐,2,3858
踇,2,3858
泰,2,3858
：,6,11574
沔,2,3858
馬,6,11574
鮯,4,7716
鮒,2,3858
當,2,3858
蕪,2,3858
澧,2,3858
瑤,2,3858
志,2,3858
早,2,3858
犰,2,3858
麋,4,7716
減,2,3858
柘,2,3858
；,4,7716
精,4,7716
麗,2,3858
妴,2,3858
蠵,2,3858
入,4,7716
堊,2,3858
皋,8,15432
國,8,15432
西,10,19290
勞,2,3858
臭,2,3858
師,4,7716
砥,2,3858
桑,8,15432
礪,2,3858
鬲,2,3858
肺,2,3858
猲,2,3858
鯈,2,3858
鳴,20,38580
羸,2,3858
米,2,3858
從,4,7716
踵,2,3858
胡,8,15432
條,2,3858
海,14,27006
疣,2,3858
鶘,2,3858
一,16,30864
經,18,34722
金,30,57870
湣,2,3858
碧,12,23148
諸,4,7716
柟,2,3858
詨,2,3858
員,10,19290
欽,4,7716
堪,2,3858
勃,2,3858
里,112,216049
獳,2,3858
酸,4,7716
龜,2,3858
沙,24,46296
牙,2,3858
土,2,3858
八,14,27006
菌,2,3858
實,4,7716
登,2,3858
竹,4,7716
右,2,3858
鮪,2,3858
叫,10,19290
狪,4,7716
亝,2,3858
身,10,19290
南,92,177469
夕,2,3858
首,32,61728
嶽,2,3858
江,4,7716
觡,2,3858
鳧,4,7716
樕,4,7716
狐,6,11574
善,2,3858
檀,2,3858
豺,2,3858
竭,2,3858
目,14,27006
獋,2,3858
涔,2,3858
無,60,115741
旄,2,3858
鴻,2,3858
死,2,3858
牛,10,19290
璧,2,3858
鴦,4,7716
犂,2,3858
《,16,30864
玉,40,77160
涌,2,3858
姑,12,23148
菟,2,3858
爪,4,7716
窳,2,3858
娶,2,3858
牡,2,3858
氏,4,7716
魚,42,81019
穀,2,3858
東,64,123457
廣,10,19290
珧,2,3858
犬,4,7716
貝,4,7716
赭,2,3858
黃,6,11574
瘞,2,3858
多,164,316358
榑,2,3858
乾,2,3858
兒,8,15432
昧,2,3858
人,20,38580
荊,2,3858
毛,8,15432
楨,2,3858
彘,6,11574
狙,2,3858
李,4,7716
逢,2,3858
屁,2,3858
激,4,7716
絜,2,3858
耿,2,3858
太,2,3858
狼,2,3858
石,20,38580
蘪,2,3858
鹿,2,3858
鳥,14,27006
葛,4,7716
雨,2,3858
風,4,7716
藟,2,3858
沮,2,3858
吳,2,3858
自,28,54012
隅,2,3858
薄,2,3858
喙,4,7716
狡,2,3858
為,4,7716
朱,2,3858
疾,2,3858
𧑤,12,23148
北,32,61728
錞,2,3858
千,12,23148
展,2,3858
狳,2,3858
鱣,4,7716
䖪,24,46296
茈,4,7716
蝗,2,3858
赤,8,15432
濼,2,3858
祈,4,7716
珠,6,11574
楊,4,7716
龍,2,3858
曹,2,3858
