Character, Abs. Freq., Rel. Freq.
壽,2,16051
蜪,4,32103
戎,4,32103
蓋,2,16051
人,36,288925
折,2,16051
巫,2,16051
髮,4,32103
虎,6,48154
列,8,64205
把,2,16051
立,2,16051
淵,4,32103
嚳,2,16051
丹,2,16051
歲,2,16051
林,4,32103
南,10,80257
都,2,16051
氾,2,16051
恒,2,16051
光,2,16051
海,20,160514
靈,2,16051
斷,2,16051
陬,2,16051
東,16,128411
無,2,16051
內,2,16051
仞,2,16051
凌,2,16051
文,4,32103
食,10,80257
屬,6,48154
堯,2,16051
射,6,48154
千,4,32103
維,2,16051
向,2,16051
窮,4,32103
比,4,32103
女,4,32103
日,2,16051
縞,2,16051
梯,2,16051
鯾,2,16051
負,6,48154
朱,6,48154
據,2,16051
蟹,2,16051
具,2,16051
被,4,32103
戴,2,16051
鬼,2,16051
吉,2,16051
洲,2,16051
勝,2,16051
騶,2,16051
燕,6,48154
黃,4,32103
百,6,48154
母,4,32103
舜,4,32103
忠,2,16051
角,2,16051
脛,2,16051
名,4,32103
青,6,48154
極,4,32103
蟜,2,16051
狀,12,96308
處,4,32103
北,18,144462
冰,4,32103
尸,8,64205
宵,2,16051
陵,2,16051
西,8,64205
鬣,2,16051
夜,2,16051
首,12,96308
畢,2,16051
明,4,32103
珍,2,16051
翼,2,16051
黑,2,16051
物,6,48154
倭,4,32103
崑,8,64205
河,8,64205
龜,2,16051
澤,2,16051
門,2,16051
𧔧,6,48154
色,4,32103
鉅,2,16051
奇,4,32103
姑,6,48154
上,2,16051
市,2,16051
朝,2,16051
目,6,48154
大,16,128411
帝,8,64205
照,2,16051
國,14,112360
封,4,32103
方,8,64205
兩,6,48154
闒,2,16051
蝟,2,16051
拘,2,16051
萊,2,16051
登,4,32103
進,2,16051
齒,2,16051
伯,4,32103
頸,2,16051
鳥,2,16051
山,14,112360
量,2,16051
几,2,16051
為,16,128411
胸,2,16051
手,6,48154
里,6,48154
異,2,16051
深,2,16051
臺,12,96308
各,2,16051
操,2,16051
蛾,4,32103
鮮,2,16051
魚,4,32103
生,2,16051
非,2,16051
王,6,48154
戈,2,16051
柸,2,16051
馬,2,16051
神,2,16051
虛,6,48154
一,20,160514
吾,2,16051
龍,2,16051
乘,6,48154
面,10,80257
長,2,16051
燭,2,16051
環,4,32103
；,2,16051
杖,2,16051
彩,2,16051
妻,2,16051
杯,2,16051
行,6,48154
崙,8,64205
跪,2,16051
中,20,160514
犬,14,112360
邑,2,16051
氏,6,48154
貳,6,48154
蓬,2,16051
組,2,16051
從,10,80257
獸,6,48154
金,2,16051
夷,4,32103
股,2,16051
身,14,112360
蛇,4,32103
尾,2,16051
狗,2,16051
汙,2,16051
螽,2,16051
陽,6,48154
居,4,32103
