Character, Abs. Freq., Rel. Freq.
質,2,1452
複,2,1452
灌,2,1452
櫛,2,1452
穆,4,2905
亡,4,2905
討,4,2905
免,16,11619
匡,2,1452
涉,2,1452
邊,10,7262
逮,2,1452
甫,2,1452
首,4,2905
流,4,2905
豐,6,4357
餘,18,13072
憤,4,2905
黜,4,2905
夕,2,1452
囚,2,1452
校,6,4357
欺,4,2905
激,2,1452
搖,2,1452
漆,2,1452
往,2,1452
保,2,1452
碣,2,1452
軍,32,23239
爽,2,1452
字,18,13072
懣,2,1452
荷,2,1452
恐,4,2905
推,2,1452
境,4,2905
震,4,2905
圍,2,1452
曹,10,7262
春,10,7262
促,2,1452
密,4,2905
負,2,1452
及,30,21786
助,4,2905
悌,4,2905
護,4,2905
學,18,13072
博,8,5810
檻,4,2905
蜀,2,1452
繫,4,2905
存,4,2905
朔,2,1452
疏,4,2905
直,4,2905
聖,10,7262
譽,2,1452
等,16,11619
體,20,14524
寡,2,1452
軒,2,1452
欲,20,14524
解,12,8715
錄,2,1452
恃,2,1452
極,2,1452
病,10,7262
物,14,10167
軀,2,1452
說,6,4357
終,8,5810
友,10,7262
洋,4,2905
貪,2,1452
侵,2,1452
我,8,5810
鹽,2,1452
因,16,11619
廬,2,1452
典,16,11619
新,6,4357
胡,4,2905
己,8,5810
隆,4,2905
亂,6,4357
脅,4,2905
毛,2,1452
倚,2,1452
孛,2,1452
糧,6,4357
戩,2,1452
猶,6,4357
露,2,1452
錮,6,4357
日,30,21786
荊,8,5810
縱,4,2905
東,20,14524
陽,18,13072
禍,6,4357
門,8,5810
碑,4,2905
淮,2,1452
轉,6,4357
融,22,15977
奏,10,7262
逢,2,1452
載,6,4357
繕,2,1452
常,26,18882
挫,2,1452
賓,6,4357
臺,4,2905
忘,2,1452
梳,2,1452
會,20,14524
宮,4,2905
津,2,1452
就,8,5810
順,2,1452
群,4,2905
肉,2,1452
略,6,4357
薺,2,1452
書,70,50835
爛,2,1452
退,2,1452
假,2,1452
對,8,5810
磾,6,4357
音,4,2905
素,12,8715
豕,2,1452
君,24,17429
愷,2,1452
辭,12,8715
獨,12,8715
剽,2,1452
眄,2,1452
備,8,5810
嗇,2,1452
錢,2,1452
嵩,16,11619
悝,6,4357
閎,2,1452
色,6,4357
食,8,5810
阯,2,1452
詭,6,4357
拾,2,1452
橫,4,2905
性,14,10167
嗟,2,1452
牒,2,1452
羿,2,1452
許,2,1452
委,6,4357
業,4,2905
珍,4,2905
迫,2,1452
