Character, Abs. Freq., Rel. Freq.
度,12,15228
『,4,5076
萬,4,5076
驃,6,7614
僕,2,2538
滑,2,2538
罷,2,2538
因,10,12690
友,8,10152
西,4,5076
成,2,2538
殊,2,2538
哀,4,5076
琰,2,2538
矜,2,2538
蒜,2,2538
立,8,10152
博,8,10152
激,2,2538
宿,2,2538
宜,2,2538
制,2,2538
稱,10,12690
萌,2,2538
垢,2,2538
直,2,2538
德,18,22843
光,6,7614
中,16,20305
罹,2,2538
戰,2,2538
高,14,17766
氏,10,12690
延,6,7614
年,34,43147
護,2,2538
北,4,5076
遣,6,7614
辟,22,27919
斷,4,5076
驅,2,2538
廬,8,10152
慎,4,5076
果,2,2538
置,2,2538
再,4,5076
蹤,2,2538
大,16,20305
謁,4,5076
輒,2,2538
寶,4,5076
肆,2,2538
擢,2,2538
千,10,12690
抗,2,2538
鞏,2,2538
髮,2,2538
纁,6,7614
豪,4,5076
侯,4,5076
苟,4,5076
列,4,5076
孺,4,5076
嗣,2,2538
犯,2,2538
給,6,7614
累,4,5076
訓,2,2538
含,2,2538
齒,2,2538
鄭,2,2538
墓,2,2538
效,2,2538
潔,2,2538
送,8,10152
亂,4,5076
才,2,2538
篲,2,2538
？,30,38071
糧,2,2538
備,4,5076
典,2,2538
豎,2,2538
精,6,7614
愈,2,2538
綺,2,2538
悌,2,2538
工,8,10152
栖,4,5076
告,8,10152
飢,2,2538
配,6,7614
帳,2,2538
遠,10,12690
鄙,2,2538
醜,2,2538
客,6,7614
本,4,5076
陽,12,15228
片,2,2538
羈,2,2538
星,2,2538
司,4,5076
諫,2,2538
詩,6,7614
邪,12,15228
禍,2,2538
甘,2,2538
己,2,2538
越,2,2538
雲,2,2538
蒼,2,2538
忠,2,2538
還,14,17766
敕,4,5076
恨,2,2538
燕,2,2538
進,14,17766
駭,2,2538
首,2,2538
歷,2,2538
藉,2,2538
妙,2,2538
諸,8,10152
荅,2,2538
臥,4,5076
樹,4,5076
忍,2,2538
丞,2,2538
流,6,7614
議,4,5076
別,4,5076
分,2,2538
微,2,2538
易,8,10152
茹,4,5076
區,2,2538
儀,2,2538
義,10,12690
仕,8,10152
燥,2,2538
白,2,2538
迷,2,2538
貧,10,12690
順,2,2538
近,2,2538
』,4,5076
勤,2,2538
舉,10,12690
喜,4,5076
漢,2,2538
迫,2,2538
脩,4,5076
匹,2,2538
放,2,2538
修,4,5076
裳,4,5076
肯,6,7614
室,4,5076
怪,6,7614
聖,4,5076
載,10,12690
軍,6,7614
特,6,7614
人,62,78680
生,34,43147
肝,2,2538
莽,2,2538
讓,6,7614
掾,4,5076
梁,4,5076
頭,2,2538
欲,18,22843
國,14,17766
讎,2,2538
