Character, Abs. Freq., Rel. Freq.
拜,16,7585
忠,62,29392
庸,4,1896
遽,2,948
寇,8,3793
觸,2,948
給,14,6637
領,10,4741
填,2,948
首,8,3793
惆,2,948
宴,2,948
奴,8,3793
剌,2,948
蹋,2,948
遍,2,948
寢,6,2844
珍,14,6637
含,2,948
屏,4,1896
非,10,4741
雙,2,948
鉤,12,5689
閹,8,3793
罪,28,13274
搖,4,1896
銀,8,3793
唐,4,1896
涼,2,948
屬,12,5689
力,14,6637
授,8,3793
振,2,948
歲,8,3793
吾,8,3793
等,104,49303
卿,18,8533
坐,22,10430
贍,2,948
沒,6,2844
龔,2,948
郡,38,18015
烏,2,948
交,10,4741
專,16,7585
劫,4,1896
歎,4,1896
奏,36,17066
崩,12,5689
雊,2,948
諷,6,2844
姻,2,948
視,4,1896
怒,14,6637
英,2,948
鉏,2,948
簡,10,4741
誓,2,948
為,254,120413
牧,6,2844
尤,4,1896
墓,2,948
憂,4,1896
機,10,4741
目,4,1896
土,14,6637
乞,6,2844
鄛,2,948
商,6,2844
越,10,4741
永,18,8533
古,8,3793
習,2,948
」,96,45511
念,8,3793
口,8,3793
議,22,10430
帝,156,73955
蟆,2,948
遠,12,5689
征,4,1896
善,14,6637
苑,2,948
列,16,7585
備,4,1896
游,6,2844
牽,2,948
逢,4,1896
水,12,5689
幼,6,2844
粟,2,948
刺,18,8533
景,14,6637
舅,2,948
汎,6,2844
切,4,1896
懷,16,7585
華,8,3793
較,2,948
愁,2,948
訴,6,2844
郾,2,948
德,20,9481
識,6,2844
豐,10,4741
安,28,13274
苗,6,2844
我,6,2844
守,30,14222
營,8,3793
投,2,948
達,14,6637
端,2,948
錢,32,15170
往,4,1896
捕,12,5689
政,12,5689
總,2,948
昔,10,4741
繁,4,1896
江,12,5689
霍,4,1896
臚,2,948
宦,36,17066
試,4,1896
免,14,6637
舌,2,948
田,12,5689
憚,4,1896
累,2,948
姦,12,5689
罽,2,948
侍,90,42666
堂,12,5689
篤,2,948
轝,2,948
匹,2,948
變,4,1896
悺,18,8533
特,10,4741
太,96,45511
悔,2,948
險,2,948
薄,2,948
墯,4,1896
比,4,1896
回,8,3793
貞,4,1896
單,12,5689
送,8,3793
藉,2,948
鄧,10,4741
稍,4,1896
諸,24,11378
廄,4,1896
百,74,35081
黨,34,16118
狂,2,948
剛,8,3793
正,8,3793
穢,4,1896
掠,6,2844
效,2,948
毀,2,948
辭,10,4741
》,6,2844
閥,2,948
斂,6,2844
統,2,948
兄,38,18015
到,4,1896
繒,4,1896
援,2,948
射,4,1896
狄,2,948
讓,38,18015
屯,4,1896
綺,4,1896
予,6,2844
卹,2,948
危,4,1896
郵,2,948
棺,2,948
戮,4,1896
谿,2,948
喪,12,5689
熲,8,3793
榭,2,948
濟,22,10430
尹,14,6637
館,8,3793
勸,4,1896
徙,10,4741
荒,2,948
嘉,4,1896
死,26,12326
詡,2,948
會,6,2844
棋,2,948
剝,4,1896
即,32,15170
