Character, Abs. Freq., Rel. Freq.
靜,4,3834
積,10,9586
分,274,262653
制,12,11503
釁,2,1917
領,2,1917
著,2,1917
幽,2,1917
氣,24,23006
效,8,7669
爭,10,9586
詔,6,5752
小,118,113113
賓,14,13420
行,16,15337
黃,24,23006
加,2,1917
惟,2,1917
橈,2,1917
京,2,1917
崇,6,5752
候,24,23006
動,18,17255
臺,2,1917
聽,2,1917
術,6,5752
掩,10,9586
相,12,11503
微,40,38344
知,30,28758
延,2,1917
林,12,11503
宮,138,132285
御,2,1917
隨,10,9586
一,184,176380
畫,4,3834
失,2,1917
草,2,1917
搉,2,1917
筭,2,1917
和,10,9586
南,62,59433
初,4,3834
：,16,15337
兩,2,1917
曉,6,5752
罷,2,1917
道,4,3834
周,2,1917
舍,2,1917
結,10,9586
調,6,5752
短,4,3834
屈,10,9586
天,8,7669
攝,2,1917
吹,4,3834
八,224,214724
宣,8,7669
奏,4,3834
耦,2,1917
侯,2,1917
續,2,1917
議,2,1917
高,4,3834
案,6,5752
變,30,28758
轉,2,1917
用,10,9586
節,4,3834
歸,22,21089
為,180,172546
運,6,5752
準,140,134202
弘,2,1917
宓,2,1917
召,4,3834
丞,2,1917
列,2,1917
父,2,1917
書,6,5752
瑟,2,1917
審,4,3834
木,4,3834
觀,2,1917
商,122,116948
合,4,3834
主,2,1917
乘,4,3834
中,42,40261
群,2,1917
『,4,3834
北,2,1917
族,12,11503
上,94,90107
同,2,1917
類,4,3834
凌,10,9586
具,2,1917
期,32,30675
壽,2,1917
量,6,5752
定,6,5752
倍,2,1917
承,2,1917
遲,20,19172
放,2,1917
布,2,1917
極,4,3834
解,12,11503
仰,2,1917
長,6,5752
甲,2,1917
令,4,3834
篇,2,1917
前,6,5752
常,4,3834
作,10,9586
寸,232,222393
縵,2,1917
平,6,5752
歆,4,3834
損,2,1917
士,2,1917
難,2,1917
條,2,1917
本,4,3834
低,2,1917
蒼,2,1917
室,4,3834
意,4,3834
畢,4,3834
試,6,5752
聲,28,26840
丙,10,9586
當,2,1917
羲,4,3834
載,2,1917
情,2,1917
七,222,212807
復,4,3834
受,4,3834
建,2,1917
傅,2,1917
體,6,5752
檢,4,3834
』,4,3834
殿,4,3834
樂,12,11503
典,4,3834
閉,12,11503
閒,2,1917
悉,2,1917
權,4,3834
隱,4,3834
禮,2,1917
妙,2,1917
離,10,9586
要,2,1917
韋,2,1917
安,10,9586
陳,2,1917
方,8,7669
協,6,5752
漢,2,1917
形,36,34509
教,4,3834
求,2,1917
陰,34,32592
聚,2,1917
日,136,130368
總,2,1917
射,10,9586
大,26,24923
孝,2,1917
應,32,30675
通,8,7669
器,4,3834
央,2,1917
言,4,3834
截,2,1917
生,174,166794
立,2,1917
丈,2,1917
弦,12,11503
末,10,9586
章,2,1917
達,4,3834
元,10,9586
性,4,3834
夾,10,9586
見,2,1917
〈,12,11503
白,10,9586
地,6,5752
事,14,13420
盈,4,3834
負,10,9586
殷,2,1917
藏,2,1917
色,10,9586
土,6,5752
「,10,9586
託,2,1917
保,10,9586
班,2,1917
綜,4,3834
易,4,3834
羽,2,1917
參,2,1917
燠,2,1917
占,4,3834
待,14,13420
多,4,3834
物,20,19172
推,2,1917
管,8,7669
終,6,5752
比,2,1917
蔟,14,13420
滋,4,3834
還,2,1917
治,2,1917
獨,4,3834
人,10,9586
聾,2,1917
諫,2,1917
猶,4,3834
等,4,3834
陽,26,24923
密,2,1917
及,8,7669
願,2,1917
聰,2,1917
記,2,1917
隸,2,1917
習,2,1917
散,2,1917
緹,2,1917
諸,2,1917
靈,2,1917
質,10,9586
別,4,3834
考,6,5752
郎,2,1917
封,2,1917
」,10,9586
雜,2,1917
餘,4,3834
響,2,1917
心,2,1917
少,20,19172
命,2,1917
緩,4,3834
史,10,9586
學,10,9586
葭,2,1917
無,26,24923
遂,4,3834
玄,2,1917
重,6,5752
抑,2,1917
〉,12,11503
卦,2,1917
覆,2,1917
塗,2,1917
千,224,214724
法,10,9586
律,206,197469
狀,4,3834
成,2,1917
斗,2,1917
除,2,1917
進,2,1917
角,2,1917
房,14,13420
表,2,1917
姑,12,11503
義,2,1917
奇,2,1917
圓,4,3834
嚴,2,1917
鍾,62,59433
滅,12,11503
內,24,23006
文,2,1917
欲,2,1917
窮,4,3834
輕,4,3834
烏,10,9586
太,24,23006
景,10,9586
音,16,15337
代,2,1917
鄰,10,9586
武,2,1917
謙,10,9586
苟,2,1917
論,2,1917
戶,2,1917
東,2,1917
君,2,1917
即,2,1917
徵,128,122699
蕤,14,13420
虞,12,11503
博,2,1917
實,10,9586
對,2,1917
莩,2,1917
呂,50,47929
盛,20,19172
每,2,1917
百,218,208972
補,2,1917
夏,4,3834
濁,12,11503
執,14,13420
閱,2,1917
首,6,5752
雨,2,1917
使,2,1917
固,2,1917
汗,10,9586
正,8,7669
光,6,5752
半,4,3834
詳,2,1917
象,4,3834
字,4,3834
度,18,17255
強,82,78604
志,4,3834
急,4,3834
帝,2,1917
翁,2,1917
依,12,11503
時,54,51764
竹,4,3834
洗,12,11503
各,8,7669
均,8,7669
曆,10,9586
暢,2,1917
辨,2,1917
寒,2,1917
家,4,3834
路,10,9586
紀,6,5752
灰,16,15337
否,22,21089
興,2,1917
約,4,3834
齊,20,19172
師,2,1917
數,28,26840
部,4,3834
年,4,3834
錯,2,1917
非,6,5752
耳,2,1917
卯,10,9586
尺,124,118865
劉,2,1917
舊,2,1917
衡,8,7669
府,2,1917
庳,2,1917
男,2,1917
明,6,5752
官,10,9586
嘉,20,19172
精,4,3834
絕,2,1917
聞,2,1917
從,6,5752
躬,10,9586
古,2,1917
；,14,13420
息,10,9586
退,2,1917
授,10,9586
焦,2,1917
端,2,1917
夷,20,19172
益,2,1917
晷,2,1917
風,4,3834
萬,194,185966
問,4,3834
粗,2,1917
施,4,3834
置,2,1917
張,4,3834
傳,4,3834
位,2,1917
開,10,9586
清,12,11503
自,6,5752
蓋,2,1917
育,20,19172
晉,10,9586
外,2,1917
冬,10,9586
熹,2,1917
肜,2,1917
玉,2,1917
弱,36,34509
稱,2,1917
