Character, Abs. Freq., Rel. Freq.
訓,2,1566
抵,2,1566
小,4,3133
尚,14,10965
序,4,3133
齊,8,6266
：,102,79887
厚,6,4699
樊,6,4699
僮,2,1566
財,4,3133
淵,2,1566
免,14,10965
超,2,1566
專,6,4699
嫌,2,1566
敬,8,6266
列,2,1566
祥,2,1566
仇,2,1566
奏,6,4699
和,4,3133
涌,2,1566
輿,6,4699
心,10,7832
鳧,4,3133
交,6,4699
名,32,25063
急,6,4699
歐,4,3133
堪,2,1566
閬,2,1566
完,2,1566
頃,2,1566
孤,2,1566
馮,2,1566
享,2,1566
危,2,1566
僚,2,1566
相,10,7832
假,2,1566
患,2,1566
屆,2,1566
神,16,12531
歙,6,4699
荬,2,1566
顧,2,1566
檛,2,1566
勳,4,3133
星,10,7832
碩,2,1566
隴,2,1566
筮,2,1566
請,14,10965
逃,8,6266
求,8,6266
守,42,32895
慨,2,1566
賈,2,1566
老,4,3133
期,6,4699
稷,6,4699
邺,2,1566
須,6,4699
被,6,4699
葭,4,3133
富,10,7832
忠,6,4699
積,2,1566
火,12,9398
仲,16,12531
速,4,3133
呂,4,3133
婦,4,3133
乖,6,4699
來,18,14098
地,8,6266
吾,16,12531
乘,8,6266
雲,8,6266
雀,2,1566
導,2,1566
獄,8,6266
紳,2,1566
晦,2,1566
兵,16,12531
歌,2,1566
謹,2,1566
占,20,15664
誕,2,1566
河,14,10965
？,26,20363
方,26,20363
英,46,36028
几,2,1566
妾,2,1566
採,4,3133
甍,2,1566
悔,2,1566
新,6,4699
乏,4,3133
示,2,1566
赦,2,1566
恨,4,3133
井,2,1566
懸,2,1566
將,18,14098
汝,10,7832
依,2,1566
史,22,17231
疾,16,12531
功,12,9398
具,4,3133
八,12,9398
但,8,6266
頑,2,1566
譚,2,1566
翟,6,4699
樂,2,1566
李,8,6266
旨,2,1566
命,16,12531
墓,2,1566
含,6,4699
略,4,3133
因,20,15664
匡,2,1566
朕,6,4699
醫,4,3133
改,4,3133
冑,4,3133
折,8,6266
！,14,10965
情,2,1566
拔,4,3133
祈,2,1566
補,2,1566
正,4,3133
月,16,12531
順,8,6266
適,2,1566
男,2,1566
語,4,3133
荅,4,3133
椒,2,1566
傳,8,6266
輔,8,6266
漢,20,15664
左,2,1566
隻,2,1566
迎,6,4699
舉,14,10965
恐,2,1566
曠,2,1566
愛,2,1566
牢,2,1566
慷,2,1566
弱,2,1566
訾,2,1566
良,2,1566
奧,4,3133
節,8,6266
囂,2,1566
凶,2,1566
官,18,14098
聖,4,3133
界,6,4699
罪,4,3133
庫,4,3133
孫,16,12531
學,34,26629
器,2,1566
墳,6,4699
濫,2,1566
昔,10,7832
近,2,1566
楷,2,1566
置,2,1566
抽,2,1566
驕,2,1566
講,2,1566
甲,4,3133
刺,14,10965
郊,4,3133
微,4,3133
降,4,3133
瑤,2,1566
夕,6,4699
雒,2,1566
檢,2,1566
妖,2,1566
恭,2,1566
鳴,2,1566
畫,2,1566
」,100,78321
里,12,9398
弟,6,4699
教,6,4699
轉,2,1566
澤,2,1566
床,2,1566
樓,2,1566
開,4,3133
程,4,3133
明,28,21930
敗,10,7832
魚,2,1566
尋,4,3133
遲,6,4699
盛,2,1566
韓,2,1566
烈,2,1566
上,28,21930
范,2,1566
狄,2,1566
我,14,10965
竟,6,4699
嘗,8,6266
公,50,39160
削,2,1566
聲,6,4699
鈐,2,1566
加,4,3133
郵,4,3133
直,2,1566
諸,10,7832
選,2,1566
厲,2,1566
藏,4,3133
元,14,10965
惕,2,1566
斯,10,7832
飢,2,1566
屈,4,3133
布,2,1566
伊,2,1566
周,10,7832
實,8,6266
遁,8,6266
突,4,3133
客,4,3133
疫,2,1566
留,8,6266
往,12,9398
灶,2,1566
膏,4,3133
內,4,3133
溫,2,1566
論,2,1566
考,2,1566
及,32,25063
羊,2,1566
擔,4,3133
計,2,1566
鑿,2,1566
鄧,2,1566
簡,4,3133
荷,2,1566
紀,2,1566
北,16,12531
廖,2,1566
幸,6,4699
昆,2,1566
郃,30,23496
酺,2,1566
設,4,3133
姿,2,1566
永,6,4699
字,26,20363
寢,2,1566
禮,26,20363
懦,2,1566
伺,4,3133
價,2,1566
「,100,78321
陵,4,3133
彌,2,1566
資,4,3133
篇,2,1566
祠,6,4699
談,6,4699
捷,2,1566
董,2,1566
君,38,29762
昌,4,3133
東,20,15664
施,2,1566
朔,2,1566
露,4,3133
朴,2,1566
伏,6,4699
氏,8,6266
籙,2,1566
疏,8,6266
郤,4,3133
車,18,14098
盜,4,3133
日,42,32895
噫,2,1566
兼,4,3133
魂,2,1566
壽,2,1566
