Character, Abs. Freq., Rel. Freq.
巖,2,1767
盈,6,5301
立,18,15904
備,2,1767
破,4,3534
亢,2,1767
孝,18,15904
馬,10,8835
隱,2,1767
第,2,1767
元,28,24739
偏,2,1767
授,32,28274
貴,2,1767
致,6,5301
「,54,47712
逐,2,1767
器,2,1767
嚴,2,1767
朔,2,1767
保,2,1767
明,28,24739
氏,12,10603
早,4,3534
約,2,1767
巴,4,3534
雙,2,1767
夙,2,1767
忠,6,5301
獻,4,3534
姿,4,3534
姦,2,1767
斯,2,1767
輟,2,1767
厄,2,1767
任,6,5301
秋,6,5301
蒼,2,1767
率,6,5301
經,48,42410
鄧,2,1767
古,8,7068
號,2,1767
依,2,1767
和,10,8835
祿,8,7068
毀,2,1767
賀,2,1767
助,2,1767
哀,4,3534
邕,4,3534
恩,14,12370
猒,2,1767
庭,4,3534
劉,14,12370
希,2,1767
馮,2,1767
愛,4,3534
驃,2,1767
望,8,7068
徇,4,3534
鳳,2,1767
獄,4,3534
橫,2,1767
度,2,1767
具,6,5301
賞,14,12370
重,8,7068
奉,10,8835
憑,2,1767
起,6,5301
舍,4,3534
論,22,19438
嘗,8,7068
知,4,3534
坐,4,3534
尚,22,19438
姑,6,5301
蒙,6,5301
公,36,31808
辛,2,1767
實,4,3534
動,4,3534
滿,10,8835
吁,2,1767
上,30,26506
懦,2,1767
倀,2,1767
困,2,1767
難,12,10603
誣,2,1767
記,2,1767
醫,4,3534
敖,2,1767
皇,20,17671
氣,6,5301
盛,16,14137
廟,2,1767
報,8,7068
共,8,7068
爵,14,12370
祖,10,8835
合,2,1767
季,2,1767
歷,8,7068
關,6,5301
丁,10,8835
唅,2,1767
面,2,1767
膠,2,1767
京,6,5301
木,2,1767
將,36,31808
喜,2,1767
薄,8,7068
誰,4,3534
積,2,1767
湛,2,1767
旨,4,3534
琅,2,1767
麑,2,1767
玉,2,1767
光,12,10603
妖,2,1767
並,14,12370
感,2,1767
初,28,24739
徒,14,12370
閎,4,3534
少,20,17671
封,32,28274
降,2,1767
射,4,3534
奔,4,3534
新,2,1767
族,2,1767
岐,2,1767
媚,2,1767
近,6,5301
原,4,3534
稟,2,1767
揚,2,1767
遠,8,7068
錢,4,3534
德,8,7068
壑,2,1767
迫,2,1767
階,2,1767
輿,2,1767
殺,2,1767
疑,2,1767
道,22,19438
羽,2,1767
開,4,3534
諫,2,1767
託,2,1767
哭,2,1767
行,38,33575
褞,2,1767
歆,2,1767
魏,4,3534
土,8,7068
女,4,3534
干,2,1767
乞,6,5301
悉,4,3534
神,2,1767
賁,4,3534
書,50,44177
僉,2,1767
；,32,28274
閒,8,7068
』,2,1767
嗤,2,1767
衰,4,3534
卯,2,1767
叡,2,1767
身,10,8835
幾,8,7068
業,12,10603
怖,2,1767
世,26,22972
禁,14,12370
汎,2,1767
騎,6,5301
絕,4,3534
王,24,21205
擅,4,3534
旬,2,1767
訐,2,1767
假,2,1767
卒,30,26506
被,8,7068
象,4,3534
禮,24,21205
湯,6,5301
民,4,3534
佞,2,1767
涓,4,3534
阯,2,1767
頌,2,1767
群,2,1767
但,2,1767
況,4,3534
載,2,1767
富,2,1767
福,4,3534
懸,2,1767
察,4,3534
苟,4,3534
達,2,1767
告,2,1767
丞,6,5301
莽,6,5301
空,6,5301
蕃,2,1767
布,2,1767
獨,14,12370
諱,2,1767
祥,2,1767
朱,12,10603
貢,2,1767
磬,2,1767
諂,2,1767
表,4,3534
制,6,5301
斂,4,3534
尊,2,1767
僕,2,1767
北,6,5301
問,20,17671
養,4,3534
浦,2,1767
居,10,8835
基,2,1767
勉,2,1767
皓,2,1767
等,10,8835
聽,8,7068
租,2,1767
意,10,8835
計,2,1767
凶,4,3534
愈,4,3534
都,8,7068
窊,2,1767
祐,4,3534
辜,2,1767
情,6,5301
吉,2,1767
留,6,5301
為,136,120163
賈,2,1767
仕,6,5301
茅,2,1767
曉,2,1767
儲,2,1767
辯,2,1767
減,2,1767
樂,6,5301
囿,2,1767
秉,4,3534
建,14,12370
承,8,7068
佚,10,8835
進,6,5301
見,22,19438
涕,4,3534
讌,2,1767
召,10,8835
優,2,1767
詭,2,1767
帳,4,3534
軍,20,17671
割,2,1767
賦,4,3534
歸,14,12370
歲,8,7068
令,24,21205
家,32,28274
風,6,5301
札,2,1767
戒,4,3534
遷,24,21205
樹,2,1767
蔥,2,1767
己,8,7068
雅,6,5301
源,2,1767
府,10,8835
說,14,12370
會,28,24739
守,12,10603
敷,2,1767
太,96,84821
豫,4,3534
慕,4,3534
職,2,1767
轉,2,1767
挂,2,1767
苗,4,3534
益,4,3534
漸,4,3534
多,8,7068
飾,4,3534
父,18,15904
廬,2,1767
講,18,15904
存,2,1767
車,16,14137
蠻,4,3534
弘,4,3534
惟,2,1767
鸞,10,8835
綝,20,17671
異,4,3534
日,30,26506
銷,2,1767
全,2,1767
隆,2,1767
悖,2,1767
止,8,7068
著,6,5301
引,6,5301
遺,2,1767
免,12,10603
對,4,3534
韋,2,1767
崇,2,1767
受,28,24739
師,24,21205
每,12,10603
奇,2,1767
絰,2,1767
忮,2,1767
賜,38,33575
敗,2,1767
白,6,5301
廣,4,3534
吏,10,8835
盡,6,5301
縱,2,1767
東,10,8835
老,4,3534
南,6,5301
叔,4,3534
資,2,1767
郎,34,30041
厲,2,1767
理,2,1767
劾,2,1767
稍,2,1767
推,2,1767
今,24,21205
鹿,2,1767
鏡,2,1767
義,26,22972
科,2,1767
詩,6,5301
