Character, Abs. Freq., Rel. Freq.
充,2,1582
夕,2,1582
嶽,2,1582
野,2,1582
驚,4,3164
應,2,1582
育,4,3164
誘,6,4745
牙,2,1582
接,2,1582
隆,14,11072
諸,24,18981
殿,2,1582
起,18,14236
賈,4,3164
單,16,12654
成,14,11072
奔,22,17400
合,10,7909
嚴,4,3164
哀,6,4745
迎,14,11072
甲,2,1582
頭,4,3164
來,8,6327
陽,60,47453
費,4,3164
千,24,18981
赤,4,3164
筮,2,1582
宗,8,6327
妊,2,1582
攝,2,1582
璽,8,6327
剋,8,6327
侍,4,3164
赦,4,3164
見,14,11072
鮪,6,4745
愈,4,3164
朔,6,4745
捕,2,1582
沈,2,1582
校,10,7909
轉,8,6327
族,4,3164
親,16,12654
被,2,1582
闕,6,4745
和,14,11072
付,2,1582
霸,2,1582
東,28,22145
鐫,2,1582
恂,4,3164
漢,86,68016
據,16,12654
川,2,1582
襲,8,6327
待,8,6327
彊,26,20563
集,4,3164
己,6,4745
兩,4,3164
憲,62,49035
體,4,3164
邳,4,3164
怪,2,1582
閒,14,11072
偉,2,1582
望,10,7909
賊,12,9491
備,2,1582
譙,2,1582
玄,2,1582
助,8,6327
徙,2,1582
美,2,1582
蘇,16,12654
威,14,11072
霍,2,1582
急,10,7909
頗,2,1582
辰,2,1582
內,12,9491
疋,2,1582
繒,6,4745
持,14,11072
祀,2,1582
初,10,7909
秋,6,4745
營,4,3164
展,2,1582
傅,4,3164
天,28,22145
奪,2,1582
壽,6,4745
按,2,1582
中,56,44290
韓,12,9491
怨,2,1582
末,4,3164
衰,2,1582
張,14,11072
朐,6,4745
蒼,2,1582
鄉,12,9491
勢,2,1582
薄,2,1582
著,2,1582
邊,6,4745
郎,36,28472
奉,10,7909
楚,4,3164
常,14,11072
委,2,1582
繆,2,1582
破,18,14236
屢,2,1582
翟,6,4745
齊,16,12654
物,6,4745
忌,2,1582
宛,2,1582
掘,2,1582
古,2,1582
蒸,2,1582
橫,2,1582
晏,2,1582
普,2,1582
寄,2,1582
身,6,4745
祚,2,1582
藥,2,1582
禁,2,1582
昱,12,9491
賂,2,1582
挫,2,1582
紆,20,15818
御,2,1582
英,4,3164
言,14,11072
涕,2,1582
苦,6,4745
羽,2,1582
汝,4,3164
鹿,6,4745
享,2,1582
城,42,33217
帥,8,6327
削,2,1582
俱,12,9491
雲,6,4745
陵,12,9491
穀,4,3164
伐,2,1582
馬,26,20563
擁,8,6327
樂,10,7909
魏,6,4745
防,10,7909
食,6,4745
繫,4,3164
自,54,42708
許,4,3164
謝,8,6327
詐,14,11072
姓,4,3164
偏,4,3164
雨,2,1582
關,4,3164
害,4,3164
及,48,37963
寶,4,3164
橋,2,1582
扈,4,3164
佑,2,1582
剌,2,1582
終,2,1582
還,24,18981
利,4,3164
奴,40,31636
臨,16,12654
宮,6,4745
各,10,7909
句,2,1582
謁,6,4745
氣,8,6327
並,18,14236
尉,8,6327
綬,6,4745
饒,6,4745
厲,2,1582
奇,2,1582
虜,4,3164
聖,8,6327
寐,2,1582
益,6,4745
尚,8,6327
鹽,2,1582
分,4,3164
朱,8,6327
星,2,1582
思,8,6327
左,8,6327
擾,2,1582
部,2,1582
仁,4,3164
忤,2,1582
到,6,4745
祠,2,1582
追,14,11072
小,6,4745
壬,2,1582
護,6,4745
夜,12,9491
湛,4,3164
授,2,1582
渾,2,1582
輔,6,4745
陲,2,1582
叔,2,1582
嗣,4,3164
貿,2,1582
記,4,3164
壁,2,1582
躬,8,6327
前,6,4745
