Character, Abs. Freq., Rel. Freq.
使,88,50967
竭,6,3475
知,24,13900
退,2,1158
賂,2,1158
討,2,1158
役,4,2317
駱,4,2317
膏,2,1158
莽,2,1158
臨,12,6950
耆,34,19692
顯,4,2317
狄,6,3475
稍,2,1158
張,18,10425
綬,4,2317
壯,10,5792
坦,2,1158
肜,2,1158
控,2,1158
」,96,55601
國,104,60234
輔,6,3475
奴,76,44017
艱,2,1158
德,20,11583
卒,22,12742
巿,2,1158
糧,4,2317
種,10,5792
杖,2,1158
病,8,4633
彊,8,4633
慮,20,11583
守,22,12742
最,2,1158
漠,4,2317
持,10,5792
廢,6,3475
耗,2,1158
寬,2,1158
害,16,9267
戰,14,8108
賓,2,1158
喪,2,1158
少,16,9267
种,6,3475
安,26,15058
夔,4,2317
兵,116,67184
快,2,1158
創,2,1158
嘉,2,1158
馬,54,31275
研,2,1158
七,18,10425
屬,24,13900
厭,2,1158
兄,12,6950
雞,2,1158
障,2,1158
阻,2,1158
藥,2,1158
牛,4,2317
饒,4,2317
逼,2,1158
蕩,2,1158
伏,8,4633
勞,12,6950
忌,2,1158
衡,2,1158
裁,2,1158
佐,2,1158
號,4,2317
耿,10,5792
遠,20,11583
遷,4,2317
弟,2,1158
孰,2,1158
走,16,9267
覺,2,1158
拜,18,10425
俊,6,3475
怨,6,3475
晝,6,3475
肉,4,2317
細,2,1158
損,4,2317
膺,2,1158
賈,2,1158
來,20,11583
英,4,2317
蠻,8,4633
擊,50,28959
擅,6,3475
荒,2,1158
隸,4,2317
名,12,6950
謁,4,2317
積,6,3475
財,10,5792
識,4,2317
稱,4,2317
登,2,1158
價,2,1158
趙,4,2317
弋,2,1158
語,2,1158
殺,26,15058
終,4,2317
歷,4,2317
膽,6,3475
綏,4,2317
惶,6,3475
迫,6,3475
朝,14,8108
樂,8,4633
聞,14,8108
鎮,4,2317
饨,2,1158
戍,2,1158
隙,2,1158
齊,4,2317
前,40,23167
惜,2,1158
瑾,4,2317
后,2,1158
雄,22,12742
度,18,10425
聰,2,1158
示,12,6950
納,8,4633
直,6,3475
燒,2,1158
舊,2,1158
官,16,9267
卑,2,1158
從,48,27800
荷,2,1158
珠,2,1158
柏,2,1158
坐,10,5792
穀,4,2317
煩,2,1158
畢,2,1158
千,56,32434
奉,20,11583
曠,4,2317
留,12,6950
遭,4,2317
汔,2,1158
崩,2,1158
豈,6,3475
黨,2,1158
勒,54,31275
蒙,16,9267
天,14,8108
埶,10,5792
亂,12,6950
飛,2,1158
帥,4,2317
捐,6,3475
辭,2,1158
僵,4,2317
秉,4,2317
思,8,4633
師,42,24325
汎,4,2317
齎,6,3475
聲,6,3475
車,52,30117
亡,10,5792
精,2,1158
書,34,19692
遺,6,3475
急,12,6950
麾,2,1158
乾,6,3475
月,36,20850
列,4,2317
仇,2,1158
和,14,8108
虞,2,1158
愍,4,2317
免,8,4633
驛,2,1158
好,2,1158
爵,6,3475
伍,2,1158
帷,2,1158
秋,4,2317
憐,2,1158
八,22,12742
具,4,2317
非,18,10425
互,2,1158
充,2,1158
跣,2,1158
爭,2,1158
諫,2,1158
智,2,1158
早,2,1158
方,6,3475
啖,2,1158
絕,30,17375
因,46,26642
嗣,4,2317
臂,6,3475
敢,6,3475
校,38,22009
縛,10,5792
茲,68,39384
綵,2,1158
願,18,10425
泣,2,1158
筆,4,2317
接,2,1158
齒,4,2317
徒,4,2317
參,10,5792
攻,44,25484
踰,8,4633
俱,10,5792
餘,68,39384
失,8,4633
戎,4,2317
》,2,1158
盡,12,6950
送,12,6950
澤,6,3475
位,10,5792
縱,8,4633
幸,6,3475
飲,2,1158
壽,4,2317
利,10,5792
業,2,1158
賊,6,3475
康,16,9267
李,6,3475
元,38,22009
升,2,1158
首,30,17375
誠,22,12742
稷,2,1158
威,22,12742
猶,4,2317
昆,2,1158
郭,10,5792
府,8,4633
盛,4,2317
鄧,4,2317
原,4,2317
掖,4,2317
拔,4,2317
堂,2,1158
苦,8,4633
憂,8,4633
類,4,2317
羈,2,1158
班,26,15058
敕,2,1158
肅,2,1158
羽,2,1158
驕,2,1158
刑,4,2317
累,6,3475
鮮,2,1158
問,10,5792
兩,6,3475
平,28,16217
夾,2,1158
固,22,12742
避,4,2317
益,6,3475
備,12,6950
化,4,2317
金,12,6950
山,4,2317
葦,2,1158
騫,4,2317
伯,4,2317
奇,2,1158
小,24,13900
痛,2,1158
歎,4,2317
尹,2,1158
鄯,34,19692
別,6,3475
遁,2,1158
廣,34,19692
弘,2,1158
女,2,1158
逆,12,6950
建,8,4633
遂,70,40542
邑,18,10425
副,14,8108
召,16,9267
顧,4,2317
梁,4,2317
悔,2,1158
徙,6,3475
頷,2,1158
廟,6,3475
嚴,4,2317
遼,6,3475
會,28,16217
沒,16,9267
錄,2,1158
中,54,31275
上,28,16217
肯,4,2317
甲,4,2317
立,38,22009
跡,2,1158
年,96,55601
賴,2,1158
蘭,10,5792
竊,6,3475
宜,22,12742
廷,14,8108
重,14,8108
毀,6,3475
覦,2,1158
斬,38,22009
己,2,1158
南,12,6950
追,8,4633
大,106,61392
率,10,5792
言,20,11583
疲,2,1158
驚,10,5792
弔,2,1158
邊,20,11583
詔,24,13900
說,8,4633
恂,8,4633
薄,4,2317
周,4,2317
續,2,1158
但,4,2317
惟,4,2317
毒,2,1158
還,54,31275
慬,62,35909
賜,14,8108
數,38,22009
涼,2,1158
氣,4,2317
應,2,1158
龐,12,6950
孟,14,8108
音,2,1158
庭,4,2317
美,4,2317
修,2,1158
徵,18,10425
抗,2,1158
吉,4,2317
借,2,1158
獵,2,1158
