Character, Abs. Freq., Rel. Freq.
言,4,10953
相,6,16429
循,2,5476
數,10,27382
屬,26,71194
簿,4,10953
多,6,16429
假,8,21906
作,6,16429
羌,6,16429
人,50,136911
尚,2,5476
外,2,5476
楚,2,5476
抑,2,5476
叛,2,5476
刺,4,10953
文,4,10953
郎,2,5476
治,2,5476
石,34,93100
課,6,16429
儉,2,5476
利,2,5476
罰,6,16429
公,34,93100
薨,4,10953
別,4,10953
歲,6,16429
戢,2,5476
匱,2,5476
節,4,10953
謚,2,5476
平,2,5476
徒,10,27382
州,2,5476
欲,2,5476
還,8,21906
衛,6,16429
儀,2,5476
門,8,21906
悉,4,10953
后,2,5476
殘,2,5476
年,14,38335
昔,2,5476
帝,26,71194
奉,2,5476
法,10,27382
疑,6,16429
寵,2,5476
憲,6,16429
秩,2,5476
初,12,32859
風,2,5476
鄧,2,5476
宮,2,5476
倉,4,10953
賞,6,16429
祀,8,21906
鐵,2,5476
右,4,10953
軍,62,169770
行,8,21906
候,8,21906
奴,2,5476
末,2,5476
各,6,16429
罷,12,32859
東,6,16429
匈,2,5476
殿,6,16429
方,6,16429
班,2,5476
威,2,5476
倜,2,5476
遜,2,5476
功,12,32859
養,2,5476
省,14,38335
略,4,10953
營,8,21906
事,62,169770
校,6,16429
志,2,5476
主,44,120482
府,10,27382
等,2,5476
約,4,10953
墳,2,5476
依,4,10953
自,8,21906
驛,2,5476
少,2,5476
長,12,32859
來,2,5476
居,2,5476
今,2,5476
霍,2,5476
牧,2,5476
隨,2,5476
元,4,10953
謀,2,5476
郊,8,21906
心,2,5476
送,2,5476
桑,2,5476
位,30,82147
景,4,10953
悌,2,5476
隆,2,5476
左,4,10953
梓,2,5476
固,2,5476
因,6,16429
上,10,27382
祖,16,43812
都,2,5476
明,6,16429
見,2,5476
命,4,10953
樂,4,10953
金,2,5476
司,42,115005
卒,2,5476
差,2,5476
武,16,43812
職,18,49288
七,6,16429
器,4,10953
吳,4,10953
典,2,5476
：,26,71194
輒,4,10953
鳳,2,5476
即,22,60241
無,6,16429
御,12,32859
助,2,5476
稟,4,10953
民,12,32859
決,2,5476
才,2,5476
務,2,5476
免,2,5476
純,4,10953
孝,4,10953
將,50,136911
卓,2,5476
集,2,5476
防,4,10953
父,2,5476
訖,4,10953
大,54,147864
感,2,5476
竇,2,5476
寇,2,5476
減,2,5476
表,6,16429
除,6,16429
粗,2,5476
綬,2,5476
遂,2,5476
莽,2,5476
億,2,5476
世,16,43812
本,28,76670
賊,4,10953
官,28,76670
副,2,5476
邑,2,5476
記,6,16429
罪,4,10953
殆,2,5476
一,34,93100
賜,4,10953
新,4,10953
辟,4,10953
存,2,5476
前,4,10953
侯,2,5476
常,10,27382
小,2,5476
皇,2,5476
同,4,10953
第,2,5476
比,20,54765
篇,2,5476
視,2,5476
置,20,54765
遺,2,5476
觀,2,5476
署,4,10953
起,2,5476
王,14,38335
員,4,10953
亞,2,5476
舅,8,21906
水,4,10953
盜,2,5476
訟,2,5476
貨,2,5476
載,2,5476
賢,2,5476
生,2,5476
辭,4,10953
馬,24,65717
窮,2,5476
時,2,5476
告,2,5476
餘,6,16429
書,10,27382
久,2,5476
奏,10,27382
千,14,38335
寶,2,5476
安,10,27382
漢,16,43812
持,2,5476
嫡,2,5476
貳,2,5476
及,22,60241
督,2,5476
綏,2,5476
古,4,10953
尊,4,10953
西,10,27382
京,2,5476
傅,8,21906
青,2,5476
報,2,5476
嗣,2,5476
弟,4,10953
反,2,5476
掌,20,54765
順,4,10953
祠,2,5476
科,2,5476
海,2,5476
禁,2,5476
兵,18,49288
參,2,5476
洫,2,5476
汲,2,5476
守,2,5476
用,4,10953
亂,4,10953
繼,4,10953
吹,2,5476
廣,4,10953
雜,2,5476
鹽,2,5476
號,6,16429
國,10,27382
說,4,10953
冠,2,5476
太,20,54765
改,6,16429
益,2,5476
學,2,5476
奢,4,10953
鼓,2,5476
制,6,16429
造,4,10953
卿,4,10953
教,2,5476
閤,6,16429
曹,32,87623
議,8,21906
丞,2,5476
驃,6,16429
微,2,5476
導,2,5476
修,2,5476
城,2,5476
空,8,21906
黃,2,5476
吏,6,16429
伐,8,21906
盡,6,16429
光,2,5476
損,2,5476
創,2,5476
補,2,5476
貫,2,5476
穀,2,5476
士,4,10953
善,2,5476
史,36,98576
背,2,5476
掾,20,54765
轉,2,5476
」,4,10953
通,6,16429
領,6,16429
騭,2,5476
尉,18,49288
度,8,21906
為,44,120482
爭,4,10953
單,2,5476
難,2,5476
濯,2,5476
興,10,27382
部,16,43812
分,6,16429
牲,2,5476
云,2,5476
印,2,5476
土,6,16429
遼,2,5476
費,2,5476
草,2,5476
最,6,16429
室,6,16429
身,2,5476
「,4,10953
宜,4,10953
但,2,5476
猶,2,5476
獻,2,5476
錄,6,16429
範,2,5476
耿,2,5476
農,2,5476
溝,2,5476
周,6,16429
車,8,21906
茂,2,5476
舊,4,10953
征,16,43812
直,2,5476
較,2,5476
乏,2,5476
每,2,5476
條,2,5476
喪,6,16429
百,24,65717
諸,8,21906
復,16,43812
戶,4,10953
謙,2,5476
究,2,5476
遷,6,16429
丹,2,5476
從,6,16429
浚,2,5476
政,2,5476
蒼,2,5476
掃,2,5476
中,12,32859
幣,2,5476
郵,2,5476
論,2,5476
和,4,10953
并,2,5476
注,32,87623
晉,2,5476
程,2,5476
姦,2,5476
令,20,54765
計,2,5476
八,2,5476
缺,4,10953
諫,4,10953
曲,10,27382
著,4,10953
衰,2,5476
章,4,10953
德,2,5476
騎,16,43812
承,4,10953
知,2,5476
南,4,10953
秦,6,16429
兄,2,5476
械,2,5476
成,2,5476
運,2,5476
總,2,5476
；,12,32859
死,2,5476
建,12,32859
降,2,5476
