Character, Abs. Freq., Rel. Freq.
職,4,8677
輒,2,4338
國,16,34707
劍,2,4338
每,4,8677
印,4,8677
后,2,4338
飲,4,8677
兼,2,4338
泥,2,4338
并,2,4338
改,2,4338
士,2,4338
初,4,8677
室,18,39046
損,2,4338
讞,2,4338
采,4,8677
廩,2,4338
主,70,151844
紙,4,8677
逋,2,4338
多,4,8677
酒,4,8677
密,2,4338
餘,8,17354
宮,22,47722
夷,2,4338
別,14,30369
門,16,34707
送,2,4338
受,6,13015
甘,4,8677
分,6,13015
禁,4,8677
錄,6,13015
臺,8,17354
復,2,4338
章,4,8677
金,4,8677
堂,2,4338
屬,38,82430
苑,14,30369
帛,4,8677
察,2,4338
封,4,8677
史,24,52061
璽,4,8677
秦,4,8677
常,6,13015
鹽,2,4338
穀,6,13015
女,2,4338
服,6,13015
騶,2,4338
休,2,4338
孝,2,4338
使,6,13015
嘗,2,4338
好,2,4338
舊,4,8677
威,2,4338
園,12,26030
秋,2,4338
捕,2,4338
河,2,4338
工,8,17354
作,12,26030
藏,6,13015
物,12,26030
正,10,21692
頗,2,4338
巷,2,4338
南,12,26030
郎,6,13015
考,4,8677
月,2,4338
簿,2,4338
會,4,8677
離,4,8677
里,6,13015
王,8,17354
胞,2,4338
玉,2,4338
名,12,26030
成,4,8677
比,16,34707
竹,2,4338
識,2,4338
興,8,17354
敖,2,4338
貴,4,8677
知,2,4338
因,4,8677
舉,6,13015
等,4,8677
遣,2,4338
戶,2,4338
幣,4,8677
都,8,17354
上,24,52061
嫡,2,4338
均,2,4338
鴈,2,4338
舂,2,4338
縣,2,4338
綬,4,8677
農,10,21692
廣,2,4338
違,4,8677
牲,2,4338
張,2,4338
武,4,8677
居,4,8677
調,2,4338
衛,2,4338
留,2,4338
儀,2,4338
報,6,13015
雒,8,17354
副,2,4338
狄,2,4338
時,2,4338
飛,2,4338
祖,6,13015
見,4,8677
濯,4,8677
籍,2,4338
庫,2,4338
半,2,4338
訖,2,4338
刀,2,4338
病,2,4338
右,22,47722
禽,2,4338
率,4,8677
承,6,13015
大,14,30369
天,2,4338
鶩,2,4338
劉,2,4338
少,16,34707
髡,2,4338
給,10,21692
畫,2,4338
虎,2,4338
寡,2,4338
選,4,8677
具,4,8677
人,142,308026
外,6,13015
輿,4,8677
劇,2,4338
小,6,13015
官,34,73753
直,6,13015
拜,2,4338
練,2,4338
山,2,4338
角,2,4338
稅,2,4338
澤,2,4338
和,2,4338
合,2,4338
；,10,21692
立,2,4338
寶,2,4338
一,112,242950
騎,4,8677
廟,2,4338
暴,4,8677
手,2,4338
無,12,26030
當,4,8677
珍,2,4338
中,76,164859
減,2,4338
駕,2,4338
秩,4,8677
畢,2,4338
傳,2,4338
符,14,30369
卿,10,21692
苦,2,4338
色,2,4338
丞,110,238612
用,8,17354
滎,2,4338
奏,10,21692
方,10,21692
參,2,4338
守,4,8677
近,6,13015
旦,2,4338
尉,8,17354
妃,2,4338
百,80,173536
帝,8,17354
草,2,4338
七,2,4338
顧,4,8677
輸,2,4338
民,6,13015
家,2,4338
書,42,91106
轉,8,17354
鴻,4,8677
計,2,4338
暫,2,4338
筆,4,8677
庶,2,4338
遠,2,4338
皇,2,4338
倉,4,8677
乘,6,13015
相,2,4338
監,12,26030
侍,26,56399
注,106,229935
婦,2,4338
公,8,17354
擇,2,4338
囿,2,4338
掌,48,104121
吏,8,17354
請,2,4338
群,2,4338
問,6,13015
黃,16,34707
庭,2,4338
對,4,8677
御,30,65076
西,2,4338
親,2,4338
增,8,17354
殿,4,8677
醫,6,13015
及,32,69414
授,2,4338
應,4,8677
果,12,26030
通,4,8677
北,8,17354
遵,2,4338
宿,2,4338
遊,2,4338
墨,4,8677
加,2,4338
處,6,13015
起,2,4338
陂,2,4338
林,8,17354
郊,2,4338
失,4,8677
城,2,4338
疾,4,8677
宗,14,30369
疑,2,4338
巿,2,4338
掖,2,4338
為,22,47722
宦,40,86768
糒,2,4338
自,4,8677
曹,28,60738
客,8,17354
藥,10,21692
事,38,82430
準,2,4338
