Character, Abs. Freq., Rel. Freq.
記,6,3300
謙,2,1100
晉,2,1100
涼,18,9899
句,4,2200
務,2,1100
薁,4,2200
埽,4,2200
充,4,2200
定,24,13198
頗,2,1100
盛,8,4399
非,14,7699
少,16,8799
須,4,2200
擇,2,1100
奪,2,1100
域,4,2200
諫,2,1100
儷,2,1100
奴,20,10999
孤,6,3300
蠢,2,1100
禮,8,4399
結,16,8799
承,6,3300
引,10,5499
伐,6,3300
燼,2,1100
露,2,1100
追,22,12099
履,2,1100
錯,2,1100
漢,18,9899
斯,2,1100
石,12,6599
匹,4,2200
謇,2,1100
靜,8,4399
貞,4,2200
級,24,13198
居,12,6599
領,2,1100
軟,2,1100
巷,2,1100
冒,2,1100
順,4,2200
私,6,3300
魚,2,1100
脩,2,1100
改,8,4399
陸,4,2200
豪,22,12099
聽,12,6599
齎,4,2200
兗,2,1100
山,38,20897
起,8,4399
讟,2,1100
物,10,5499
文,20,10999
寫,4,2200
久,10,5499
刁,2,1100
敢,10,5499
呼,6,3300
陳,18,9899
宦,10,5499
拍,2,1100
獲,24,13198
飽,2,1100
韙,2,1100
菴,2,1100
侍,16,8799
廄,2,1100
滅,10,5499
險,4,2200
鏃,2,1100
區,4,2200
董,6,3300
蛇,6,3300
叩,8,4399
均,2,1100
干,4,2200
免,10,5499
咸,4,2200
考,4,2200
「,48,26397
力,10,5499
諛,4,2200
最,6,3300
言,68,37396
量,4,2200
怨,10,5499
伯,6,3300
案,2,1100
寵,4,2200
寓,4,2200
徙,14,7699
郭,12,6599
巨,2,1100
喜,2,1100
友,6,3300
廷,22,12099
騾,4,2200
弓,2,1100
金,12,6599
退,12,6599
霹,2,1100
殆,4,2200
賴,2,1100
害,14,7699
落,16,8799
昶,2,1100
姬,2,1100
才,6,3300
小,8,4399
求,12,6599
辭,10,5499
卹,2,1100
楫,2,1100
碑,2,1100
幾,8,4399
搆,2,1100
初,18,9899
披,2,1100
賞,6,3300
益,8,4399
奢,4,2200
侵,8,4399
勸,4,2200
祐,2,1100
訊,2,1100
安,34,18698
性,4,2200
占,6,3300
桀,2,1100
殃,2,1100
謗,4,2200
議,10,5499
咎,8,4399
昌,2,1100
劾,2,1100
八,30,16498
違,6,3300
滇,6,3300
化,2,1100
篇,4,2200
設,4,2200
創,4,2200
示,2,1100
欺,2,1100
祖,2,1100
便,12,6599
邁,2,1100
歸,18,9899
竟,2,1100
皇,18,9899
鴻,2,1100
支,2,1100
魃,2,1100
潰,8,4399
煎,10,5499
心,22,12099
匈,20,10999
稱,14,7699
應,8,4399
輒,2,1100
塢,6,3300
誠,12,6599
矯,2,1100
西,48,26397
護,14,7699
仰,2,1100
冤,2,1100
幅,2,1100
關,8,4399
選,4,2200
毛,2,1100
擾,6,3300
滋,2,1100
姐,10,5499
鞬,4,2200
事,30,16498
氈,2,1100
端,4,2200
近,10,5499
合,8,4399
棄,2,1100
賦,6,3300
論,14,7699
慮,8,4399
草,4,2200
章,8,4399
澤,6,3300
憐,4,2200
頌,2,1100
親,8,4399
著,8,4399
？,12,6599
擢,2,1100
帛,2,1100
幸,6,3300
吾,14,7699
邊,22,12099
備,2,1100
綿,2,1100
車,12,6599
借,2,1100
惟,4,2200
略,22,12099
謔,2,1100
段,10,5499
尋,4,2200
拜,30,16498
禍,4,2200
止,2,1100
純,2,1100
墉,2,1100
岐,2,1100
尹,10,5499
邪,8,4399
實,6,3300
官,34,18698
問,16,8799
據,6,3300
囂,2,1100
疲,4,2200
授,2,1100
增,8,4399
湟,10,5499
助,4,2200
容,4,2200
介,2,1100
髮,2,1100
琅,2,1100
陷,6,3300
拔,4,2200
它,2,1100
殊,2,1100
休,4,2200
屈,2,1100
期,8,4399
弔,2,1100
煙,2,1100
蓐,2,1100
廩,2,1100
彭,2,1100
盜,6,3300
謝,10,5499
歎,2,1100
發,8,4399
烈,2,1100
賢,30,16498
秋,8,4399
民,6,3300
即,4,2200
：,50,27497
延,10,5499
齊,2,1100
嗟,2,1100
患,8,4399
肉,4,2200
泉,6,3300
璽,6,3300
躇,2,1100
》,2,1100
逮,2,1100
猾,6,3300
刃,4,2200
熲,134,73691
忍,2,1100
悉,26,14298
印,8,4399
潤,2,1100
減,4,2200
渠,10,5499
晏,20,10999
字,10,5499
哲,2,1100
千,94,51694
齒,6,3300
尾,4,2200
弛,2,1100
殖,2,1100
斥,4,2200
加,12,6599
公,22,12099
避,6,3300
畢,2,1100
臚,2,1100
疽,2,1100
省,10,5499
閎,10,5499
勤,6,3300
擔,2,1100
難,12,6599
學,8,4399
身,14,7699
節,22,12099
獨,4,2200
帥,14,7699
驚,6,3300
馳,6,3300
矛,4,2200
稍,2,1100
鳴,2,1100
胡,6,3300
任,8,4399
社,4,2200
虐,4,2200
反,24,13198
荅,4,2200
鯁,2,1100
縱,4,2200
髀,2,1100
陛,8,4399
矩,2,1100
述,2,1100
切,8,4399
秦,6,3300
憂,8,4399
火,4,2200
闕,4,2200
國,24,13198
傅,4,2200
街,2,1100
樹,2,1100
連,16,8799
世,16,8799
岱,2,1100
討,16,8799
園,2,1100
虺,2,1100
恬,2,1100
孔,4,2200
入,18,9899
路,6,3300
品,2,1100
卻,4,2200
溺,2,1100
沒,18,9899
猛,14,7699
敕,2,1100
土,6,3300
曹,6,3300
獷,2,1100
姓,6,3300
濤,2,1100
邑,10,5499
孝,4,2200
育,10,5499
末,2,1100
令,24,13198
渴,2,1100
梁,16,8799
戾,2,1100
光,8,4399
張,44,24197
摩,2,1100
忿,4,2200
璜,4,2200
隸,10,5499
牖,2,1100
君,6,3300
駱,2,1100
溫,2,1100
輯,2,1100
審,8,4399
錮,10,5499
淚,2,1100
恩,12,6599
宿,2,1100
威,44,24197
面,2,1100
羊,8,4399
牢,4,2200
遂,56,30796
告,6,3300
都,18,9899
康,6,3300
竊,2,1100
怍,4,2200
半,4,2200
放,4,2200
數,48,26397
坤,2,1100
作,8,4399
惡,14,7699
罪,14,7699
昭,4,2200
裘,2,1100
永,22,12099
逸,2,1100
瞻,4,2200
被,14,7699
乞,8,4399
誡,6,3300
老,2,1100
牛,8,4399
奮,4,2200
蠲,2,1100
果,6,3300
相,40,21997
汗,2,1100
葬,6,3300
商,2,1100
驂,2,1100
惑,2,1100
報,10,5499
桓,16,8799
祿,6,3300
請,2,1100
頭,8,4399
綏,2,1100
持,6,3300
企,4,2200
讒,4,2200
馬,46,25297
湖,2,1100
再,10,5499
臣,102,56093
元,20,10999
旬,2,1100
委,6,3300
弟,6,3300
傍,4,2200
攝,2,1100
進,24,13198
爭,4,2200
酹,2,1100
耗,4,2200
斬,36,19798
鎮,4,2200
救,2,1100
眚,2,1100
回,4,2200
馮,8,4399
靂,2,1100
酋,12,6599
禪,4,2200
殄,4,2200
悅,2,1100
等,60,32996
靖,2,1100
涉,6,3300
糾,6,3300
穢,2,1100
掖,6,3300
己,8,4399
挫,2,1100
颯,2,1100
卑,10,5499
體,2,1100
治,2,1100
境,2,1100
廬,8,4399
射,2,1100
酒,8,4399
束,2,1100
樊,2,1100
龜,2,1100
動,12,6599
紀,4,2200
謁,2,1100
壞,2,1100
贊,2,1100
濁,2,1100
餓,2,1100
脅,6,3300
搏,2,1100
萬,64,35196
朱,2,1100
規,78,42895
善,12,6599
蒙,4,2200
惶,4,2200
藏,2,1100
逋,2,1100
訴,4,2200
丘,2,1100
平,26,14298
遮,4,2200
微,6,3300
矢,4,2200
但,8,4399
質,2,1100
誣,4,2200
謹,2,1100
代,8,4399
步,10,5499
氐,6,3300
猜,2,1100
橫,4,2200
附,4,2200
邠,2,1100
聖,6,3300
百,56,30796
群,12,6599
儒,2,1100
蟄,2,1100
人,140,76991
傳,4,2200
艾,2,1100
尉,46,25297
特,4,2200
參,4,2200
姦,6,3300
球,2,1100
田,12,6599
歌,2,1100
朝,32,17598
變,4,2200
疫,4,2200
暢,4,2200
罰,2,1100
春,20,10999
待,4,2200
成,10,5499
黃,4,2200
犬,2,1100
江,2,1100
窀,2,1100
弭,4,2200
趾,2,1100
前,38,20897
將,126,69292
倖,4,2200
賊,20,10999
獄,6,3300
府,8,4399
慎,2,1100
厎,2,1100
戚,2,1100
直,8,4399
囚,2,1100
潁,2,1100
默,4,2200
首,38,20897
寸,2,1100
根,2,1100
夢,2,1100
逐,2,1100
騰,8,4399
詣,10,5499
鉅,2,1100
荒,2,1100
里,24,13198
保,2,1100
口,18,9899
會,14,7699
繁,2,1100
拒,2,1100
芳,4,2200
鴆,2,1100
哀,6,3300
蕃,12,6599
昧,2,1100
中,96,52794
高,12,6599
毒,6,3300
憲,4,2200
誚,2,1100
鼓,2,1100
浹,2,1100
怖,2,1100
畏,4,2200
死,34,18698
利,4,2200
郵,2,1100
兄,4,2200
謀,10,5499
戎,14,7699
谷,22,12099
除,8,4399
愷,4,2200
佐,2,1100
徵,28,15398
共,24,13198
羌,146,80290
殘,2,1100
慰,6,3300
綬,8,4399
悔,4,2200
亡,8,4399
理,4,2200
熹,12,6599
我,2,1100
倚,2,1100
載,6,3300
飲,2,1100
克,6,3300
辜,2,1100
巾,2,1100
棱,2,1100
登,8,4399
紜,2,1100
指,2,1100
逢,2,1100
鈔,4,2200
自,62,34096
禱,2,1100
賓,4,2200
庭,4,2200
累,10,5499
勳,4,2200
餘,102,56093
希,2,1100
致,6,3300
對,10,5499
劣,2,1100
刺,18,9899
寧,12,6599
權,10,5499
