Character, Abs. Freq., Rel. Freq.
君,4,7413
旦,2,3706
當,6,11119
關,2,3706
輪,4,7413
寢,2,3706
造,2,3706
吏,10,18532
公,32,59303
葦,4,7413
送,10,18532
鎛,2,3706
交,4,7413
校,4,7413
鴻,20,37064
劍,2,3706
特,10,18532
布,24,44477
喪,18,33358
策,18,33358
齋,4,7413
萬,2,3706
襲,2,3706
便,10,18532
羽,2,3706
醫,4,7413
幅,2,3706
粱,2,3706
幢,2,3706
高,4,7413
瓦,20,37064
射,2,3706
豆,4,7413
輔,2,3706
黃,22,40771
因,2,3706
車,46,85248
罷,6,11119
血,2,3706
免,4,7413
侯,32,59303
止,10,18532
請,30,55597
卜,2,3706
敢,2,3706
干,2,3706
酒,6,11119
畫,6,11119
屑,2,3706
給,2,3706
投,2,3706
臣,30,55597
廣,6,11119
馬,12,22239
華,2,3706
兒,2,3706
恭,2,3706
貌,2,3706
稷,2,3706
飾,4,7413
兵,6,11119
漆,4,7413
佐,6,11119
妻,2,3706
腸,2,3706
門,22,40771
歷,2,3706
度,2,3706
園,12,22239
祖,4,7413
謚,16,29652
北,10,18532
西,12,22239
祀,4,7413
留,4,7413
望,2,3706
主,22,40771
白,4,7413
竽,2,3706
面,14,25945
隆,2,3706
棺,4,7413
穀,2,3706
為,18,33358
反,4,7413
導,12,22239
尉,28,51890
寶,2,3706
贈,18,33358
歸,2,3706
斗,2,3706
恳,2,3706
絰,6,11119
石,26,48184
升,24,44477
匠,4,7413
枚,2,3706
刻,6,11119
尚,8,14826
外,2,3706
凶,2,3706
時,2,3706
擇,2,3706
斂,2,3706
帳,6,11119
候,2,3706
哀,12,22239
變,4,7413
內,4,7413
物,4,7413
辭,2,3706
弟,2,3706
伏,8,14826
簡,2,3706
戎,2,3706
階,2,3706
賜,4,7413
龍,8,14826
璽,4,7413
爵,2,3706
從,14,25945
副,2,3706
黑,2,3706
輜,2,3706
瀆,2,3706
絡,2,3706
幕,2,3706
向,10,18532
薨,4,7413
緣,2,3706
嘗,4,7413
幄,6,11119
覆,6,11119
長,20,37064
裹,2,3706
位,20,37064
令,14,25945
禱,2,3706
宗,4,7413
單,2,3706
倚,2,3706
卑,2,3706
達,2,3706
玄,6,11119
會,12,22239
禁,2,3706
右,2,3706
盛,2,3706
蓋,8,14826
牟,2,3706
緹,4,7413
丞,4,7413
哭,32,59303
病,2,3706
篋,4,7413
委,2,3706
太,90,166790
立,22,40771
賓,8,14826
牲,4,7413
槨,2,3706
盡,2,3706
千,20,37064
服,42,77835
銜,2,3706
殿,12,22239
甑,2,3706
閒,2,3706
毛,2,3706
臺,2,3706
用,2,3706
熊,4,7413
夾,2,3706
旂,2,3706
藏,10,18532
促,2,3706
祝,6,11119
樂,2,3706
筲,2,3706
幙,2,3706
近,6,11119
日,24,44477
皇,38,70423
光,2,3706
驅,2,3706
氣,4,7413
舉,2,3706
房,18,33358
鼎,2,3706
豫,2,3706
蘭,2,3706
京,2,3706
目,2,3706
絳,2,3706
歲,2,3706
麤,4,7413
吉,4,7413
武,12,22239
晡,2,3706
簟,4,7413
陵,10,18532
明,2,3706
參,2,3706
漏,6,11119
開,4,7413
擢,2,3706
謁,12,22239
疏,4,7413
詣,10,18532
冠,26,48184
詔,4,7413
筑,2,3706
簿,2,3706
敔,2,3706
軍,4,7413
無,12,22239
設,4,7413
磬,2,3706
轉,2,3706
弔,6,11119
紫,2,3706
鍾,2,3706
顧,2,3706
銅,2,3706
他,2,3706
旋,2,3706
莊,2,3706
甘,2,3706
祠,2,3706
木,8,14826
歌,2,3706
尾,4,7413
瑟,2,3706
行,18,33358
柏,2,3706
刺,4,7413
幣,2,3706
露,2,3706
裳,6,11119
再,8,14826
官,16,29652
泉,2,3706
戶,2,3706
樽,2,3706
前,10,18532
質,2,3706
斬,2,3706
元,2,3706
俞,2,3706
蛇,2,3706
旐,2,3706
著,2,3706
飯,2,3706
短,4,7413
柷,2,3706
侍,8,14826
八,16,29652
仞,2,3706
列,10,18532
釋,4,7413
卻,2,3706
郊,6,11119
發,4,7413
史,24,44477
傅,2,3706
戈,4,7413
輓,4,7413
驛,4,7413
自,8,14826
各,14,25945
穿,4,7413
郵,2,3706
坑,2,3706
掌,4,7413
匜,2,3706
紼,4,7413
戚,2,3706
群,16,29652
孤,2,3706
南,18,33358
菽,2,3706
