Character, Abs. Freq., Rel. Freq.
鴻,4,13089
郃,2,6545
周,12,39267
管,2,6545
關,6,19634
改,6,19634
邑,16,52356
梁,8,26178
居,2,6545
卷,2,6545
栒,2,6545
盧,2,6545
崤,2,6545
臨,4,13089
豳,2,6545
經,2,6545
水,48,157068
樅,2,6545
晉,2,6545
治,2,6545
末,2,6545
華,4,13089
宜,2,6545
乾,2,6545
渝,2,6545
右,4,13089
垣,4,13089
閺,2,6545
道,2,6545
鞏,2,6545
圃,2,6545
雍,6,19634
軹,2,6545
蒯,2,6545
牧,2,6545
敦,2,6545
世,2,6545
復,10,32723
小,2,6545
阪,4,13089
汎,2,6545
梅,2,6545
瑣,2,6545
茂,2,6545
里,4,13089
襄,2,6545
甘,4,13089
一,18,58901
同,2,6545
粟,2,6545
湟,2,6545
太,6,19634
但,2,6545
緱,2,6545
唐,2,6545
遂,2,6545
物,2,6545
焦,2,6545
鄠,2,6545
新,8,26178
勺,2,6545
本,16,52356
前,6,19634
枳,2,6545
湛,2,6545
邰,2,6545
鼎,2,6545
蘇,2,6545
騩,2,6545
漫,2,6545
口,18,58901
秋,6,19634
屋,2,6545
蔡,4,13089
七,16,52356
年,16,52356
冢,2,6545
濩,2,6545
蓮,2,6545
湖,2,6545
東,8,26178
虞,2,6545
涑,2,6545
書,4,13089
共,2,6545
亭,48,157068
鹽,2,6545
鄤,4,13089
邢,4,13089
陰,8,26178
猗,2,6545
郿,2,6545
錡,2,6545
羑,2,6545
鄉,22,71990
熒,2,6545
天,2,6545
陝,4,13089
雷,2,6545
內,2,6545
地,6,19634
郡,16,52356
德,2,6545
封,4,13089
津,4,13089
河,14,45812
成,6,19634
元,4,13089
來,2,6545
馮,6,19634
夏,2,6545
渾,2,6545
匽,2,6545
芮,2,6545
嘉,4,13089
隴,2,6545
犬,4,13089
邶,2,6545
費,2,6545
城,96,314136
槐,2,6545
并,2,6545
廣,4,13089
百,28,91623
菀,4,13089
八,20,65445
氏,16,52356
喜,2,6545
董,6,19634
荔,2,6545
湨,2,6545
扈,2,6545
陵,20,65445
燭,2,6545
尋,2,6545
邘,2,6545
高,10,32723
衡,2,6545
絳,2,6545
雝,2,6545
泉,8,26178
鐵,12,39267
雲,2,6545
漆,4,13089
雒,8,26178
汧,6,19634
耿,2,6545
原,4,13089
鎬,2,6545
杜,6,19634
校,2,6545
稷,2,6545
屬,12,39267
蒲,4,13089
陘,2,6545
戶,14,45812
載,2,6545
務,2,6545
茅,4,13089
豐,4,13089
垂,2,6545
汲,2,6545
褚,2,6545
楊,2,6545
叔,2,6545
柳,2,6545
函,4,13089
公,4,13089
無,2,6545
重,2,6545
終,2,6545
上,8,26178
紂,2,6545
攢,2,6545
酆,2,6545
圉,2,6545
陳,2,6545
淇,2,6545
龍,2,6545
川,2,6545
絕,2,6545
李,2,6545
奇,2,6545
軨,2,6545
首,2,6545
名,22,71990
翼,2,6545
黽,2,6545
睪,2,6545
興,2,6545
戲,2,6545
隸,2,6545
寧,2,6545
曲,6,19634
嶽,2,6545
融,2,6545
坎,2,6545
林,8,26178
田,6,19634
瀍,2,6545
理,2,6545
韓,2,6545
桃,4,13089
農,8,26178
嚴,2,6545
士,2,6545
遇,2,6545
侯,14,45812
風,4,13089
朝,2,6545
弘,8,26178
志,6,19634
國,30,98168
兗,2,6545
池,10,32723
回,4,13089
絺,2,6545
領,2,6545
和,6,19634
部,2,6545
中,12,39267
尉,2,6545
西,4,13089
射,2,6545
漢,2,6545
異,4,13089
伐,2,6545
清,4,13089
史,2,6545
埳,2,6545
扶,2,6545
祭,2,6545
南,16,52356
沃,2,6545
行,2,6545
轘,2,6545
