Character, Abs. Freq., Rel. Freq.
泉,6,4640
黃,6,4640
遣,30,23198
貢,4,3093
求,8,6186
作,16,12372
跡,2,1547
抑,2,1547
禮,20,15466
灑,2,1547
艱,2,1547
麟,2,1547
均,4,3093
柏,2,1547
定,4,3093
科,2,1547
入,16,12372
虞,6,4640
慮,2,1547
祥,4,3093
宣,2,1547
延,20,15466
裝,2,1547
弟,6,4640
選,2,1547
時,26,20105
蔽,2,1547
封,18,13919
升,6,4640
弩,2,1547
野,2,1547
梁,4,3093
耿,10,7733
詔,52,40210
開,4,3093
半,10,7733
悉,6,4640
豫,2,1547
意,8,6186
廉,2,1547
器,2,1547
傜,2,1547
就,12,9279
侵,2,1547
盥,2,1547
虛,4,3093
酺,2,1547
臘,2,1547
榮,6,4640
厥,14,10826
決,4,3093
兄,4,3093
戰,4,3093
歷,2,1547
里,2,1547
匈,14,10826
著,4,3093
患,4,3093
費,4,3093
運,2,1547
慚,4,3093
司,78,60315
：,52,40210
卯,24,18559
陽,40,30931
午,8,6186
馬,16,12372
尊,6,4640
姑,2,1547
永,16,12372
牟,2,1547
類,2,1547
末,4,3093
令,38,29384
頭,2,1547
錄,2,1547
昭,2,1547
域,6,4640
宋,2,1547
囚,10,7733
譽,2,1547
遭,4,3093
逮,4,3093
壅,4,3093
公,38,29384
軍,22,17012
經,4,3093
江,4,3093
到,6,4640
蕭,2,1547
商,2,1547
丁,10,7733
羌,10,7733
疠,2,1547
殘,2,1547
陪,2,1547
訢,6,4640
臺,10,7733
佩,2,1547
禾,2,1547
昆,2,1547
杅,2,1547
履,2,1547
改,6,4640
游,2,1547
祠,18,13919
七,18,13919
議,4,3093
擊,8,6186
利,6,4640
塞,4,3093
處,4,3093
供,6,4640
具,2,1547
刺,8,6186
月,178,137643
？,16,12372
種,4,3093
班,4,3093
新,2,1547
尤,6,4640
胤,2,1547
千,28,21652
濟,10,7733
墯,2,1547
瑞,2,1547
齋,2,1547
桓,8,6186
拜,2,1547
流,18,13919
丹,4,3093
亥,8,6186
服,6,4640
自,52,40210
环,2,1547
貴,4,3093
獨,12,9279
命,18,13919
汝,4,3093
雲,10,7733
烈,4,3093
」,40,30931
滋,2,1547
稼,6,4640
螟,2,1547
代,4,3093
溢,2,1547
睦,4,3093
配,2,1547
荒,4,3093
負,2,1547
竇,12,9279
天,52,40210
邦,2,1547
夷,6,4640
狀,2,1547
右,18,13919
枉,4,3093
居,4,3093
射,4,3093
亂,4,3093
示,4,3093
濱,2,1547
岸,2,1547
輿,2,1547
雨,10,7733
役,4,3093
義,2,1547
羊,2,1547
蕩,10,7733
反,14,10826
舟,2,1547
撥,2,1547
辟,10,7733
祝,4,3093
星,4,3093
虜,6,4640
白,6,4640
衰,2,1547
浮,2,1547
耳,6,4640
百,32,24745
糠,2,1547
南,32,24745
北,32,24745
邢,4,3093
寶,2,1547
丙,14,10826
穆,6,4640
及,34,26291
陷,2,1547
韓,2,1547
頃,2,1547
募,6,4640
墊,2,1547
萬,16,12372
恭,20,15466
宮,24,18559
笞,4,3093
守,22,17012
旦,14,10826
素,2,1547
擅,2,1547
繕,2,1547
宿,12,9279
傅,4,3093
伯,2,1547
悌,8,6186
丕,2,1547
伏,8,6186
』,4,3093
樂,16,12372
色,6,4640
優,4,3093
繼,4,3093
漢,2,1547
奏,10,7733
報,8,6186
告,12,9279
街,2,1547
愆,2,1547
務,8,6186
責,2,1547
立,10,7733
柔,2,1547
產,10,7733
癸,12,9279
頑,2,1547
遼,6,4640
工,2,1547
僥,2,1547
備,8,6186
藉,4,3093
懋,2,1547
龍,4,3093
楊,2,1547
鄉,6,4640
呂,2,1547
侔,2,1547
因,4,3093
殊,10,7733
瓠,2,1547
顧,2,1547
貧,14,10826
固,16,12372
置,10,7733
辰,20,15466
功,10,7733
畢,10,7733
耕,10,7733
達,2,1547
幸,32,24745
埽,4,3093
慧,2,1547
酒,6,4640
動,6,4640
府,6,4640
孔,2,1547
還,24,18559
云,2,1547
；,62,47943
渠,14,10826
燒,6,4640
士,6,4640
赦,14,10826
信,2,1547
豪,2,1547
鑄,2,1547
喜,2,1547
圖,2,1547
性,2,1547
率,4,3093
偕,2,1547
室,6,4640
卑,2,1547
衍,6,4640
趾,8,6186
欲,14,10826
築,2,1547
丈,4,3093
武,30,23198
暮,2,1547
仰,2,1547
脯,2,1547
粟,12,9279
部,4,3093
酉,4,3093
勤,2,1547
送,2,1547
卻,2,1547
壤,2,1547
荊,6,4640
西,20,15466
「,40,30931
噎,2,1547
邳,6,4640
位,8,6186
竦,2,1547
梓,2,1547
從,14,10826
詳,4,3093
墓,2,1547
宗,16,12372
鄧,2,1547
！,2,1547
八,22,17012
翊,2,1547
國,34,26291
雉,2,1547
私,2,1547
海,28,21652
乘,12,9279
盛,2,1547
州,8,6186
幼,2,1547
民,8,6186
牛,2,1547
骨,2,1547
聖,12,9279
綏,4,3093
朔,6,4640
承,12,9279
圍,2,1547
澤,2,1547
乞,2,1547
墨,2,1547
仲,4,3093
歸,2,1547
殃,2,1547
獄,16,12372
狈,2,1547
切,6,4640
降,10,7733
京,18,13919
門,10,7733
晦,8,6186
詠,2,1547
葬,8,6186
調,2,1547
目,2,1547
哽,2,1547
赤,2,1547
測,2,1547
蜮,2,1547
老,26,20105
戶,4,3093
章,12,9279
戌,6,4640
洛,2,1547
等,10,7733
咸,2,1547
左,8,6186
重,6,4640
文,6,4640
淵,2,1547
雍,12,9279
奠,4,3093
收,6,4640
旄,2,1547
執,6,4640
農,10,7733
》,2,1547
秋,30,23198
儲,4,3093
牲,4,3093
莊,4,3093
祖,10,7733
朕,32,24745
斯,4,3093
孝,10,7733
邪,16,12372
亡,10,7733
川,2,1547
擇,2,1547
富,2,1547
玉,4,3093
甚,4,3093
涉,2,1547
用,6,4640
佞,2,1547
匹,32,24745
糒,2,1547
金,4,3093
徙,8,6186
笑,2,1547
宅,4,3093
塤,2,1547
冬,26,20105
閒,4,3093
漸,2,1547
濊,2,1547
當,10,7733
飢,2,1547
思,8,6186
宰,2,1547
再,2,1547
它,2,1547
移,2,1547
旂,2,1547
群,14,10826
饌,2,1547
撓,2,1547
違,2,1547
澍,2,1547
都,34,26291
缮,10,7733
踐,2,1547
秉,8,6186
繫,10,7733
象,4,3093
母,10,7733
加,4,3093
吹,2,1547
雪,2,1547
增,2,1547
給,2,1547
太,56,43303
詞,2,1547
麥,6,4640
和,10,7733
肅,2,1547
祈,2,1547
昌,2,1547
滎,4,3093
雒,2,1547
靈,10,7733
今,30,23198
敦,6,4640
恐,2,1547
比,6,4640
初,16,12372
密,2,1547
好,2,1547
平,36,27838
寅,16,12372
楚,14,10826
瀁,2,1547
罷,6,4640
曼,2,1547
體,2,1547
栩,2,1547
衣,6,4640
露,4,3093
傷,6,4640
賜,44,34024
禱,6,4640
禁,6,4640
為,86,66502
穀,2,1547
正,28,21652
完,6,4640
典,2,1547
謀,14,10826
御,4,3093
發,14,10826
別,2,1547
舉,6,4640
度,14,10826
贖,22,17012
屯,10,7733
日,32,24745
闇,2,1547
內,12,9279
討,6,4640
舂,8,6186
稔,2,1547
綱,2,1547
沛,14,10826
養,10,7733
筭,2,1547
懼,12,9279
裳,2,1547
德,36,27838
鍾,2,1547
愁,4,3093
隴,6,4640
曾,2,1547
福,2,1547
攻,2,1547
汭,2,1547
館,4,3093
死,42,32478
漭,2,1547
木,2,1547
庭,2,1547
隸,6,4640
坐,6,4640
獵,2,1547
遺,4,3093
假,2,1547
齊,4,3093
擾,2,1547
奢,2,1547
原,12,9279
闕,2,1547
狼,2,1547
醴,2,1547
飛,2,1547
逆,10,7733
微,4,3093
兢,6,4640
壬,14,10826
帥,2,1547
進,12,9279
外,4,3093
賊,2,1547
土,6,4640
崩,4,3093
蚩,2,1547
芝,2,1547
鉅,4,3093
聽,6,4640
楫,2,1547
璧,2,1547
孫,4,3093
慕,4,3093
薛,2,1547
生,12,9279
踧,2,1547
每,2,1547
威,4,3093
駕,14,10826
絜,4,3093
高,10,7733
贊,2,1547
酈,2,1547
蒲,2,1547
鰥,16,12372
蒼,16,12372
馮,6,4640
昔,12,9279
炟,2,1547
酳,2,1547
罪,32,24745
律,2,1547
牧,2,1547
魯,6,4640
河,22,17012
伊,2,1547
詩,6,4640
賦,6,4640
宇,2,1547
男,14,10826
捕,6,4640
節,16,12372
氏,8,6186
卿,18,13919
糜,2,1547
夏,30,23198
箴,2,1547
勸,2,1547
埶,2,1547
智,2,1547
察,6,4640
放,2,1547
督,2,1547
成,16,12372
護,6,4640
伐,2,1547
哀,8,6186
託,4,3093
許,2,1547
儀,4,3093
劉,2,1547
鄙,2,1547
破,12,9279
魴,8,6186
臨,14,10826
食,16,12372
羸,2,1547
官,28,21652
脩,2,1547
留,2,1547
英,12,9279
侖,2,1547
元,26,20105
營,6,4640
儻,2,1547
閏,2,1547
怨,6,4640
小,12,9279
念,2,1547
淮,16,12372
邊,12,9279
消,2,1547
斤,2,1547
郊,6,4640
管,2,1547
常,10,7733
吉,6,4640
前,18,13919
掾,4,3093
徒,34,26291
一,50,38664
鼎,10,7733
危,2,1547
矜,2,1547
俱,4,3093
勝,2,1547
岳,4,3093
