Character, Abs. Freq., Rel. Freq.
臣,6,20979
衛,2,6993
信,4,13986
君,10,34965
名,4,13986
驗,2,6993
言,12,41958
加,2,6993
神,4,13986
噫,2,6993
益,4,13986
單,2,6993
人,60,209790
聆,2,6993
自,2,6993
視,2,6993
聲,2,6993
問,26,90909
宜,2,6993
俟,2,6993
義,4,13986
來,2,6993
難,4,13986
楨,2,6993
簡,6,20979
營,2,6993
準,2,6993
申,2,6993
肆,6,20979
光,2,6993
小,14,48951
飽,2,6993
百,8,27972
數,2,6993
順,2,6993
陵,4,13986
晏,2,6993
範,2,6993
文,2,6993
秦,8,27972
角,2,6993
陽,2,6993
仕,2,6993
德,6,20979
父,2,6993
明,4,13986
病,4,13986
裕,2,6993
倉,2,6993
彰,2,6993
心,2,6993
草,4,13986
諸,8,27972
晷,4,13986
逆,2,6993
治,2,6993
強,10,34965
蕩,2,6993
為,14,48951
庸,4,13986
夷,2,6993
舜,2,6993
經,4,13986
昔,2,6993
鳥,4,13986
倫,2,6993
！,6,20979
擬,2,6993
欲,14,48951
殖,2,6993
筆,2,6993
溯,2,6993
沖,4,13986
武,2,6993
口,2,6993
木,4,13986
敵,2,6993
斯,2,6993
川,6,20979
蓋,2,6993
跡,4,13986
士,8,27972
觀,8,27972
生,4,13986
：,98,342657
支,6,20979
目,2,6993
處,2,6993
愈,4,13986
時,2,6993
千,2,6993
曼,2,6993
盡,2,6993
非,6,20979
矢,4,13986
鑒,2,6993
富,2,6993
請,2,6993
一,4,13986
化,2,6993
魯,8,27972
群,6,20979
道,20,69930
尼,8,27972
矩,2,6993
韓,2,6993
孫,2,6993
陳,2,6993
叔,2,6993
材,2,6993
規,2,6993
」,112,391608
石,2,6993
湯,2,6993
墨,2,6993
易,6,20979
聖,38,132867
末,2,6993
並,2,6993
行,8,27972
致,2,6993
教,4,13986
；,10,34965
鄒,2,6993
遠,2,6993
平,4,13986
正,2,6993
衍,2,6993
迂,2,6993
殫,2,6993
孔,8,27972
詘,12,41958
惡,2,6993
用,24,83916
無,16,55944
立,2,6993
虎,2,6993
廢,2,6993
往,2,6993
星,8,27972
祿,6,20979
習,2,6993
仲,8,27972
賤,2,6993
成,8,27972
赫,4,13986
愛,8,27972
莊,2,6993
南,2,6993
渾,4,13986
利,6,20979
禹,2,6993
類,2,6993
妄,2,6993
張,2,6993
月,2,6993
儀,2,6993
制,2,6993
玲,2,6993
吾,2,6993
重,4,13986
山,4,13986
舍,2,6993
通,4,13986
事,6,20979
坐,2,6993
諫,2,6993
謀,2,6993
大,14,48951
動,4,13986
性,2,6993
知,16,55944
聽,4,13986
倦,2,6993
離,6,20979
近,4,13986
質,2,6993
拘,2,6993
彤,2,6993
待,2,6993
公,4,13986
楊,2,6993
繼,6,20979
泉,2,6993
蔽,2,6993
清,2,6993
從,8,27972
貴,4,13986
征,2,6993
書,4,13986
關,2,6993
齊,4,13986
開,4,13986
終,2,6993
敗,2,6993
堯,2,6993
曷,2,6993
捐,2,6993
險,2,6993
丘,2,6993
侮,6,20979
弓,4,13986
及,2,6993
見,18,62937
日,14,48951
將,4,13986
前,2,6993
因,2,6993
幹,2,6993
慚,2,6993
恥,2,6993
敬,6,20979
賢,2,6993
羈,2,6993
果,2,6993
太,4,13986
弛,2,6993
玉,2,6993
異,2,6993
厭,4,13986
侯,4,13986
畏,6,20979
奚,2,6993
？,64,223776
己,4,13986
歲,4,13986
棄,2,6993
良,2,6993
失,4,13986
劣,2,6993
占,8,27972
賈,2,6993
檠,2,6993
望,4,13986
禮,10,34965
器,2,6993
「,112,391608
瓏,2,6993
地,12,41958
委,2,6993
盧,2,6993
防,2,6993
鈍,6,20979
身,6,20979
天,26,90909
夏,2,6993
靈,2,6993
推,2,6993
參,2,6993
克,2,6993
孰,4,13986
聞,4,13986
食,2,6993
多,4,13986
啖,2,6993
法,4,13986
西,2,6993
哺,2,6993
安,2,6993
廩,2,6993
它,2,6993
周,14,48951
載,4,13986
居,4,13986
甘,2,6993
魄,4,13986
世,12,41958
史,6,20979
邪,4,13986
繩,2,6993
儉,2,6993
東,2,6993
輕,4,13986
隆,4,13986
