Character, Abs. Freq., Rel. Freq.
詼,2,4909
蚩,2,4909
餓,4,9818
宗,2,4909
千,2,4909
被,4,9818
章,2,4909
人,36,88365
爰,2,4909
恭,2,4909
條,4,9818
稽,2,4909
元,6,14728
恬,2,4909
為,26,63819
？,86,211095
滅,2,4909
督,2,4909
獵,2,4909
沒,4,9818
辭,6,14728
賤,2,4909
夷,6,14728
石,2,4909
猶,4,9818
赧,2,4909
曷,2,4909
優,2,4909
欲,6,14728
屠,2,4909
術,2,4909
曹,4,9818
烏,2,4909
藺,2,4909
轅,2,4909
意,2,4909
疑,2,4909
軍,4,9818
諫,4,9818
任,4,9818
悼,2,4909
說,2,4909
狂,2,4909
信,4,9818
忌,2,4909
勃,6,14728
七,2,4909
直,2,4909
遊,2,4909
圖,2,4909
節,4,9818
嘗,2,4909
儀,8,19637
季,2,4909
語,2,4909
謨,2,4909
儒,2,4909
翦,4,9818
循,2,4909
惡,8,19637
蛛,2,4909
萬,2,4909
害,2,4909
公,8,19637
甪,2,4909
樂,2,4909
蔑,2,4909
無,6,14728
鳳,6,14728
解,2,4909
山,6,14728
誰,2,4909
綺,2,4909
《,2,4909
蓍,2,4909
蚊,2,4909
尤,2,4909
毀,2,4909
星,2,4909
穆,2,4909
言,22,54001
昌,2,4909
夏,4,9818
譽,2,4909
風,4,9818
近,12,29455
塹,2,4909
敬,2,4909
奈,2,4909
川,2,4909
陽,6,14728
朝,2,4909
世,14,34364
富,4,9818
軻,14,34364
稱,2,4909
皓,8,19637
洛,2,4909
天,2,4909
聽,8,19637
客,2,4909
上,2,4909
藻,2,4909
羊,4,9818
里,2,4909
師,6,14728
火,2,4909
葬,2,4909
徒,6,14728
樗,2,4909
蜀,2,4909
博,4,9818
接,4,9818
氏,2,4909
灌,2,4909
慶,2,4909
傾,2,4909
谷,6,14728
生,8,19637
洪,2,4909
盜,4,9818
勇,10,24546
王,8,19637
德,20,49092
流,4,9818
禹,4,9818
政,4,9818
華,2,4909
蕭,4,9818
功,2,4909
勝,2,4909
亂,4,9818
易,4,9818
鱗,2,4909
臨,2,4909
聞,16,39273
昔,8,19637
國,18,44183
吾,10,24546
屈,4,9818
比,2,4909
日,2,4909
奚,10,24546
妻,2,4909
一,2,4909
褐,2,4909
心,2,4909
稷,4,9818
古,6,14728
智,6,14728
賈,2,4909
魯,2,4909
翰,2,4909
分,2,4909
罿,2,4909
廷,2,4909
龍,2,4909
引,2,4909
禮,2,4909
制,4,9818
讀,2,4909
君,6,14728
抃,2,4909
難,2,4909
果,4,9818
歌,2,4909
力,12,29455
悟,2,4909
漆,2,4909
時,6,14728
白,2,4909
妄,4,9818
愀,2,4909
守,4,9818
問,40,98184
己,2,4909
面,2,4909
起,4,9818
談,8,19637
肅,2,4909
累,4,9818
帝,2,4909
陸,4,9818
義,16,39273
道,4,9818
丹,2,4909
亢,2,4909
社,4,9818
用,4,9818
蹈,2,4909
折,2,4909
滕,2,4909
行,24,58910
叔,2,4909
實,8,19637
誅,2,4909
卿,4,9818
介,4,9818
料,2,4909
自,4,9818
仲,18,44183
愚,2,4909
甚,2,4909
襄,2,4909
反,2,4909
訕,2,4909
隨,2,4909
玩,2,4909
刺,4,9818
表,2,4909
恥,4,9818
槧,2,4909
求,2,4909
貢,8,19637
執,4,9818
成,2,4909
穢,4,9818
忠,8,19637
達,2,4909
》,2,4909
飲,2,4909
多,2,4909
攀,2,4909
餘,6,14728
菑,2,4909
才,10,24546
賢,6,14728
連,2,4909
吏,6,14728
動,2,4909
劘,2,4909
容,4,9818
刃,2,4909
犯,2,4909
臯,2,4909
端,2,4909
測,2,4909
奉,4,9818
狼,6,14728
仁,10,24546
書,2,4909
畏,6,14728
名,12,29455
房,4,9818
學,2,4909
盛,2,4909
鼓,2,4909
重,2,4909
雋,2,4909
益,4,9818
附,2,4909
命,4,9818
見,12,29455
騫,6,14728
盎,2,4909
周,8,19637
滑,2,4909
絳,2,4909
尹,2,4909
跡,2,4909
方,6,14728
異,2,4909
依,2,4909
長,4,9818
高,8,19637
扛,2,4909
鄲,2,4909
鄒,2,4909
董,4,9818
壯,2,4909
詘,4,9818
蘇,2,4909
聖,8,19637
肉,2,4909
範,2,4909
錯,2,4909
曼,2,4909
虎,4,9818
韋,6,14728
入,2,4909
非,20,49092
請,10,24546
視,8,19637
俠,6,14728
佞,2,4909
潔,2,4909
貴,4,9818
西,6,14728
士,2,4909
箕,4,9818
孰,4,9818
明,2,4909
愁,2,4909
期,2,4909
靡,4,9818
固,4,9818
兆,2,4909
罹,2,4909
死,6,14728
角,2,4909
春,2,4909
牙,2,4909
詐,2,4909
慷,2,4909
歟,4,9818
秦,18,44183
純,4,9818
恐,2,4909
文,4,9818
祿,2,4909
嘉,2,4909
霍,2,4909
發,2,4909
陶,2,4909
鄙,2,4909
窬,4,9818
及,2,4909
遼,2,4909
姊,2,4909
荊,2,4909
戰,2,4909
龜,2,4909
酷,2,4909
裏,4,9818
雄,4,9818
貌,2,4909
東,8,19637
孔,2,4909
張,6,14728
絕,10,24546
孟,6,14728
賊,8,19637
侮,4,9818
規,2,4909
遺,2,4909
蝥,2,4909
翼,4,9818
奸,2,4909
賁,6,14728
輿,6,14728
伐,2,4909
離,4,9818
中,2,4909
鼎,2,4909
免,2,4909
年,2,4909
獲,2,4909
否,2,4909
蕩,4,9818
庶,2,4909
舒,4,9818
擔,2,4909
陳,2,4909
要,2,4909
燕,2,4909
陵,4,9818
京,4,9818
齒,2,4909
野,2,4909
貧,2,4909
邪,6,14728
顯,2,4909
武,4,9818
欸,2,4909
逢,6,14728
」,202,495827
：,148,363279
昭,2,4909
習,2,4909
知,4,9818
捋,2,4909
順,2,4909
水,4,9818
並,2,4909
終,2,4909
邇,2,4909
冠,2,4909
諧,4,9818
扶,2,4909
家,2,4909
橫,2,4909
血,6,14728
觀,2,4909
尚,2,4909
通,2,4909
汲,2,4909
鬼,2,4909
育,6,14728
斯,2,4909
身,6,14728
淵,4,9818
哲,2,4909
黯,2,4909
韓,2,4909
孝,2,4909
牛,2,4909
尸,2,4909
「,202,495827
鳴,2,4909
窮,4,9818
臣,8,19637
幾,2,4909
疾,2,4909
擊,2,4909
劣,2,4909
穿,4,9818
弘,4,9818
正,16,39273
彰,2,4909
隱,20,49092
孫,4,9818
殖,2,4909
原,6,14728
申,6,14728
婁,2,4909
厭,2,4909
平,10,24546
柳,2,4909
！,28,68729
靈,2,4909
貨,4,9818
似,8,19637
持,2,4909
堙,2,4909
各,2,4909
征,4,9818
遇,2,4909
侯,6,14728
縱,2,4909
美,2,4909
舜,2,4909
疏,2,4909
