Character, Abs. Freq., Rel. Freq.
利,6,15781
思,12,31562
捕,2,5260
成,8,21042
休,2,5260
契,2,5260
彩,2,5260
尚,4,10521
平,2,5260
物,64,168332
餌,2,5260
響,2,5260
到,2,5260
玄,2,5260
萬,22,57864
傲,2,5260
再,2,5260
尊,2,5260
方,4,10521
常,8,21042
舟,8,21042
揆,4,10521
：,58,152551
絕,2,5260
卜,2,5260
但,2,5260
感,2,5260
老,2,5260
固,2,5260
意,14,36823
苟,4,10521
欻,2,5260
智,4,10521
終,4,10521
車,4,10521
來,20,52604
齊,4,10521
愈,6,15781
畫,2,5260
今,6,15781
詛,2,5260
波,2,5260
行,6,15781
耳,2,5260
情,24,63125
譬,10,26302
賢,6,15781
逸,2,5260
吾,10,26302
氣,20,52604
識,44,115729
當,2,5260
木,4,10521
變,22,57864
造,4,10521
關,40,105208
日,16,42083
吉,2,5260
歉,2,5260
驚,2,5260
想,12,31562
狂,2,5260
徹,2,5260
流,6,15781
特,2,5260
制,12,31562
真,14,36823
云,2,5260
實,2,5260
妄,2,5260
勿,2,5260
陰,6,15781
千,4,10521
天,12,31562
執,10,26302
受,6,15781
見,18,47344
石,4,10521
目,8,21042
聰,2,5260
事,12,31562
憶,2,5260
放,2,5260
名,2,5260
心,102,268280
窮,2,5260
從,6,15781
自,2,5260
慮,2,5260
人,16,42083
攝,14,36823
昔,2,5260
馳,2,5260
小,2,5260
殊,4,10521
長,2,5260
及,2,5260
為,40,105208
古,2,5260
好,2,5260
密,2,5260
畜,2,5260
息,6,15781
瑞,2,5260
交,8,21042
卓,2,5260
時,6,15781
望,2,5260
器,2,5260
俄,12,31562
光,2,5260
結,2,5260
渾,4,10521
偽,8,21042
琢,2,5260
我,42,110468
帝,2,5260
周,2,5260
牛,2,5260
死,8,21042
胸,2,5260
精,8,21042
機,2,5260
散,4,10521
存,10,26302
畏,2,5260
奇,10,26302
役,16,42083
初,4,10521
犀,2,5260
往,8,21042
妙,6,15781
躬,4,10521
罔,2,5260
滿,2,5260
慄,2,5260
獨,4,10521
月,8,21042
私,2,5260
？,10,26302
繩,2,5260
借,6,15781
紛,4,10521
搏,2,5260
移,2,5260
解,6,15781
「,42,110468
」,40,105208
虛,12,31562
水,4,10521
沉,2,5260
具,2,5260
止,2,5260
浮,6,15781
孰,2,5260
盟,2,5260
異,4,10521
師,14,36823
鬼,22,57864
搖,2,5260
言,2,5260
運,6,15781
無,72,189374
聖,8,21042
各,2,5260
靜,6,15781
幽,4,10521
醜,2,5260
盈,2,5260
敗,4,10521
並,2,5260
記,2,5260
病,2,5260
象,2,5260
魏,2,5260
認,8,21042
會,2,5260
貫,2,5260
頃,2,5260
黍,2,5260
惡,2,5260
起,2,5260
覺,4,10521
信,4,10521
示,4,10521
身,16,42083
聞,2,5260
奡,2,5260
德,4,10521
藥,2,5260
入,2,5260
！,2,5260
使,10,26302
傷,6,15781
；,78,205155
說,6,15781
微,2,5260
井,2,5260
擊,2,5260
回,2,5260
非,34,89427
偶,4,10521
化,4,10521
久,2,5260
兩,6,15781
神,14,36823
土,6,15781
金,2,5260
善,10,26302
動,2,5260
愚,8,21042
地,10,26302
原,2,5260
一,32,84166
猶,10,26302
滅,4,10521
蔽,12,31562
覩,2,5260
角,4,10521
雕,2,5260
生,32,84166
晉,2,5260
年,4,10521
風,2,5260
宋,2,5260
凶,2,5260
惟,14,36823
害,6,15781
積,4,10521
本,4,10521
相,2,5260
稷,2,5260
視,2,5260
淫,2,5260
昏,2,5260
黃,2,5260
忽,4,10521
陽,4,10521
太,4,10521
夢,4,10521
寂,2,5260
厥,2,5260
果,2,5260
中,12,31562
靈,2,5260
國,2,5260
恃,2,5260
塵,2,5260
爾,14,36823
間,2,5260
羿,2,5260
摩,2,5260
忘,6,15781
際,2,5260
外,4,10521
夜,4,10521
怖,6,15781
尹,40,105208
知,36,94687
因,4,10521
禦,2,5260
暫,2,5260
理,2,5260
形,16,42083
性,6,15781
道,12,31562
游,4,10521
汝,2,5260
弓,4,10521
大,8,21042
明,4,10521
良,2,5260
蛇,6,15781
根,2,5260
遣,6,15781
憂,2,5260
男,2,5260
宛,2,5260
緣,2,5260
命,4,10521
況,6,15781
應,8,21042
斂,2,5260
底,2,5260
盜,2,5260
內,4,10521
女,2,5260
火,6,15781
玉,2,5260
