Character, Abs. Freq., Rel. Freq.
異,6,12685
忘,8,16913
俱,2,4228
倏,4,8457
狃,4,8457
生,72,152220
凝,2,4228
死,44,93023
移,2,4228
」,34,71882
冥,6,12685
華,2,4228
斯,2,4228
甲,2,4228
性,4,8457
主,8,16913
藏,8,16913
役,2,4228
超,10,21142
塊,2,4228
憑,2,4228
抱,2,4228
卑,2,4228
前,2,4228
合,22,46512
暗,2,4228
血,4,8457
氣,14,29598
藥,2,4228
形,6,12685
銷,2,4228
鈍,2,4228
遺,4,8457
聖,6,12685
天,32,67653
厲,2,4228
集,2,4228
厭,4,8457
造,6,12685
水,36,76110
蟲,2,4228
秋,2,4228
義,6,12685
舌,2,4228
上,4,8457
重,8,16913
？,12,25370
尹,34,71882
時,4,8457
亡,2,4228
妖,2,4228
賊,10,21142
庖,2,4228
聚,2,4228
因,20,42283
蔽,2,4228
明,8,16913
升,14,29598
言,6,12685
：,36,76110
聲,8,16913
陽,4,8457
止,2,4228
核,6,12685
膏,2,4228
見,28,59197
億,2,4228
殼,4,8457
偶,2,4228
起,2,4228
木,32,67653
精,72,152220
丸,6,12685
士,2,4228
清,8,16913
蝡,4,8457
幾,6,12685
坐,2,4228
蟬,2,4228
偽,2,4228
陰,4,8457
隨,4,8457
勤,4,8457
馬,2,4228
賢,2,4228
「,36,76110
鼓,10,21142
萌,4,8457
羹,4,8457
懼,2,4228
具,6,12685
星,10,21142
名,12,25370
呪,2,4228
寓,4,8457
目,8,16913
廢,2,4228
物,50,105708
愚,2,4228
運,4,8457
餘,8,16913
歲,2,4228
御,2,4228
人,56,118393
；,136,287526
舍,4,8457
孰,2,4228
智,8,16913
識,14,29598
攝,6,12685
外,6,12685
對,6,12685
吾,22,46512
地,32,67653
久,2,4228
世,2,4228
爾,6,12685
交,4,8457
愈,2,4228
熱,2,4228
犯,2,4228
終,2,4228
息,2,4228
間,4,8457
病,2,4228
愛,6,12685
居,2,4228
米,2,4228
燥,2,4228
動,6,12685
肝,4,8457
几,2,4228
參,2,4228
飛,2,4228
風,10,21142
滴,2,4228
互,2,4228
荒,2,4228
當,8,16913
輕,10,21142
奇,2,4228
欻,2,4228
假,6,12685
往,6,12685
鎔,4,8457
等,2,4228
云,4,8457
游,6,12685
蜣,4,8457
旱,2,4228
半,2,4228
意,18,38055
揚,2,4228
行,22,46512
鎖,2,4228
首,4,8457
道,6,12685
文,2,4228
即,2,4228
佐,10,21142
沉,10,21142
崇,2,4228
知,18,38055
聞,2,4228
溺,2,4228
心,14,29598
延,4,8457
南,2,4228
夭,2,4228
計,6,12685
鬼,10,21142
成,4,8457
夜,4,8457
一,30,63425
思,6,12685
非,8,16913
轉,4,8457
好,2,4228
齒,2,4228
貴,2,4228
渾,4,8457
馳,4,8457
火,40,84567
雌,4,8457
蟹,4,8457
口,2,4228
歸,2,4228
土,14,29598
神,76,160677
晝,4,8457
堅,2,4228
蓍,2,4228
多,4,8457
流,2,4228
相,6,12685
受,4,8457
母,8,16913
任,2,4228
信,4,8457
滅,4,8457
感,2,4228
俄,2,4228
窮,8,16913
八,2,4228
橫,4,8457
情,6,12685
賤,2,4228
尾,4,8457
雄,2,4228
盈,2,4228
乙,2,4228
差,2,4228
薪,2,4228
患,2,4228
別,8,16913
駕,2,4228
譬,14,29598
事,6,12685
尚,4,8457
環,2,4228
卵,4,8457
中,12,25370
晦,2,4228
禽,2,4228
強,2,4228
兆,4,8457
復,2,4228
大,10,21142
回,2,4228
燈,2,4228
牛,2,4228
根,4,8457
無,100,211416
潦,2,4228
獨,2,4228
類,2,4228
濁,6,12685
自,2,4228
羽,2,4228
吸,4,8457
色,2,4228
燔,2,4228
失,2,4228
入,2,4228
芽,4,8457
龜,2,4228
太,2,4228
北,2,4228
慮,2,4228
漱,2,4228
！,2,4228
苟,2,4228
習,4,8457
變,12,25370
赤,2,4228
金,34,71882
身,4,8457
我,64,135307
仁,6,12685
白,8,16913
降,4,8457
化,8,16913
觀,6,12685
菓,2,4228
照,2,4228
同,2,4228
勝,2,4228
幽,2,4228
猶,8,16913
散,4,8457
臥,2,4228
分,8,16913
弱,2,4228
全,2,4228
惟,18,38055
誠,4,8457
干,2,4228
毛,2,4228
極,2,4228
燒,4,8457
翼,2,4228
摩,2,4228
凋,2,4228
耳,4,8457
魂,72,152220
鼻,2,4228
父,8,16913
殊,4,8457
蓋,10,21142
扣,2,4228
析,10,21142
牙,2,4228
內,2,4228
作,6,12685
寒,2,4228
本,10,21142
鶩,2,4228
夏,4,8457
術,2,4228
立,2,4228
夢,8,16913
幸,2,4228
養,8,16913
奚,2,4228
待,2,4228
冬,4,8457
數,6,12685
魄,68,143763
嘗,6,12685
契,4,8457
為,100,211416
關,34,71882
靈,2,4228
蜋,2,4228
妙,4,8457
禮,8,16913
應,4,8457
株,2,4228
手,2,4228
桴,4,8457
從,4,8457
來,8,16913
接,2,4228
萬,28,59197
存,10,21142
春,2,4228
壽,2,4228
空,2,4228
黑,2,4228
