Character, Abs. Freq., Rel. Freq.
剋,2,2518
措,2,2518
肖,2,2518
深,4,5037
注,2,2518
服,4,5037
敵,6,7555
疑,2,2518
交,6,7555
備,6,7555
人,110,138504
專,2,2518
名,14,17628
輔,2,2518
比,4,5037
時,14,17628
伏,2,2518
：,40,50365
蝙,2,2518
相,12,15110
兄,6,7555
切,2,2518
赤,2,2518
益,6,7555
惠,2,2518
？,2,2518
達,8,10073
廢,8,10073
教,8,10073
駟,8,10073
境,6,7555
牧,2,2518
夏,4,5037
海,8,10073
威,12,15110
封,2,2518
囹,2,2518
濫,2,2518
輿,8,10073
缺,2,2518
通,4,5037
除,10,12591
虎,2,2518
魚,2,2518
士,10,12591
堂,2,2518
犯,2,2518
妻,2,2518
伐,2,2518
唱,2,2518
存,10,12591
鄉,4,5037
后,4,5037
愛,2,2518
禮,10,12591
右,2,2518
施,8,10073
揭,2,2518
恐,4,5037
源,2,2518
逐,2,2518
鑿,2,2518
善,18,22664
炎,2,2518
拘,2,2518
趨,4,5037
勝,10,12591
申,6,7555
夷,2,2518
獨,4,5037
完,2,2518
問,2,2518
一,26,32737
焚,2,2518
棄,4,5037
臣,18,22664
譽,8,10073
佚,2,2518
方,10,12591
智,12,15110
刑,8,10073
務,2,2518
姦,8,10073
入,2,2518
尊,4,5037
遂,2,2518
飢,4,5037
禍,2,2518
豺,2,2518
說,2,2518
加,2,2518
逆,6,7555
況,2,2518
賢,12,15110
利,16,20146
勃,2,2518
婦,2,2518
闔,2,2518
便,4,5037
治,38,47847
撓,2,2518
米,2,2518
縣,6,7555
錯,2,2518
每,2,2518
織,6,7555
明,22,27701
非,38,47847
琴,2,2518
扶,2,2518
擅,2,2518
準,6,7555
德,22,27701
絕,2,2518
歸,8,10073
因,8,10073
勢,12,15110
暴,10,12591
博,2,2518
曲,4,5037
上,38,47847
附,4,5037
金,2,2518
頊,2,2518
累,2,2518
異,2,2518
言,24,30219
轡,2,2518
餘,8,10073
觀,16,20146
百,6,7555
將,6,7555
漬,2,2518
帝,6,7555
發,8,10073
欲,18,22664
日,10,12591
計,4,5037
肆,4,5037
饒,2,2518
狼,2,2518
！,4,5037
立,22,27701
處,4,5037
生,18,22664
趣,2,2518
大,34,42810
寶,6,7555
貊,2,2518
雨,2,2518
失,6,7555
篇,2,2518
詆,2,2518
邪,10,12591
歲,2,2518
氏,4,5037
受,6,7555
中,16,20146
關,2,2518
舉,14,17628
翼,2,2518
分,6,7555
穢,2,2518
獺,2,2518
危,4,5037
愚,4,5037
白,4,5037
恩,2,2518
伎,2,2518
授,2,2518
羞,2,2518
滿,2,2518
變,14,17628
朝,2,2518
月,6,7555
壯,2,2518
歷,2,2518
還,2,2518
丁,2,2518
高,4,5037
周,8,10073
權,4,5037
火,2,2518
天,68,85621
憎,2,2518
耕,6,7555
祿,2,2518
助,2,2518
濁,2,2518
忘,4,5037
應,8,10073
折,2,2518
期,2,2518
首,2,2518
圍,2,2518
械,4,5037
刻,2,2518
黃,2,2518
束,4,5037
急,6,7555
直,8,10073
鬼,4,5037
刃,6,7555
琢,2,2518
鈞,2,2518
防,2,2518
功,20,25183
裕,2,2518
良,4,5037
皇,2,2518
誠,4,5037
割,2,2518
合,10,12591
鏤,2,2518
險,2,2518
義,56,70511
齊,4,5037
誅,8,10073
循,8,10073
來,6,7555
擾,2,2518
軍,2,2518
聰,2,2518
殘,4,5037
虛,2,2518
血,4,5037
父,10,12591
反,8,10073
地,14,17628
罰,8,10073
寸,6,7555
盟,2,2518
全,2,2518
喜,4,5037
經,2,2518
止,8,10073
論,12,15110
心,12,15110
寡,4,5037
刎,2,2518
垢,2,2518
使,14,17628
仁,18,22664
矢,4,5037
舍,2,2518
土,4,5037
當,12,15110
執,2,2518
強,16,20146
儲,2,2518
貨,6,7555
任,10,12591
才,2,2518
進,4,5037
量,2,2518
聞,8,10073
雕,2,2518
擒,2,2518
持,6,7555
閭,2,2518
詭,2,2518
鬥,2,2518
易,6,7555
圄,2,2518
老,32,40292
亂,26,32737
要,6,7555
廣,12,15110
狄,2,2518
逮,2,2518
術,6,7555
野,2,2518
辱,4,5037
巨,2,2518
元,6,7555
隘,2,2518
奇,4,5037
奪,2,2518
工,6,7555
釋,4,5037
煩,4,5037
勇,6,7555
瑕,2,2518
諸,6,7555
求,14,17628
患,4,5037
俗,14,17628
御,6,7555
賤,6,7555
視,14,17628
病,2,2518
侮,2,2518
畏,2,2518
據,2,2518
里,10,12591
畜,4,5037
戰,6,7555
基,6,7555
式,2,2518
賊,6,7555
掘,2,2518
開,4,5037
省,2,2518
清,4,5037
群,4,5037
「,2,2518
年,2,2518
襲,2,2518
指,2,2518
脩,6,7555
貪,6,7555
間,6,7555
離,2,2518
業,4,5037
千,6,7555
貧,2,2518
死,18,22664
及,4,5037
挾,2,2518
恃,2,2518
恤,2,2518
侯,4,5037
萬,6,7555
傷,2,2518
容,4,5037
並,6,7555
器,10,12591
策,4,5037
秀,2,2518
更,2,2518
無,68,85621
讎,2,2518
振,4,5037
革,4,5037
平,8,10073
戮,2,2518
璜,2,2518
小,28,35256
勿,4,5037
車,6,7555
近,2,2518
蝕,2,2518
罪,8,10073
爭,8,10073
知,14,17628
苟,4,5037
賂,2,2518
水,2,2518
根,4,5037
樹,2,2518
道,82,103249
帥,2,2518
害,14,17628
終,6,7555
殊,2,2518
短,4,5037
置,4,5037
臨,6,7555
屈,6,7555
履,2,2518
響,2,2518
懷,4,5037
守,12,15110
衣,6,7555
選,2,2518
起,4,5037
簡,2,2518
兩,4,5037
習,4,5037
己,6,7555
改,2,2518
面,2,2518
職,6,7555
位,2,2518
昔,2,2518
世,12,15110
樸,2,2518
富,4,5037
族,2,2518
虐,2,2518
極,2,2518
滅,4,5037
民,54,67993
正,10,12591
握,2,2518
姓,4,5037
示,2,2518
意,6,7555
檢,2,2518
郊,2,2518
長,6,7555
固,2,2518
聚,6,7555
輕,10,12591
決,6,7555
國,20,25183
枉,6,7555
銜,2,2518
今,14,17628
令,26,32737
詳,2,2518
墓,2,2518
劌,2,2518
圖,6,7555
同,6,7555
謀,4,5037
疵,2,2518
誦,2,2518
顯,2,2518
籍,2,2518
膺,2,2518
谷,2,2518
樂,6,7555
多,10,12591
物,4,5037
積,4,5037
勸,4,5037
息,2,2518
撗,2,2518
總,2,2518
木,6,7555
動,10,12591
情,4,5037
遠,8,10073
廟,2,2518
傅,2,2518
左,2,2518
重,20,25183
親,8,10073
少,2,2518
塞,8,10073
審,2,2518
珠,2,2518
形,2,2518
修,2,2518
叨,2,2518
衰,2,2518
賞,18,22664
輯,4,5037
從,14,17628
財,4,5037
獸,2,2518
獄,2,2518
略,8,10073
光,2,2518
理,6,7555
兵,26,32737
法,52,65475
緩,2,2518
忍,2,2518
聽,16,20146
寤,2,2518
騷,2,2518
訊,2,2518
稱,4,5037
弱,4,5037
弟,6,7555
信,4,5037
怨,2,2518
叛,4,5037
墳,2,2518
官,2,2518
公,4,5037
覆,2,2518
驗,2,2518
敢,2,2518
用,20,25183
度,18,22664
猶,14,17628
古,14,17628
崇,2,2518
家,6,7555
見,6,7555
奔,2,2518
訾,4,5037
主,16,20146
手,6,7555
巧,2,2518
飾,2,2518
王,10,12591
適,10,12591
淫,2,2518
殷,2,2518
退,2,2518
棟,4,5037
食,2,2518
禽,2,2518
神,6,7555
馬,10,12591
禁,16,20146
喉,2,2518
書,2,2518
貴,18,22664
妨,2,2518
尺,4,5037
導,4,5037
性,2,2518
倫,2,2518
具,2,2518
員,2,2518
武,6,7555
毀,2,2518
丈,2,2518
力,10,12591
偽,4,5037
費,4,5037
榦,2,2518
內,14,17628
成,16,20146
節,8,10073
文,10,12591
石,4,5037
約,8,10073
誓,2,2518
厚,6,7555
胸,2,2518
稽,2,2518
流,8,10073
末,16,20146
張,2,2518
飽,2,2518
亡,12,15110
蠻,2,2518
安,8,10073
慮,4,5037
事,40,50365
屋,2,2518
凶,2,2518
寒,2,2518
勞,4,5037
殺,6,7555
城,2,2518
養,6,7555
謹,4,5037
斷,2,2518
惑,2,2518
盡,6,7555
久,2,2518
化,4,5037
為,102,128431
寧,4,5037
妄,4,5037
衝,2,2518
疏,2,2518
顓,2,2518
討,2,2518
洿,2,2518
志,4,5037
繩,14,17628
均,2,2518
