Character, Abs. Freq., Rel. Freq.
慚,2,2091
白,4,4181
政,4,4181
蘧,6,6272
為,116,121263
河,6,6272
春,4,4181
稷,4,4181
幽,2,2091
幸,2,2091
七,2,2091
慕,4,4181
璧,4,4181
鯢,2,2091
細,4,4181
武,10,10454
中,24,25089
：,188,196529
亡,30,31361
汝,2,2091
徵,4,4181
怒,4,4181
百,18,18817
坐,4,4181
陰,2,2091
廩,4,4181
賊,2,2091
月,4,4181
毳,4,4181
喜,6,6272
沈,4,4181
願,6,6272
肆,2,2091
位,8,8363
薨,2,2091
寡,14,14635
斯,2,2091
賦,4,4181
公,66,68994
臣,94,98265
遠,2,2091
紂,4,4181
諂,4,4181
邪,2,2091
毛,2,2091
肖,8,8363
諸,10,10454
思,2,2091
門,6,6272
姒,4,4181
默,4,4181
吾,56,58541
時,4,4181
族,4,4181
背,4,4181
「,186,194439
內,4,4181
罪,16,16726
皮,4,4181
悟,10,10454
沒,2,2091
法,2,2091
告,6,6272
祀,2,2091
劍,2,2091
越,2,2091
食,8,8363
屬,8,8363
馬,8,8363
空,2,2091
賞,2,2091
來,6,6272
畜,4,4181
疾,2,2091
瞍,6,6272
商,2,2091
魯,10,10454
反,12,12544
增,2,2091
郊,2,2091
墮,2,2091
具,2,2091
產,6,6272
威,2,2091
妲,2,2091
玩,2,2091
勝,2,2091
書,4,4181
遊,2,2091
慎,8,8363
飾,2,2091
畢,2,2091
翮,4,4181
篐,2,2091
山,10,10454
狐,6,6272
戎,2,2091
江,4,4181
強,4,4181
旅,2,2091
遂,10,10454
和,14,14635
衰,2,2091
盡,2,2091
漢,2,2091
蹴,2,2091
逐,8,8363
記,2,2091
讎,8,8363
雜,2,2091
軍,2,2091
弔,2,2091
常,6,6272
巾,2,2091
桀,2,2091
曠,8,8363
風,2,2091
眹,2,2091
闕,4,4181
府,2,2091
陵,4,4181
枹,2,2091
仁,14,14635
靈,12,12544
號,2,2091
生,12,12544
當,10,10454
齋,2,2091
危,4,4181
偏,4,4181
諾,2,2091
蹈,2,2091
司,12,12544
寶,16,16726
稼,2,2091
行,28,29270
愈,2,2091
類,2,2091
驕,2,2091
才,4,4181
姬,28,29270
賈,4,4181
說,2,2091
浚,2,2091
檻,2,2091
井,2,2091
蘇,4,4181
酣,4,4181
宋,4,4181
淫,4,4181
返,2,2091
畋,2,2091
小,2,2091
飽,2,2091
率,2,2091
遺,4,4181
見,16,16726
崑,2,2091
益,4,4181
俗,2,2091
發,6,6272
提,2,2091
敗,4,4181
比,2,2091
麟,2,2091
首,2,2091
義,10,10454
犯,2,2091
名,2,2091
悼,2,2091
石,2,2091
冥,4,4181
神,8,8363
刻,4,4181
犧,2,2091
士,18,18817
搜,2,2091
地,8,8363
莘,2,2091
蕩,4,4181
鄢,2,2091
恃,2,2091
察,2,2091
辯,4,4181
遣,4,4181
主,16,16726
頭,4,4181
》,6,6272
聚,2,2091
州,2,2091
湯,4,4181
敖,10,10454
申,18,18817
陽,4,4181
德,8,8363
精,2,2091
戟,4,4181
棄,2,2091
諤,12,12544
黃,10,10454
碣,2,2091
國,62,64813
文,16,16726
賢,26,27180
城,2,2091
示,2,2091
性,8,8363
櫛,2,2091
聞,26,27180
治,8,8363
服,6,6272
命,4,4181
振,4,4181
方,4,4181
伐,10,10454
叔,8,8363
醉,2,2091
擇,4,4181
重,2,2091
窈,2,2091
安,12,12544
翔,2,2091
社,4,4181
云,2,2091
禹,2,2091
海,4,4181
弟,8,8363
侈,2,2091
圖,2,2091
朝,22,22998
寤,4,4181
老,2,2091
寬,2,2091
蓋,2,2091
父,6,6272
里,8,8363
珪,2,2091
高,14,14635
就,2,2091
邊,2,2091
霆,2,2091
專,2,2091
尹,26,27180
改,2,2091
夷,2,2091
嚚,2,2091
均,2,2091
報,2,2091
處,14,14635
尺,2,2091
吏,2,2091
旦,2,2091
天,30,31361
堂,8,8363
鳴,2,2091
奇,2,2091
逡,2,2091
恐,4,4181
郢,2,2091
布,2,2091
齊,8,8363
仲,2,2091
實,4,4181
觀,14,14635
效,2,2091
鰌,2,2091
把,2,2091
尉,2,2091
蛇,6,6272
牧,2,2091
趙,8,8363
私,2,2091
良,4,4181
動,2,2091
任,8,8363
詩,6,6272
召,12,12544
我,16,16726
虛,2,2091
外,4,4181
議,4,4181
年,6,6272
鬐,2,2091
悅,6,6272
傲,2,2091
誰,2,2091
范,16,16726
？,94,98265
一,24,25089
宿,2,2091
智,8,8363
寅,2,2091
瑰,2,2091
租,4,4181
賂,2,2091
褒,4,4181
恭,2,2091
難,4,4181
引,2,2091
窳,2,2091
習,2,2091
睢,2,2091
令,28,29270
奢,2,2091
勇,4,4181
崙,2,2091
歡,4,4181
亂,4,4181
失,6,6272
吳,4,4181
虎,10,10454
夜,2,2091
霸,6,6272
稱,4,4181
哀,2,2091
君,112,117081
庶,2,2091
本,2,2091
舒,2,2091
苛,2,2091
意,2,2091
火,2,2091
樂,16,16726
絕,6,6272
倉,2,2091
相,8,8363
舜,10,10454
超,2,2091
害,2,2091
羊,8,8363
曾,2,2091
似,2,2091
顧,2,2091
漁,8,8363
飛,4,4181
共,6,6272
甚,10,10454
撫,2,2091
昭,32,33452
他,2,2091
客,16,16726
末,2,2091
平,16,16726
雲,2,2091
採,2,2091
耶,12,12544
景,6,6272
奚,28,29270
牛,4,4181
執,2,2091
革,6,6272
屍,2,2091
玉,12,12544
市,8,8363
致,2,2091
困,2,2091
耳,4,4181
上,22,22998
識,4,4181
墨,42,43905
虞,8,8363
腋,2,2091
家,2,2091
筆,2,2091
陋,2,2091
厭,2,2091
車,18,18817
移,2,2091
座,4,4181
譽,4,4181
裂,2,2091
巫,14,14635
懼,2,2091
事,8,8363
袒,2,2091
交,4,4181
操,2,2091
徙,10,10454
化,4,4181
患,6,6272
讓,2,2091
興,6,6272
費,2,2091
舉,10,10454
禮,8,8363
殺,8,8363
嗣,4,4181
同,2,2091
船,2,2091
謹,2,2091
衛,10,10454
沖,2,2091
郈,2,2091
酌,4,4181
詛,8,8363
餘,4,4181
澤,8,8363
獻,2,2091
尼,2,2091
試,4,4181
敬,4,4181
舟,2,2091
少,2,2091
封,6,6272
史,10,10454
掩,2,2091
長,4,4181
戚,6,6272
太,18,18817
葉,4,4181
雪,2,2091
鄰,4,4181
開,2,2091
伯,12,12544
孟,4,4181
姦,4,4181
忠,18,18817
鯨,6,6272
姓,8,8363
光,2,2091
積,2,2091
廢,4,4181
暮,6,6272
夏,16,16726
傷,2,2091
瞽,6,6272
妾,4,4181
忿,2,2091
千,8,8363
畔,2,2091
譬,2,2091
固,6,6272
辭,4,4181
象,4,4181
侮,14,14635
潰,4,4181
更,2,2091
望,4,4181
阯,2,2091
立,8,8363
問,34,35543
界,2,2091
喪,6,6272
非,22,22998
墟,2,2091
嗟,2,2091
近,6,6272
避,2,2091
』,6,6272
耕,6,6272
恤,16,16726
旁,2,2091
擊,2,2091
幾,6,6272
晏,14,14635
乘,4,4181
兵,12,12544
隨,6,6272
彌,10,10454
侯,24,25089
丘,6,6272
歎,2,2091
薄,6,6272
訴,2,2091
知,22,22998
穆,2,2091
衝,2,2091
分,4,4181
閒,2,2091
牘,2,2091
親,4,4181
昔,12,12544
置,4,4181
曲,2,2091
孝,14,14635
飲,10,10454
病,2,2091
壇,8,8363
舞,8,8363
稽,2,2091
負,2,2091
夕,2,2091
詐,2,2091
北,8,8363
勸,2,2091
母,12,12544
善,18,18817
《,6,6272
畏,2,2091
己,4,4181
薇,2,2091
笑,2,2091
莞,4,4181
敢,2,2091
王,72,75267
尸,6,6272
擔,4,4181
佯,2,2091
兩,6,6272
居,8,8363
宗,4,4181
腸,2,2091
間,2,2091
用,10,10454
覆,2,2091
牲,2,2091
佚,2,2091
自,18,18817
南,6,6272
物,2,2091
女,4,4181
字,2,2091
敵,2,2091
好,10,10454
埋,4,4181
鳳,8,8363
財,2,2091
嚮,2,2091
濱,4,4181
加,2,2091
翱,2,2091
通,4,4181
謀,18,18817
復,2,2091
道,14,14635
魚,10,10454
酒,6,6272
西,16,16726
歲,2,2091
愚,2,2091
瑕,6,6272
田,4,4181
戰,2,2091
聽,2,2091
蠻,2,2091
樊,12,12544
色,10,10454
師,26,27180
起,10,10454
簡,26,27180
刃,2,2091
臨,2,2091
趨,4,4181
富,2,2091
將,30,31361
憂,16,16726
日,14,14635
釆,2,2091
歛,6,6272
諫,10,10454
揖,2,2091
口,2,2091
陶,6,6272
賜,2,2091
翟,8,8363
嗜,2,2091
討,2,2091
供,2,2091
流,4,4181
功,2,2091
進,22,22998
頑,2,2091
友,6,6272
無,24,25089
鵠,2,2091
獨,10,10454
；,30,31361
對,44,45996
力,2,2091
鬥,4,4181
明,12,12544
目,2,2091
及,10,10454
怨,2,2091
養,2,2091
秋,2,2091
鬻,4,4181
整,2,2091
乏,2,2091
祁,12,12544
穀,2,2091
周,18,18817
計,2,2091
面,12,12544
葬,2,2091
待,2,2091
愛,8,8363
仰,2,2091
請,8,8363
逃,2,2091
妻,6,6272
庫,2,2091
欺,8,8363
關,2,2091
雷,6,6272
豈,6,6272
孫,4,4181
奈,4,4181
卿,6,6272
懷,2,2091
除,2,2091
爵,2,2091
苦,2,2091
嘗,4,4181
民,28,29270
尚,2,2091
貴,4,4181
福,2,2091
鳥,8,8363
器,10,10454
悁,2,2091
觶,2,2091
祝,14,14635
鼓,2,2091
昆,2,2091
成,10,10454
兒,4,4181
昌,2,2091
東,4,4181
收,4,4181
歌,6,6272
今,22,22998
巡,2,2091
容,8,8363
折,2,2091
秦,14,14635
襄,4,4181
退,10,10454
人,82,85720
群,22,22998
前,2,2091
厚,10,10454
篤,4,4181
阪,4,4181
塞,2,2091
角,2,2091
奉,2,2091
昏,4,4181
侵,10,10454
疆,2,2091
謝,2,2091
信,2,2091
肥,2,2091
欲,30,31361
推,10,10454
濟,4,4181
萬,6,6272
攝,2,2091
珠,6,6272
午,2,2091
怅,6,6272
舍,12,12544
詣,2,2091
會,14,14635
暴,2,2091
『,6,6272
孔,8,8363
躬,2,2091
歷,4,4181
塗,4,4181
罷,6,6272
易,2,2091
回,2,2091
冤,2,2091
嬖,2,2091
仇,2,2091
