Character, Abs. Freq., Rel. Freq.
莒,4,2678
斯,2,1339
距,4,2678
趨,4,2678
傲,8,5355
列,2,1339
季,6,4017
安,28,18744
一,36,24100
敗,10,6694
器,6,4017
室,6,4017
起,2,1339
政,14,9372
治,6,4017
忠,12,8033
讒,6,4017
陽,2,1339
勝,14,9372
喻,2,1339
惞,4,2678
壯,2,1339
臀,2,1339
晏,2,1339
賊,8,5355
駕,6,4017
困,4,2678
府,2,1339
地,22,14728
尚,6,4017
退,4,2678
盜,4,2678
送,8,5355
社,8,5355
外,10,6694
孟,6,4017
祀,2,1339
利,4,2678
公,152,101754
呼,8,5355
仕,2,1339
失,20,13389
隸,4,2678
祿,8,5355
獨,8,5355
周,8,5355
罟,2,1339
春,6,4017
相,24,16066
赦,6,4017
樹,2,1339
盡,12,8033
戰,8,5355
涉,2,1339
灸,4,2678
師,12,8033
牛,6,4017
晉,12,8033
叛,2,1339
害,8,5355
易,8,5355
校,2,1339
雕,2,1339
休,2,1339
身,12,8033
奪,6,4017
即,6,4017
釜,2,1339
戚,6,4017
疾,4,2678
靈,4,2678
支,2,1339
州,2,1339
韓,4,2678
黨,4,2678
輟,2,1339
右,16,10711
驟,2,1339
昔,14,9372
實,8,5355
荊,18,12050
來,12,8033
兵,26,17405
共,12,8033
檻,6,4017
舍,4,2678
率,6,4017
厲,4,2678
妻,2,1339
性,2,1339
向,4,2678
閭,16,10711
罔,2,1339
衛,16,10711
苟,6,4017
璞,10,6694
宣,10,6694
顛,4,2678
旦,6,4017
復,12,8033
孝,4,2678
禽,2,1339
記,2,1339
貞,2,1339
務,2,1339
強,2,1339
躐,2,1339
終,6,4017
驥,2,1339
階,2,1339
仇,2,1339
媒,4,2678
饑,4,2678
稷,10,6694
降,2,1339
慢,6,4017
職,2,1339
計,12,8033
爰,2,1339
舞,2,1339
文,48,32133
隆,4,2678
伍,2,1339
生,22,14728
橐,2,1339
度,2,1339
俊,2,1339
爵,6,4017
遇,2,1339
家,12,8033
救,2,1339
遙,4,2678
功,6,4017
循,2,1339
叔,10,6694
俎,2,1339
凍,2,1339
貴,16,10711
章,2,1339
蛛,2,1339
墮,6,4017
闉,2,1339
山,6,4017
手,2,1339
枯,2,1339
奔,6,4017
種,2,1339
談,2,1339
載,6,4017
交,8,5355
懷,2,1339
因,16,10711
帳,2,1339
屈,2,1339
膚,2,1339
錐,2,1339
兔,4,2678
容,4,2678
讎,4,2678
粟,2,1339
賜,4,2678
保,4,2678
託,4,2678
勾,2,1339
掉,2,1339
冒,2,1339
編,2,1339
佯,2,1339
骨,6,4017
高,16,10711
通,14,9372
悅,6,4017
對,36,24100
畏,6,4017
陳,4,2678
范,2,1339
赴,2,1339
充,6,4017
聖,10,6694
鉤,4,2678
致,8,5355
搏,2,1339
遜,4,2678
解,2,1339
寫,6,4017
逝,2,1339
體,4,2678
伏,2,1339
空,2,1339
蔭,2,1339
全,6,4017
嗷,2,1339
問,28,18744
珠,2,1339
讓,2,1339
教,6,4017
賤,2,1339
猶,24,16066
半,4,2678
執,10,6694
誅,2,1339
早,2,1339
灌,4,2678
疑,4,2678
閔,22,14728
老,24,16066
古,6,4017
咸,2,1339
還,2,1339
卞,2,1339
趙,6,4017
憂,4,2678
損,4,2678
襜,2,1339
患,4,2678
量,6,4017
和,12,8033
司,4,2678
嫌,2,1339
修,2,1339
隨,2,1339
雨,2,1339
耳,16,10711
閻,4,2678
詐,6,4017
奉,2,1339
辟,4,2678
愛,2,1339
跗,2,1339
超,6,4017
寸,2,1339
雷,2,1339
汝,6,4017
蹟,2,1339
係,2,1339
璧,4,2678
悔,4,2678
側,2,1339
披,2,1339
客,4,2678
望,8,5355
疲,4,2678
歌,6,4017
決,4,2678
為,94,62927
敢,18,12050
頊,6,4017
宦,4,2678
樂,14,9372
麗,2,1339
狀,2,1339
異,6,4017
秋,6,4017
爾,2,1339
聘,2,1339
布,8,5355
ｉ,2,1339
驕,10,6694
農,2,1339
臂,2,1339
叫,2,1339
鍾,2,1339
白,16,10711
入,8,5355
擅,2,1339
宮,6,4017
似,8,5355
宰,4,2678
告,4,2678
久,8,5355
小,22,14728
組,2,1339
梁,2,1339
鶴,2,1339
就,2,1339
《,30,20083
尾,2,1339
晚,8,5355
音,4,2678
侯,18,12050
險,2,1339
序,2,1339
分,6,4017
尼,4,2678
懼,6,4017
方,8,5355
镍,4,2678
賃,4,2678
闇,2,1339
反,6,4017
謳,2,1339
攻,10,6694
擊,4,2678
縱,6,4017
聾,2,1339
廣,4,2678
令,8,5355
死,32,21422
策,2,1339
蒙,2,1339
親,6,4017
耶,4,2678
姦,6,4017
陣,2,1339
顓,6,4017
牖,2,1339
守,4,2678
咫,2,1339
況,10,6694
峻,2,1339
勇,2,1339
豫,6,4017
裁,2,1339
吾,52,34811
靖,12,8033
冬,2,1339
走,18,12050
良,4,2678
愆,4,2678
物,2,1339
各,2,1339
』,22,14728
暇,2,1339
堂,4,2678
丘,10,6694
隱,2,1339
剖,2,1339
持,2,1339
潰,2,1339
驂,4,2678
日,42,28116
唐,2,1339
車,10,6694
萬,10,6694
獸,4,2678
疏,2,1339
飯,2,1339
請,6,4017
貌,2,1339
竭,2,1339
喟,4,2678
靡,2,1339
凶,2,1339
門,6,4017
太,12,8033
罷,2,1339
邪,14,9372
牡,4,2678
馬,30,20083
豹,2,1339
說,8,5355
南,4,2678
殷,2,1339
志,2,1339
臾,2,1339
臺,6,4017
七,10,6694
捧,2,1339
秦,16,10711
定,22,14728
趼,2,1339
曷,4,2678
飲,2,1339
願,4,2678
眯,2,1339
鳥,8,5355
辛,2,1339
玉,34,22761
道,12,8033
繼,4,2678
析,4,2678
踵,2,1339
孫,20,13389
友,8,5355
盲,2,1339
成,8,5355
戴,2,1339
索,2,1339
帝,16,10711
宅,2,1339
御,20,13389
饗,2,1339
孔,22,14728
無,70,46860
忍,4,2678
被,2,1339
銼,2,1339
窮,18,12050
逐,8,5355
任,14,9372
燕,14,9372
蓋,6,4017
徒,6,4017
菽,2,1339
淵,14,9372
甚,18,12050
諛,2,1339
觀,12,8033
軾,8,5355
廈,2,1339
讙,2,1339
虐,4,2678
口,2,1339
求,4,2678
黃,8,5355
寶,16,10711
驊,2,1339
威,2,1339
固,10,6694
桂,4,2678
名,16,10711
止,6,4017
段,18,12050
吟,2,1339
授,2,1339
狼,2,1339
松,2,1339
拖,2,1339
卿,10,6694
惑,4,2678
富,8,5355
敬,4,2678
木,18,12050
項,6,4017
虛,2,1339
糾,10,6694
舉,14,9372
應,8,5355
貍,4,2678
進,20,13389
案,2,1339
委,2,1339
間,4,2678
齊,36,24100
見,80,53555
知,36,24100
等,2,1339
干,20,13389
廬,2,1339
庸,10,6694
德,8,5355
朝,14,9372
愧,2,1339
呂,2,1339
㕙,4,2678
賞,4,2678
佞,2,1339
謀,4,2678
及,16,10711
裘,2,1339
『,22,14728
狗,2,1339
數,20,13389
諸,14,9372
寢,2,1339
月,4,2678
刳,2,1339
軍,2,1339
趄,2,1339
立,12,8033
》,30,20083
喑,2,1339
角,4,2678
語,4,2678
帷,2,1339
官,6,4017
兩,4,2678
