Character, Abs. Freq., Rel. Freq.
榮,4,53191
高,2,26596
舍,2,26596
雜,2,26596
心,4,53191
繭,4,53191
視,6,79787
陟,2,26596
：,4,53191
久,2,26596
無,8,106383
明,2,26596
為,2,26596
父,2,26596
命,2,26596
易,2,26596
愚,2,26596
黛,2,26596
夔,2,26596
材,4,53191
忘,2,26596
患,2,26596
聞,4,53191
難,2,26596
相,2,26596
王,2,26596
孰,2,26596
坐,2,26596
遠,2,26596
悇,2,26596
息,2,26596
步,2,26596
說,2,26596
耳,4,53191
試,2,26596
冒,2,26596
虻,2,26596
達,6,79787
問,4,53191
僶,2,26596
楚,2,26596
目,2,26596
大,6,79787
川,2,26596
生,2,26596
行,4,53191
移,2,26596
實,2,26596
學,4,53191
昔,2,26596
曾,2,26596
鄰,2,26596
恐,2,26596
慈,2,26596
時,2,26596
對,2,26596
聖,4,53191
名,2,26596
降,2,26596
！,2,26596
山,2,26596
志,4,53191
己,2,26596
儃,2,26596
態,2,26596
加,2,26596
應,2,26596
重,6,79787
睨,2,26596
佚,2,26596
榆,2,26596
嘗,2,26596
飢,2,26596
容,6,79787
？,6,79787
教,2,26596
后,2,26596
君,2,26596
日,2,26596
連,2,26596
進,2,26596
景,2,26596
立,4,53191
餘,2,26596
地,2,26596
南,2,26596
省,2,26596
跦,4,53191
載,2,26596
避,4,53191
醜,2,26596
俛,2,26596
口,2,26596
我,8,106383
千,4,53191
佳,2,26596
予,2,26596
憛,2,26596
鋏,2,26596
遇,2,26596
僈,2,26596
美,2,26596
牢,2,26596
虱,2,26596
啟,2,26596
蒙,4,53191
傅,2,26596
親,2,26596
黑,2,26596
掩,4,53191
獨,4,53191
一,4,53191
里,4,53191
席,2,26596
白,2,26596
門,2,26596
棘,2,26596
賢,4,53191
語,2,26596
見,2,26596
蛇,2,26596
人,8,106383
西,2,26596
天,6,79787
佻,2,26596
」,2,26596
潔,2,26596
談,2,26596
今,4,53191
施,2,26596
從,6,79787
陂,2,26596
噩,2,26596
「,2,26596
膝,2,26596
百,2,26596
公,2,26596
道,4,53191
意,2,26596
彌,2,26596
鴈,2,26596
益,2,26596
智,4,53191
坌,2,26596
徇,2,26596
寬,2,26596
聃,4,53191
老,4,53191
性,2,26596
敢,4,53191
德,2,26596
言,2,26596
徙,2,26596
吾,4,53191
諸,2,26596
世,2,26596
同,2,26596
鼻,4,53191
勉,2,26596
笑,2,26596
養,2,26596
惑,2,26596
巨,2,26596
祿,2,26596
芷,2,26596
失,2,26596
舜,6,79787
巔,2,26596
