Character, Abs. Freq., Rel. Freq.
虎,4,7651
灌,2,3826
勿,2,3826
陰,2,3826
計,6,11477
犬,2,3826
駮,2,3826
視,10,19128
遼,2,3826
驂,2,3826
來,18,34430
忣,12,22953
觳,2,3826
請,4,7651
敵,2,3826
告,6,11477
力,4,7651
符,2,3826
門,2,3826
隆,2,3826
胡,38,72686
塞,4,7651
載,2,3826
側,2,3826
尊,4,7651
罷,2,3826
外,6,11477
少,4,7651
石,4,7651
午,2,3826
西,2,3826
吏,8,15302
閒,4,7651
面,6,11477
《,2,3826
高,2,3826
遒,2,3826
悍,2,3826
負,2,3826
弱,4,7651
家,8,15302
敢,8,15302
竊,4,7651
金,2,3826
富,6,11477
王,14,26779
戎,8,15302
耀,2,3826
遠,8,15302
希,8,15302
濱,2,3826
勢,8,15302
蠻,4,7651
寢,2,3826
設,2,3826
賣,2,3826
漢,16,30604
年,2,3826
患,2,3826
讎,4,7651
舞,6,11477
饋,2,3826
邃,2,3826
犯,2,3826
銖,2,3826
作,2,3826
軒,2,3826
擊,2,3826
威,4,7651
理,6,11477
今,6,11477
毋,2,3826
悇,2,3826
德,10,19128
觀,6,11477
狡,2,3826
狀,4,7651
墨,2,3826
利,2,3826
責,2,3826
口,10,19128
舜,2,3826
左,2,3826
庶,2,3826
虞,2,3826
衣,14,26779
馬,6,11477
覺,2,3826
難,4,7651
前,8,15302
嘿,4,7651
辭,2,3826
隴,2,3826
甚,4,7651
卒,4,7651
庫,2,3826
廄,2,3826
跡,2,3826
處,6,11477
機,2,3826
止,2,3826
涎,2,3826
順,2,3826
綠,2,3826
腹,4,7651
臨,6,11477
偶,4,7651
圖,4,7651
陣,2,3826
流,2,3826
抵,2,3826
慈,4,7651
挾,2,3826
困,4,7651
嘗,2,3826
材,2,3826
為,52,99464
大,44,84162
羽,2,3826
御,6,11477
控,2,3826
旁,4,7651
頸,2,3826
錢,2,3826
致,2,3826
灼,4,7651
備,2,3826
道,6,11477
餌,18,34430
捍,2,3826
率,6,11477
求,2,3826
蓄,2,3826
適,4,7651
愈,4,7651
殆,2,3826
寇,2,3826
害,2,3826
智,2,3826
長,8,15302
貴,12,22953
中,12,22953
罪,4,7651
易,2,3826
羹,2,3826
傅,2,3826
攻,2,3826
降,16,30604
聽,6,11477
味,2,3826
屢,2,3826
時,36,68860
循,2,3826
境,2,3826
貧,2,3826
問,2,3826
禁,2,3826
分,2,3826
揮,2,3826
鼓,4,7651
白,2,3826
穹,2,3826
盜,6,11477
甘,2,3826
亂,4,7651
振,4,7651
窳,2,3826
囷,4,7651
月,2,3826
薄,6,11477
肉,2,3826
吒,2,3826
治,4,7651
固,10,19128
拘,2,3826
愚,4,7651
苟,8,15302
聞,14,26779
喗,2,3826
轢,2,3826
鑿,2,3826
蹲,2,3826
遣,2,3826
賜,14,26779
亡,6,11477
帛,2,3826
著,2,3826
直,2,3826
介,2,3826
普,2,3826
仇,6,11477
近,6,11477
懷,4,7651
奉,2,3826
北,4,7651
擣,2,3826
畫,2,3826
亢,2,3826
府,4,7651
權,2,3826
事,8,15302
自,20,38256
宇,2,3826
噩,2,3826
贄,2,3826
美,4,7651
編,2,3826
惟,2,3826
鞀,2,3826
官,6,11477
招,2,3826
知,2,3826
善,4,7651
即,6,11477
笑,2,3826
願,2,3826
愛,12,22953
快,2,3826
生,4,7651
飢,4,7651
頓,2,3826
財,8,15302
急,2,3826
攜,2,3826
悅,2,3826
義,14,26779
安,6,11477
禽,2,3826
胥,2,3826
工,4,7651
匈,46,87988
親,2,3826
擾,2,3826
繡,8,15302
悹,2,3826
憛,2,3826
居,8,15302
敬,2,3826
文,2,3826
實,2,3826
水,2,3826
立,6,11477
閑,4,7651
興,2,3826
侵,2,3826
慮,2,3826
𦃪,2,3826
黑,2,3826
每,4,7651
酒,8,15302
日,6,11477
君,2,3826
非,10,19128
休,2,3826
簫,2,3826
召,14,26779
重,4,7651
諾,4,7651
醢,2,3826
制,2,3826
語,2,3826
我,2,3826
踳,2,3826
慕,4,7651
窺,2,3826
扶,2,3826
恐,8,15302
榮,2,3826
食,8,15302
孰,4,7651
使,40,76511
族,8,15302
歲,4,7651
進,4,7651
陛,28,53558
內,4,7651
志,4,7651
賞,8,15302
萬,8,15302
示,4,7651
婢,2,3826
限,2,3826
係,2,3826
垂,2,3826
對,6,11477
倒,2,3826
喜,2,3826
武,4,7651
上,32,61209
走,6,11477
爭,2,3826
略,2,3826
地,2,3826
承,2,3826
夷,4,7651
人,100,191278
室,2,3826
主,6,11477
險,2,3826
寐,2,3826
一,52,99464
延,4,7651
傾,4,7651
？,18,34430
盡,2,3826
列,2,3826
豫,2,3826
弦,2,3826
弓,2,3826
乘,4,7651
動,4,7651
許,4,7651
蓋,2,3826
群,2,3826
蹈,2,3826
妨,2,3826
無,12,22953
試,2,3826
但,2,3826
助,2,3826
炙,8,15302
餘,10,19128
都,2,3826
目,4,7651
好,14,26779
開,2,3826
踔,2,3826
城,2,3826
衛,2,3826
彊,6,11477
侍,10,19128
槁,2,3826
抑,2,3826
形,2,3826
聊,2,3826
沽,2,3826
民,20,38256
和,2,3826
屠,2,3826
飯,10,19128
均,4,7651
背,2,3826
嬰,10,19128
久,4,7651
樂,12,22953
傑,2,3826
隅,2,3826
關,6,11477
帝,14,26779
行,12,22953
待,2,3826
縣,2,3826
豈,4,7651
相,12,22953
深,2,3826
惡,4,7651
禮,2,3826
京,4,7651
尺,4,7651
「,16,30604
服,10,19128
飲,2,3826
顙,2,3826
昧,2,3826
壞,10,19128
狄,2,3826
臣,32,61209
耳,18,34430
國,38,72686
冀,4,7651
昔,2,3826
吾,6,11477
節,2,3826
祟,4,7651
奴,48,91813
渠,6,11477
銀,2,3826
》,2,3826
令,30,57383
坐,2,3826
駕,2,3826
牽,10,19128
竭,2,3826
變,4,7651
氏,2,3826
將,28,53558
迕,4,7651
饗,6,11477
母,4,7651
揜,2,3826
勝,2,3826
窾,4,7651
猶,12,22953
要,2,3826
置,2,3826
贛,2,3826
右,2,3826
戰,8,15302
蟬,2,3826
幸,22,42081
綬,2,3826
從,6,11477
嗜,2,3826
挈,2,3826
天,36,68860
網,2,3826
雕,2,3826
士,6,11477
兵,2,3826
引,4,7651
具,10,19128
帶,2,3826
謀,4,7651
臛,2,3826
賊,2,3826
屬,2,3826
更,6,11477
戶,2,3826
欲,14,26779
祝,2,3826
起,2,3826
數,16,30604
用,8,15302
意,4,7651
傍,2,3826
付,2,3826
邊,8,15302
湯,2,3826
諭,14,26779
南,6,11477
心,16,30604
物,4,7651
各,4,7651
尚,2,3826
見,18,34430
多,10,19128
反,2,3826
賓,2,3826
翁,4,7651
誠,2,3826
婦,4,7651
期,6,11477
胾,2,3826
術,2,3826
柰,2,3826
』,2,3826
土,4,7651
假,4,7651
騎,4,7651
顯,6,11477
博,2,3826
明,6,11477
」,14,26779
單,12,22953
死,2,3826
諸,4,7651
東,4,7651
守,4,7651
膹,6,11477
郡,2,3826
盛,4,7651
醯,2,3826
厚,8,15302
紛,2,3826
應,2,3826
輕,2,3826
頗,4,7651
啗,4,7651
微,2,3826
疑,6,11477
詩,2,3826
通,2,3826
『,2,3826
撓,2,3826
聚,2,3826
千,8,15302
信,10,19128
廚,2,3826
戲,4,7651
吹,2,3826
資,4,7651
手,2,3826
客,8,15302
槞,2,3826
歸,4,7651
：,18,34430
百,4,7651
建,6,11477
慉,4,7651
后,2,3826
識,2,3826
劍,2,3826
佐,2,3826
羸,2,3826
抎,2,3826
干,2,3826
舉,2,3826
危,2,3826
誦,2,3826
及,8,15302
技,4,7651
佩,2,3826
約,4,7651
舟,4,7651
盱,4,7651
入,4,7651
蚤,2,3826
方,10,19128
遂,4,7651
決,2,3826
猾,2,3826
錦,2,3826
廬,2,3826
肯,4,7651
當,4,7651
堂,4,7651
因,4,7651
操,2,3826
逆,2,3826
奇,2,3826
兒,10,19128
夢,2,3826
連,2,3826
車,8,15302
言,12,22953
拊,4,7651
弄,2,3826
費,4,7651
授,2,3826
市,4,7651
滑,2,3826
宜,6,11477
狼,2,3826
積,4,7651
乖,2,3826
表,14,26779
料,2,3826
鄉,2,3826
畜,6,11477
