Character, Abs. Freq., Rel. Freq.
士,2,22321
令,6,66964
甚,12,133929
荷,2,22321
南,2,22321
深,2,22321
義,4,44643
一,4,44643
貧,2,22321
繇,10,111607
陳,2,22321
？,2,22321
絕,2,22321
數,4,44643
屬,4,44643
便,2,22321
人,4,44643
海,2,22321
侯,8,89286
輕,2,22321
古,2,22321
履,2,22321
天,6,66964
動,2,22321
終,2,22321
尚,2,22321
盡,2,22321
相,4,44643
；,2,22321
地,14,156250
兩,2,22321
輸,10,111607
越,2,22321
貸,2,22321
復,2,22321
千,4,44643
今,2,22321
從,2,22321
長,4,44643
歸,4,44643
秦,8,89286
蹻,2,22321
來,4,44643
振,2,22321
起,2,22321
竊,4,44643
彊,4,44643
家,4,44643
錢,6,66964
資,2,22321
蚤,2,22321
縣,6,66964
俱,2,22321
江,2,22321
鄉,2,22321
將,10,111607
寸,2,22321
心,2,22321
中,8,89286
分,4,44643
久,6,66964
提,2,22321
自,6,66964
遣,2,22321
毋,2,22321
賦,2,22321
窳,2,22321
羸,2,22321
耳,4,44643
欲,6,66964
易,2,22321
及,2,22321
都,4,44643
送,2,22321
勞,2,22321
陛,2,22321
居,2,22321
淮,2,22321
衣,4,44643
毒,2,22321
遁,2,22321
丞,2,22321
傷,2,22321
尺,2,22321
民,6,66964
聞,4,44643
弊,4,44643
諸,6,66964
廬,2,22321
往,2,22321
泣,4,44643
致,2,22321
苦,8,89286
行,6,66964
姦,2,22321
少,4,44643
安,6,66964
慮,4,44643
方,4,44643
逋,2,22321
奉,8,89286
樂,2,22321
稱,2,22321
假,2,22321
道,2,22321
公,2,22321
補,2,22321
休,2,22321
號,4,44643
百,4,44643
見,2,22321
遠,10,111607
非,8,89286
詣,2,22321
跡,2,22321
主,2,22321
勢,2,22321
邊,2,22321
上,6,66964
悉,2,22321
定,2,22321
勝,4,44643
王,2,22321
里,10,111607
驩,2,22321
為,8,89286
類,4,44643
使,10,111607
費,6,66964
漢,8,89286
用,4,44643
