Character, Abs. Freq., Rel. Freq.
志,2,20000
知,4,40000
守,2,20000
比,2,20000
周,8,80000
僕,6,60000
卑,2,20000
疑,14,140000
避,2,20000
貴,10,100000
豐,2,20000
星,2,20000
紀,2,20000
見,2,20000
旗,2,20000
謙,2,20000
生,2,20000
限,2,20000
馬,2,20000
符,2,20000
彊,2,20000
尤,2,20000
心,2,20000
幸,2,20000
宮,2,20000
制,2,20000
；,14,140000
奇,2,20000
絀,2,20000
埤,2,20000
處,2,20000
瑞,2,20000
和,2,20000
賞,2,20000
喪,2,20000
寵,2,20000
帝,2,20000
著,4,40000
異,40,400000
祿,2,20000
道,2,20000
天,10,100000
明,2,20000
度,2,20000
妾,2,20000
品,12,120000
僭,2,20000
等,16,160000
臣,16,160000
死,2,20000
絕,2,20000
安,2,20000
退,2,20000
章,6,60000
室,2,20000
法,4,40000
無,6,60000
牧,2,20000
履,2,20000
往,4,40000
禮,4,40000
嫌,2,20000
擅,2,20000
服,10,100000
敢,2,20000
使,2,20000
事,2,20000
神,2,20000
亂,2,20000
近,2,20000
損,2,20000
號,2,20000
建,2,20000
遠,2,20000
加,6,60000
佩,2,20000
冒,2,20000
傳,2,20000
差,2,20000
位,6,60000
習,2,20000
力,6,60000
澤,4,40000
稱,4,40000
高,6,60000
讓,2,20000
倫,4,40000
上,8,80000
名,2,20000
檢,2,20000
衣,4,40000
幾,4,40000
民,2,20000
爭,10,100000
勢,4,40000
遷,2,20000
分,4,40000
車,2,20000
承,2,20000
人,12,120000
目,2,20000
予,2,20000
飲,2,20000
環,2,20000
皿,2,20000
賤,10,100000
秩,2,20000
器,2,20000
各,4,40000
權,6,60000
祭,2,20000
適,2,20000
望,2,20000
踰,2,20000
臨,2,20000
妻,2,20000
食,2,20000
冠,2,20000
為,4,40000
識,2,20000
凌,2,20000
美,2,20000
定,2,20000
級,10,100000
床,2,20000
冀,4,40000
主,6,60000
帶,2,20000
席,2,20000
進,4,40000
文,2,20000
厚,4,40000
設,4,40000
誅,2,20000
祀,2,20000
循,2,20000
謹,2,20000
眩,2,20000
多,2,20000
尊,8,80000
官,2,20000
日,2,20000
祗,2,20000
