Character, Abs. Freq., Rel. Freq.
自,8,66225
敬,2,16556
誰,2,16556
假,4,33113
張,2,16556
側,2,16556
危,4,33113
吟,2,16556
國,4,33113
陷,2,16556
悼,2,16556
聽,2,16556
黥,2,16556
越,2,16556
材,4,33113
畢,2,16556
腴,2,16556
中,4,33113
割,2,16556
殽,2,16556
角,2,16556
實,2,16556
敢,2,16556
遠,2,16556
人,8,66225
漢,4,33113
百,4,33113
併,2,16556
領,2,16556
甚,2,16556
慮,2,16556
致,2,16556
啟,2,16556
相,4,33113
稱,2,16556
肯,2,16556
𪘆,4,33113
動,2,16556
無,8,66225
弟,2,16556
將,2,16556
擅,2,16556
功,2,16556
山,2,16556
尚,6,49669
席,2,16556
靈,2,16556
室,2,16556
立,2,16556
安,16,132450
陰,2,16556
封,2,16556
彭,2,16556
幽,2,16556
餘,2,16556
幾,2,16556
治,4,33113
高,10,82781
柰,2,16556
陽,2,16556
勢,2,16556
惠,2,16556
獨,2,16556
曩,2,16556
逮,2,16556
昆,2,16556
死,2,16556
梁,4,33113
地,2,16556
守,2,16556
帝,10,82781
金,2,16556
豨,2,16556
率,2,16556
貴,2,16556
面,2,16556
名,2,16556
間,2,16556
身,2,16556
歲,2,16556
道,2,16556
？,18,149007
臣,20,165563
皇,8,66225
淮,10,82781
請,2,16556
罪,2,16556
離,2,16556
涓,2,16556
衣,2,16556
諸,12,99338
爵,2,16556
居,4,33113
今,4,33113
戚,2,16556
多,2,16556
陳,4,33113
視,2,16556
綰,2,16556
膏,2,16556
代,2,16556
戴,2,16556
堅,2,16556
事,2,16556
黃,2,16556
宰,2,16556
元,2,16556
知,8,66225
賢,2,16556
悍,2,16556
趙,4,33113
幸,4,33113
各,2,16556
反,2,16556
韓,4,33113
制,8,66225
召,2,16556
七,4,33113
陛,20,165563
案,4,33113
諉,2,16556
厲,2,16556
恙,4,33113
控,2,16556
公,6,49669
利,2,16556
赦,2,16556
親,8,66225
布,4,33113
口,2,16556
齊,2,16556
因,2,16556
試,4,33113
共,2,16556
盧,2,16556
即,6,49669
豫,2,16556
僅,2,16556
屋,2,16556
非,10,82781
心,2,16556
行,2,16556
位,6,49669
首,2,16556
渥,2,16556
縣,2,16556
匕,2,16556
時,4,33113
少,2,16556
德,2,16556
！,2,16556
舍,2,16556
亂,8,66225
胸,2,16556
起,6,49669
城,2,16556
環,2,16556
一,4,33113
馮,2,16556
言,2,16556
為,22,182119
疏,4,33113
法,4,33113
當,4,33113
竊,2,16556
楚,4,33113
王,48,397351
肩,2,16556
天,18,149007
貫,2,16556
年,4,33113
侯,8,66225
信,2,16556
敖,2,16556
南,8,66225
令,12,99338
懸,2,16556
燕,4,33113
