Character, Abs. Freq., Rel. Freq.
遲,2,15361
詐,2,15361
光,2,15361
小,8,61444
短,2,15361
踈,2,15361
實,2,15361
傷,2,15361
良,2,15361
曾,2,15361
溫,2,15361
貞,4,30722
歸,2,15361
缺,2,15361
絕,2,15361
賣,2,15361
似,4,30722
顛,2,15361
信,6,46083
知,2,15361
據,2,15361
惟,2,15361
存,2,15361
民,2,15361
王,6,46083
失,2,15361
趙,2,15361
放,4,30722
計,2,15361
功,4,30722
？,4,30722
國,4,30722
」,2,15361
偽,2,15361
西,2,15361
嗌,2,15361
冥,2,15361
亂,6,46083
云,2,15361
柔,4,30722
厥,2,15361
強,4,30722
躁,2,15361
說,2,15361
利,2,15361
齊,4,30722
鞅,2,15361
惑,2,15361
聖,8,61444
仁,6,46083
大,6,46083
天,4,30722
愚,2,15361
安,8,61444
禍,2,15361
墜,4,30722
顯,2,15361
辯,2,15361
朴,2,15361
禹,2,15361
色,2,15361
厚,2,15361
懦,2,15361
熒,4,30722
帝,2,15361
破,2,15361
巢,10,76805
上,2,15361
種,2,15361
履,4,30722
持,2,15361
賈,2,15361
久,4,30722
人,6,46083
臣,2,15361
虧,2,15361
自,8,61444
治,2,15361
世,4,30722
嘔,2,15361
速,2,15361
高,12,92166
榮,2,15361
文,2,15361
合,4,30722
禦,2,15361
驩,2,15361
《,2,15361
卯,2,15361
乾,2,15361
舜,2,15361
蘇,2,15361
詩,2,15361
錚,4,30722
侯,2,15361
疾,2,15361
恬,2,15361
逃,2,15361
罰,2,15361
仲,4,30722
斯,2,15361
仆,6,46083
觸,2,15361
長,4,30722
賊,2,15361
寬,2,15361
遠,2,15361
米,2,15361
公,4,30722
滅,2,15361
固,6,46083
美,4,30722
士,2,15361
聲,2,15361
處,10,76805
；,2,15361
見,4,30722
藏,2,15361
堯,6,46083
熟,2,15361
任,8,61444
忠,2,15361
舒,2,15361
嘉,2,15361
好,2,15361
諸,2,15361
》,2,15361
千,4,30722
動,2,15361
杖,24,184332
智,4,30722
秦,6,46083
聽,2,15361
居,4,30722
兜,2,15361
味,2,15361
少,2,15361
：,2,15361
孰,2,15361
名,4,30722
輕,2,15361
敬,2,15361
急,2,15361
邦,2,15361
重,4,30722
干,2,15361
遏,2,15361
「,2,15361
形,2,15361
慧,2,15361
貴,2,15361
傾,6,46083
垂,2,15361
宜,2,15361
尼,4,30722
時,2,15361
制,4,30722
罔,2,15361
極,2,15361
鄭,2,15361
乘,6,46083
商,4,30722
剛,4,30722
危,8,61444
德,2,15361
義,6,46083
交,2,15361
甘,2,15361
巧,6,46083
情,4,30722
被,2,15361
常,2,15361
李,2,15361
正,2,15361
便,2,15361
君,8,61444
朽,2,15361
屈,2,15361
儋,2,15361
容,2,15361
近,6,46083
非,4,30722
直,2,15361
駕,2,15361
誅,4,30722
魯,4,30722
覆,2,15361
卵,2,15361
材,2,15361
刑,4,30722
讒,8,61444
尚,2,15361
蓋,2,15361
促,2,15361
稷,2,15361
道,2,15361
跌,2,15361
為,28,215054
亡,10,76805
端,2,15361
契,2,15361
遭,2,15361
賢,10,76805
媚,2,15361
尊,2,15361
勇,2,15361
質,2,15361
配,2,15361
羊,2,15361
懷,4,30722
方,4,30722
傳,2,15361
回,2,15361
觀,2,15361
恢,4,30722
患,2,15361
販,2,15361
霸,2,15361
讓,2,15361
事,2,15361
窮,2,15361
恥,2,15361
無,4,30722
察,4,30722
表,2,15361
地,2,15361
飾,2,15361
黨,2,15361
佞,2,15361
別,2,15361
益,4,30722
悔,2,15361
言,4,30722
邪,6,46083
行,2,15361
度,2,15361
克,2,15361
相,2,15361
