Character, Abs. Freq., Rel. Freq.
強,2,9766
臣,20,97656
詩,2,9766
況,4,19531
橈,2,9766
往,2,9766
無,16,78125
「,26,126953
斧,2,9766
折,2,9766
黨,4,19531
階,2,9766
乖,2,9766
間,2,9766
弱,2,9766
曲,8,39062
斷,2,9766
色,2,9766
苟,6,29297
信,2,9766
罷,2,9766
公,16,78125
為,18,87891
等,2,9766
歷,2,9766
益,2,9766
候,2,9766
容,4,19531
扶,2,9766
說,2,9766
順,2,9766
內,2,9766
揖,2,9766
戲,2,9766
？,20,97656
因,2,9766
誤,6,29297
執,4,19531
木,2,9766
」,26,126953
操,4,19531
首,2,9766
升,2,9766
枉,2,9766
避,4,19531
方,2,9766
法,4,19531
好,2,9766
逆,4,19531
丞,4,19531
命,2,9766
備,2,9766
踰,2,9766
馬,12,58594
安,4,19531
俗,2,9766
讒,2,9766
來,2,9766
措,2,9766
正,2,9766
駕,4,19531
上,10,48828
豈,2,9766
侯,6,29297
濟,4,19531
鄰,2,9766
白,4,19531
彊,2,9766
士,2,9766
移,2,9766
土,2,9766
飢,2,9766
哀,4,19531
席,2,9766
功,2,9766
寡,2,9766
；,4,19531
盍,2,9766
柔,2,9766
諾,2,9766
群,6,29297
耳,4,19531
謟,2,9766
徹,2,9766
請,2,9766
終,2,9766
別,2,9766
術,2,9766
邪,14,68359
論,2,9766
視,4,19531
斯,2,9766
昧,2,9766
借,2,9766
云,2,9766
邑,4,19531
作,2,9766
蓋,2,9766
率,2,9766
亡,2,9766
背,2,9766
忤,4,19531
分,2,9766
義,6,29297
動,2,9766
石,2,9766
流,2,9766
復,2,9766
樂,4,19531
幕,2,9766
處,2,9766
夷,2,9766
起,2,9766
定,8,39062
化,2,9766
優,2,9766
稱,6,29297
求,2,9766
野,2,9766
真,2,9766
舉,4,19531
陷,2,9766
孔,8,39062
年,2,9766
世,10,48828
使,4,19531
止,2,9766
死,2,9766
：,26,126953
恐,4,19531
直,10,48828
名,4,19531
隙,2,9766
察,2,9766
巡,2,9766
深,2,9766
天,4,19531
旃,2,9766
地,2,9766
孰,2,9766
壇,2,9766
明,4,19531
諧,2,9766
用,8,39062
家,6,29297
從,6,29297
相,22,107422
昔,4,19531
高,8,39062
並,2,9766
堂,2,9766
治,2,9766
損,2,9766
歸,6,29297
事,6,29297
懷,4,19531
制,2,9766
譽,4,19531
母,8,39062
言,20,97656
問,4,19531
知,8,39062
佞,4,19531
黑,4,19531
道,2,9766
侵,2,9766
屈,2,9766
斬,2,9766
獨,2,9766
傾,2,9766
盡,2,9766
浮,2,9766
欲,6,29297
易,8,39062
秦,4,19531
身,4,19531
兩,6,29297
政,2,9766
對,2,9766
會,4,19531
立,2,9766
當,6,29297
鼓,2,9766
嘆,2,9766
自,10,48828
狄,2,9766
抑,2,9766
谷,2,9766
金,2,9766
阿,4,19531
孤,2,9766
薦,2,9766
織,2,9766
辭,2,9766
剛,4,19531
見,4,19531
橫,2,9766
鹿,10,48828
口,6,29297
犧,2,9766
齊,12,58594
告,4,19531
同,4,19531
趙,2,9766
參,4,19531
慮,2,9766
《,4,19531
敢,4,19531
善,8,39062
君,18,87891
象,2,9766
卒,2,9766
柯,2,9766
權,2,9766
王,6,29297
意,10,48828
退,2,9766
外,2,9766
聞,2,9766
旨,2,9766
惑,2,9766
單,2,9766
辱,4,19531
人,28,136719
拘,2,9766
願,2,9766
曾,6,29297
毀,2,9766
心,4,19531
振,2,9766
禮,4,19531
遂,2,9766
懼,4,19531
逡,2,9766
乘,2,9766
謬,4,19531
司,4,19531
一,4,19531
噪,2,9766
民,2,9766
儛,2,9766
□,6,29297
國,8,39062
》,4,19531
闇,2,9766
勢,2,9766
殺,4,19531
嘉,2,9766
垣,2,9766
投,2,9766
殊,2,9766
中,2,9766
語,2,9766
合,20,97656
聖,2,9766
行,18,87891
異,8,39062
大,2,9766
時,6,29297
責,2,9766
杼,2,9766
衘,2,9766
非,6,29297
半,4,19531
傲,2,9766
形,4,19531
陛,2,9766
魯,14,68359
夾,2,9766
驕,2,9766
多,2,9766
嚮,2,9766
姓,2,9766
河,2,9766
縱,2,9766
沉,2,9766
變,2,9766
