Character, Abs. Freq., Rel. Freq.
公,6,196078
書,2,65359
友,2,65359
妻,2,65359
宋,2,65359
記,2,65359
王,2,65359
樹,2,65359
雨,10,326797
蒞,4,130719
桓,2,65359
夏,2,65359
舒,2,65359
我,2,65359
來,4,130719
往,2,65359
障,2,65359
月,8,261438
貯,2,65359
鄭,2,65359
大,2,65359
正,2,65359
秋,2,65359
：,2,65359
侯,2,65359
伐,2,65359
無,8,261438
陽,2,65359
人,8,261438
徐,2,65359
年,2,65359
江,2,65359
楚,2,65359
穀,4,130719
冬,2,65359
」,2,65359
？,12,392157
易,4,130719
黃,2,65359
「,2,65359
言,8,261438
末,2,65359
春,2,65359
上,2,65359
盟,10,326797
為,4,130719
粟,2,65359
曷,2,65359
異,2,65359
爾,2,65359
妾,2,65359
齊,4,130719
會,4,130719
甚,2,65359
