Character, Abs. Freq., Rel. Freq.
還,2,12019
楚,4,24038
滅,16,96154
蓋,4,24038
非,2,12019
請,6,36058
牽,2,12019
恥,2,12019
！,4,24038
日,8,48077
莊,2,12019
安,2,12019
君,12,72115
使,4,24038
從,6,36058
序,2,12019
黃,6,36058
秋,2,12019
諫,2,12019
亡,10,60096
入,2,12019
異,2,12019
諾,4,24038
邑,2,12019
御,2,12019
受,4,24038
丘,2,12019
貫,2,12019
月,8,48077
江,6,36058
葬,2,12019
賜,2,12019
棘,2,12019
天,8,48077
反,2,12019
哀,4,24038
惡,4,24038
侵,2,12019
長,2,12019
奈,4,24038
應,2,12019
獨,2,12019
宋,6,36058
為,30,180288
齊,6,36058
狄,4,24038
義,4,24038
今,4,24038
盟,2,12019
道,4,24038
果,2,12019
諱,4,24038
朝,2,12019
『,2,12019
貪,2,12019
許,4,24038
勿,2,12019
王,2,12019
言,16,96154
小,2,12019
上,6,36058
唇,2,12019
辭,2,12019
伯,4,24038
郭,18,108173
敢,2,12019
戲,2,12019
欲,2,12019
齒,4,24038
攻,4,24038
救,12,72115
假,4,24038
姜,4,24038
屈,2,12019
文,4,24038
巳,2,12019
馬,6,36058
書,2,12019
國,20,120192
侯,12,72115
知,4,24038
廄,4,24038
吾,6,36058
桓,12,72115
實,4,24038
爾,10,60096
公,36,216346
賂,4,24038
中,2,12019
抱,2,12019
揖,2,12019
息,10,60096
用,2,12019
專,6,36058
鄭,2,12019
藏,4,24038
進,6,36058
意,2,12019
「,24,144231
人,14,84135
春,2,12019
無,8,48077
封,6,36058
乘,2,12019
行,2,12019
內,4,24038
白,2,12019
寐,2,12019
虞,32,192308
明,4,24038
寡,2,12019
正,2,12019
臣,4,24038
終,6,36058
侍,2,12019
好,2,12019
愿,2,12019
荀,10,60096
：,26,156250
奇,6,36058
系,4,24038
寒,2,12019
？,60,360577
首,4,24038
微,2,12019
產,2,12019
餘,2,12019
相,8,48077
夜,2,12019
獻,12,72115
對,4,24038
垂,2,12019
寢,4,24038
雨,2,12019
府,2,12019
冬,2,12019
宮,6,36058
孰,6,36058
存,4,24038
記,4,24038
夏,6,36058
年,4,24038
辛,2,12019
喪,2,12019
遠,6,36058
問,2,12019
澤,2,12019
晉,4,24038
遂,2,12019
謀,8,48077
衛,4,24038
曷,22,132212
慮,2,12019
往,6,36058
」,24,144231
我,2,12019
』,2,12019
憂,2,12019
側,2,12019
；,4,24038
璧,2,12019
見,8,48077
師,4,24038
外,4,24038
寶,14,84135
大,8,48077
力,2,12019
方,4,24038
陽,4,24038
城,14,84135
諸,16,96154
