Character, Abs. Freq., Rel. Freq.
醉,2,55866
尚,4,111732
會,8,223464
宮,2,55866
滅,2,55866
衛,10,279330
腥,2,55866
大,2,55866
侯,6,167598
奔,12,335196
歸,4,111732
辰,2,55866
辛,2,55866
弟,2,55866
堅,2,55866
世,2,55866
結,4,111732
師,2,55866
熟,2,55866
宋,8,223464
鄭,2,55866
士,2,55866
比,2,55866
？,4,111732
脤,6,167598
晉,2,55866
頓,4,111732
巳,2,55866
邾,2,55866
婁,2,55866
叔,2,55866
陳,2,55866
秋,2,55866
北,2,55866
佗,2,55866
春,2,55866
孟,2,55866
自,4,111732
來,10,279330
燔,2,55866
俎,2,55866
城,2,55866
楚,2,55866
月,4,111732
齊,4,111732
瞆,2,55866
搜,2,55866
使,2,55866
李,2,55866
趙,2,55866
吳,4,111732
卒,2,55866
天,4,111732
父,2,55866
莒,2,55866
洮,2,55866
陽,2,55866
王,2,55866
敗,2,55866
蒲,2,55866
公,18,502793
蒯,2,55866
戍,2,55866
人,2,55866
帥,2,55866
牄,2,55866
及,2,55866
霄,2,55866
越,2,55866
彄,2,55866
石,4,111732
實,2,55866
年,2,55866
夏,2,55866
光,2,55866
蕭,2,55866
