Character, Abs. Freq., Rel. Freq.
同,2,17331
靈,2,17331
見,2,17331
陳,6,51993
敗,4,34662
垂,2,17331
非,2,17331
公,2,17331
自,2,17331
葬,4,34662
袒,2,17331
民,4,34662
敝,2,17331
蕭,2,17331
國,2,17331
左,4,34662
禮,6,51993
冬,2,17331
為,8,69324
地,2,17331
撝,2,17331
鄭,12,103986
君,22,190641
掬,2,17331
伐,4,34662
諸,2,17331
從,2,17331
告,2,17331
死,4,34662
？,12,103986
月,6,51993
名,2,17331
請,6,51993
無,8,69324
兩,2,17331
書,2,17331
年,2,17331
走,2,17331
曹,2,17331
路,2,17331
諫,4,34662
曷,2,17331
宋,4,34662
丘,2,17331
七,4,34662
身,2,17331
勝,4,34662
王,24,207972
右,4,34662
茅,2,17331
日,2,17331
中,2,17331
天,4,34662
南,2,17331
扈,2,17331
力,2,17331
稱,2,17331
春,2,17331
矜,2,17331
方,2,17331
欲,2,17331
荀,2,17331
一,2,17331
令,6,51993
赦,2,17331
師,16,138648
軍,6,51993
莊,18,155979
臣,10,86655
失,2,17331
災,2,17331
氏,2,17331
救,4,34662
郢,2,17331
清,2,17331
勿,2,17331
伯,2,17331
淹,2,17331
使,8,69324
綏,2,17331
干,2,17331
千,2,17331
邲,2,17331
佚,2,17331
立,2,17331
帥,4,34662
鸞,2,17331
寇,4,34662
耋,2,17331
敵,4,34662
舍,2,17331
命,2,17331
養,2,17331
：,16,138648
人,24,207972
辟,2,17331
皮,2,17331
諾,2,17331
相,4,34662
執,4,34662
嘻,2,17331
許,4,34662
罪,2,17331
衛,4,34662
戰,4,34662
老,2,17331
卯,2,17331
古,2,17331
錫,2,17331
放,2,17331
里,4,34662
圍,2,17331
衢,2,17331
良,2,17331
好,2,17331
皇,2,17331
篤,2,17331
賊,2,17331
逆,4,34662
病,2,17331
姓,2,17331
鼓,2,17331
夏,2,17331
大,8,69324
重,4,34662
喪,2,17331
手,2,17331
蠹,2,17331
乙,2,17331
楚,14,121317
「,16,138648
土,2,17331
今,2,17331
親,2,17331
父,2,17331
弱,2,17331
杅,2,17331
秋,2,17331
易,2,17331
寅,2,17331
沛,2,17331
薄,2,17331
績,2,17331
」,16,138648
利,2,17331
指,2,17331
寡,6,51993
邊,2,17331
面,2,17331
道,2,17331
禍,2,17331
盟,2,17331
要,4,34662
討,8,69324
戊,2,17331
旌,4,34662
滅,2,17331
舟,2,17331
百,4,34662
毛,2,17331
玉,2,17331
退,2,17331
刀,2,17331
廝,2,17331
強,2,17331
交,2,17331
辭,2,17331
到,2,17331
穿,2,17331
還,4,34662
！,4,34662
詳,4,34662
及,4,34662
晉,22,190641
役,2,17331
言,2,17331
林,2,17331
數,6,51993
辱,2,17331
微,2,17331
肉,2,17331
將,4,34662
邑,2,17331
威,2,17331
吾,10,86655
門,2,17331
