Character, Abs. Freq., Rel. Freq.
正,2,56180
殺,4,112360
宋,8,224719
佐,2,56180
聘,2,56180
庚,2,56180
王,2,56180
婁,4,112360
丑,2,56180
齊,4,112360
會,2,56180
虛,2,56180
盟,2,56180
州,2,56180
侵,2,56180
乞,2,56180
楚,4,112360
同,2,56180
寢,2,56180
八,4,112360
蔑,2,56180
弒,2,56180
朾,2,56180
杼,2,56180
蒲,2,56180
士,4,112360
人,4,112360
春,2,56180
胥,2,56180
使,4,112360
魚,2,56180
路,2,56180
囿,4,112360
月,6,168539
己,2,56180
來,8,224719
杞,2,56180
葬,2,56180
譏,4,112360
鹿,2,56180
申,2,56180
孫,2,56180
入,2,56180
薨,2,56180
崔,2,56180
伐,2,56180
伯,4,112360
邾,4,112360
自,2,56180
衛,2,56180
師,2,56180
彭,4,112360
君,4,112360
復,2,56180
我,2,56180
仲,2,56180
冬,2,56180
丁,2,56180
鄭,4,112360
年,2,56180
童,2,56180
侯,8,224719
夏,2,56180
筑,2,56180
晉,14,393258
公,10,280899
爾,2,56180
大,4,112360
丐,2,56180
國,2,56180
石,2,56180
？,4,112360
秋,2,56180
成,2,56180
書,2,56180
城,2,56180
為,2,56180
朝,4,112360
