Character, Abs. Freq., Rel. Freq.
君,2,95238
人,4,190476
滅,2,95238
甲,2,95238
非,2,95238
實,2,95238
楚,2,95238
許,2,95238
兼,4,190476
禮,2,95238
口,2,95238
葬,4,190476
會,2,95238
公,4,190476
賵,4,190476
卒,2,95238
申,2,95238
王,6,285714
正,2,95238
辛,2,95238
叔,2,95238
我,2,95238
榮,2,95238
孫,2,95238
業,2,95238
冬,2,95238
鄀,2,95238
風,4,190476
亥,2,95238
？,6,285714
母,2,95238
召,2,95238
小,2,95238
來,2,95238
歸,4,190476
夏,2,95238
敖,2,95238
男,2,95238
秋,2,95238
僖,2,95238
春,2,95238
入,2,95238
伯,2,95238
秦,2,95238
含,6,285714
言,2,95238
年,2,95238
成,4,190476
使,4,190476
晉,2,95238
月,6,285714
