Character, Abs. Freq., Rel. Freq.
乾,4,28653
年,2,14327
納,2,14327
朔,2,14327
覺,2,14327
孰,2,14327
淫,2,14327
日,2,14327
地,2,14327
人,10,71633
母,8,57307
文,4,28653
言,8,57307
當,4,28653
扈,2,14327
隱,2,14327
讓,4,28653
周,4,28653
嘻,2,14327
廣,2,14327
為,24,171920
受,4,28653
知,6,42980
氏,8,57307
大,8,57307
梁,2,14327
適,2,14327
吾,8,57307
武,2,14327
冬,2,14327
幼,6,42980
抱,2,14327
」,18,128940
孝,6,42980
惡,2,14327
起,4,28653
正,2,14327
欲,2,14327
食,8,57307
王,2,14327
黑,2,14327
妻,6,42980
臧,8,57307
立,2,14327
反,2,14327
珍,2,14327
一,2,14327
常,2,14327
側,2,14327
兄,2,14327
曷,4,28653
女,4,28653
怪,2,14327
國,14,100287
妾,2,14327
死,6,42980
會,2,14327
弓,2,14327
奔,4,28653
趨,2,14327
我,2,14327
中,4,28653
致,4,28653
亥,2,14327
色,2,14327
荀,4,28653
臣,2,14327
弒,2,14327
公,38,272206
「,18,128940
買,2,14327
丁,2,14327
術,22,157593
寢,2,14327
時,6,42980
爾,2,14327
櫟,4,28653
君,2,14327
春,2,14327
嫗,2,14327
無,4,28653
絕,6,42980
推,2,14327
養,8,57307
使,2,14327
宜,4,28653
父,14,100287
巳,2,14327
顏,16,114613
來,6,42980
唁,2,14327
鮑,2,14327
叔,22,157593
誅,4,28653
義,2,14327
！,12,85960
薛,4,28653
宮,2,14327
孫,4,28653
聞,4,28653
賊,8,57307
濫,14,100287
誠,2,14327
晉,4,28653
魯,6,42980
懿,2,14327
歷,2,14327
易,4,28653
天,12,85960
？,26,186246
坐,2,14327
季,2,14327
殺,8,57307
餘,2,14327
伯,2,14327
葬,2,14327
入,2,14327
邾,16,114613
習,2,14327
賢,10,71633
盈,2,14327
盱,8,57307
因,2,14327
穀,2,14327
愛,2,14327
分,8,57307
：,18,128940
侯,6,42980
通,8,57307
兵,2,14327
辛,2,14327
奈,2,14327
被,2,14327
逃,2,14327
婁,16,114613
士,2,14327
月,6,42980
世,4,28653
訴,2,14327
負,2,14327
湊,2,14327
夏,12,85960
獻,2,14327
秋,2,14327
卒,2,14327
