Character, Abs. Freq., Rel. Freq.
大,2,24213
通,2,24213
鄶,2,24213
處,2,24213
」,2,24213
月,10,121065
男,2,24213
為,8,96852
吾,2,24213
害,2,24213
國,10,121065
執,4,48426
挈,2,24213
》,2,24213
奔,2,24213
闞,2,24213
君,6,72639
：,2,24213
；,2,24213
衛,4,48426
遷,2,24213
宋,12,145278
少,2,24213
善,4,48426
行,6,72639
殺,2,24213
陳,2,24213
易,4,48426
順,2,24213
歸,4,48426
叔,2,24213
祭,16,193705
齊,2,24213
留,6,72639
童,2,24213
會,6,72639
鄭,22,266344
經,2,24213
無,4,48426
省,2,24213
死,8,96852
盟,4,48426
野,2,24213
道,2,24213
賢,4,48426
奈,2,24213
正,2,24213
自,6,72639
從,4,48426
存,4,48426
亡,8,96852
古,4,48426
夏,2,24213
冬,2,24213
柔,4,48426
伯,6,72639
年,2,24213
人,20,242131
癸,2,24213
涂,2,24213
秋,4,48426
生,6,72639
蔡,2,24213
「,2,24213
緩,2,24213
侯,2,24213
卒,2,24213
病,2,24213
？,18,217918
一,4,48426
惡,2,24213
仲,16,193705
往,2,24213
突,8,96852
《,2,24213
反,4,48426
折,2,24213
曹,2,24213
權,20,242131
遼,2,24213
公,16,193705
我,2,24213
名,6,72639
命,2,24213
設,4,48426
寤,2,24213
知,4,48426
言,6,72639
相,2,24213
葬,4,48426
損,2,24213
忽,8,96852
立,2,24213
將,2,24213
貶,4,48426
莊,4,48426
春,4,48426
辭,2,24213
七,2,24213
舍,2,24213
