Character, Abs. Freq., Rel. Freq.
叔,4,89686
貳,4,89686
桓,10,224215
卒,2,44843
致,4,89686
宮,4,89686
公,18,403587
自,4,89686
朝,4,89686
日,6,134529
佗,2,44843
蔡,2,44843
楹,4,89686
禮,4,89686
諸,2,44843
及,2,44843
爾,8,179372
寅,2,44843
盟,6,134529
春,2,44843
「,2,44843
夏,2,44843
會,4,89686
書,4,89686
國,2,44843
一,4,89686
聘,6,134529
曹,2,44843
冬,2,44843
射,2,44843
來,4,89686
？,20,448430
我,6,134529
」,2,44843
言,2,44843
魯,2,44843
姑,2,44843
荊,4,89686
陳,2,44843
；,2,44843
稱,2,44843
危,8,179372
竟,2,44843
月,4,89686
伯,2,44843
人,4,89686
信,2,44843
扈,2,44843
穀,2,44843
譏,8,179372
非,6,134529
蕭,2,44843
：,2,44843
觀,4,89686
遇,2,44843
丹,4,89686
越,2,44843
侯,6,134529
甲,2,44843
外,2,44843
社,4,89686
秋,2,44843
年,2,44843
齊,10,224215
