Character, Abs. Freq., Rel. Freq.
莊,2,58480
吾,2,58480
正,2,58480
諱,2,58480
葬,2,58480
禦,2,58480
非,2,58480
醜,2,58480
春,2,58480
七,2,58480
夏,2,58480
高,4,116959
齊,6,175439
丙,2,58480
微,2,58480
譏,10,292398
母,2,58480
大,10,292398
及,2,58480
殺,2,58480
公,12,350877
親,2,58480
為,4,116959
寇,2,58480
冬,2,58480
納,6,175439
貴,2,58480
災,2,58480
癸,2,58480
書,6,175439
文,4,116959
人,2,58480
禮,2,58480
姜,4,116959
曷,4,116959
忌,2,58480
申,2,58480
君,2,58480
跌,2,58480
？,20,584795
盟,6,175439
王,2,58480
小,2,58480
爾,4,116959
月,6,175439
幣,6,175439
言,2,58480
年,2,58480
我,2,58480
就,2,58480
陳,2,58480
秋,2,58480
防,2,58480
省,10,292398
傒,4,116959
肆,6,175439
