Character, Abs. Freq., Rel. Freq.
吳,2,68966
豹,4,137931
杼,2,68966
宜,2,68966
饑,2,68966
帥,4,137931
大,4,137931
咸,2,68966
男,2,68966
莒,4,137931
奔,2,68966
晉,4,137931
崔,2,68966
滕,2,68966
朔,4,137931
日,4,137931
自,2,68966
咎,2,68966
甲,2,68966
小,2,68966
陳,6,206897
七,2,68966
婁,4,137931
儀,2,68966
年,2,68966
齊,4,137931
鄭,4,137931
叔,4,137931
侯,8,275862
秋,2,68966
邾,4,137931
京,2,68966
伐,6,206897
公,6,206897
春,2,68966
冬,2,68966
會,4,137931
巳,2,68966
宋,2,68966
八,2,68966
月,4,137931
薛,2,68966
侵,2,68966
水,2,68966
伯,8,275862
仲,2,68966
許,2,68966
杞,2,68966
夏,2,68966
衛,2,68966
孫,6,206897
羯,2,68966
楚,6,206897
蔡,2,68966
食,4,137931
師,6,206897
癸,2,68966
曹,2,68966
